author,chapter,line,text
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,1,"Aensiet dese vrouwen hoe si gaen,"
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,2,Besiet hoe haer tuten staen;
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,3,Claer dat si hen blanketten:
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,4,"Die cleeder soe lanc dat si hen letten,"
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,5,Ende sleypen hen nae al op die eerde.
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,6,"Fi, diere vuylder hoverde!"
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,7,"Ghi vrouwen, ende en scaemdi u niet!"
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,8,Het is u scande dat men 't siet.
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,9,"Ic sien, dies mi verwondert seere,"
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,10,Knechte gaen ghelijc den heere.
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,11,"Laghen si soms te bedde .III. daghen,"
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,12,Men soudse moeten in 't ghasthuys draghen.
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,13,Nu soe merct noch meer in desen landen:
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,14,Overspel en is schiere gheen scande.
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,15,"Priesters, die ons dit scrift uutgheven,"
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,16,Qualijc dat siere selve na leven.
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,17,Rijcheyt versmaet dien armen;
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,18,Richters hebben clein ontfermen.
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,19,"Siet oec hoe dat nu is ghestelt,"
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,20,Soe en sach noyt man soe quaden ghelt.
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,21,Trouwe ende waerheyt is uten lande;
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,22,"Valscheit en loesheyt is menigherhande,"
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,23,Wi moghens aenmerken ende horen.
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,24,Xps name wort dicke versworen;
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,25,"Ymoedicheit leecht onder de voet,"
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,26,"Zo hoverde draecht hoghen moet,"
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,27,Ende wort vervult in menighen saken:
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,28,Nine weet men van den scape wat maken.
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,29,.... in u dit ende besiet;
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,30,Est niet aldus dat nu ghesciet?
Onbekend,Hier beghint den AB recht ende averecht; op elc littere een vers.,31,"Est in u dit, mi dunct wel jaet."
