author,chapter,line,text
Onbekend,Fragment I,1,[...............]
Onbekend,Fragment I,2,"Doe seidijt hare altehant,"
Onbekend,Fragment I,3,Dat Ayoel ware sijn name;
Onbekend,Fragment I,4,Die was den here niet bequame.
Onbekend,Fragment I,5,Hi wert vervaerut in tansichte.
Onbekend,Fragment I,5,"Men mochten niet verbliden lichte,"
Onbekend,Fragment I,7,"Doe hi verstont dat Ayoel was,"
Onbekend,Fragment I,8,Die daer stont int palas.
Onbekend,Fragment I,9,Hi haddene gehoert nuemen te voren;
Onbekend,Fragment I,10,"Sinen magen dedi toren,"
Onbekend,Fragment I,10,Die hi int hout van Autefeulien hinc.
Onbekend,Fragment I,12,Sine vaerwe hi vervinc.
Onbekend,Fragment I,13,Die here was gheheten Alori.
Onbekend,Fragment I,14,Stillekine seide hi:
Onbekend,Fragment I,15,"""Ware Macharijs mijn oem hier,"
Onbekend,Fragment I,15,"Hi soudu, Ayoel, selc een bier"
Onbekend,Fragment I,17,"Met vullen nappe scinken,"
Onbekend,Fragment I,18,"Ghi souds langhe mogen dinken."""
Onbekend,Fragment I,19,De vrouwe anteerde haren gast wale
Onbekend,Fragment I,20,Lieflike met sueter tale.
Onbekend,Fragment I,20,"Doet tijt was, ginc men slapen."
Onbekend,Fragment I,22,De vrouwe hadde gedaen maken
Onbekend,Fragment I,23,Twee bedden Ayoele ende der joncfrouwen.
Onbekend,Fragment I,24,Tgoede wijf was herde getrouwe:
Onbekend,Fragment I,25,Si slachte lettel haren man.
Onbekend,Fragment I,25,"Hoert de tale die hi began,"
Onbekend,Fragment I,27,Savons alsi te bedde waren.
Onbekend,Fragment I,28,"Hi seide: ""Hiers wel gevaren,"
Onbekend,Fragment I,29,Nadien dat mi gescepen staet.
Onbekend,Fragment I,30,"Nu hoert, vrouwe, minen raet:"
Onbekend,Fragment I,30,"Hier quam tavont de meeste viant,"
Onbekend,Fragment I,32,Die mijn vader heeft in dlant.
Onbekend,Fragment I,33,Hi heeft de cracht groet:
Onbekend,Fragment I,34,Te tween stonden heeft hi doet
Onbekend,Fragment I,35,Onser maghe herde vele.
Onbekend,Fragment I,35,De leste hinc hi bider kele
Onbekend,Fragment I,37,Te Quintefeulie int wout.
Onbekend,Fragment I,38,Scoene ridders ende stout
Onbekend,Fragment I,39,"Ende van talen wel geraect,"
Onbekend,Fragment I,40,Si hadden hare laghe gemaect
Onbekend,Fragment I,40,"Te slane desen uutcomelinc,"
Onbekend,Fragment I,42,Want het ten quaetsten verginc
Onbekend,Fragment I,43,"Minen oem, diese daer sande."
Onbekend,Fragment I,44,"Ic hebbe jammer groet vander scande,"
Onbekend,Fragment I,45,Die ons dese heeft gedaen.
Onbekend,Fragment I,45,"Ic saels margen bate ontfaen,"
Onbekend,Fragment I,47,Eer hi iet verre sal sijn.
Onbekend,Fragment I,48,Ic sal metten volke mijn
Onbekend,Fragment I,49,Hem volghen ende ic ne sal hier laten
Onbekend,Fragment I,50,Porteren no sciltcnapen;
Onbekend,Fragment I,50,"Dat out es boven vijftien jaren,"
Onbekend,Fragment I,52,Dat salic al met mi doen varen.
Onbekend,Fragment I,53,"Ware hi ghesmeedt van stale,"
Onbekend,Fragment I,54,Wi soudene ontleden wale.
Onbekend,Fragment I,55,Nochtan hebbicken ghevaen:
Onbekend,Fragment I,55,"Ic sal minen oem ontbieden saen,"
Onbekend,Fragment I,57,Teerst dat icken hebbe int prisoen.
Onbekend,Fragment I,58,"Ic sal hem soe vele ysers andoen,"
Onbekend,Fragment I,59,"Dat hem sal sijn overlast,"
Onbekend,Fragment I,60,Ende legghene in minen kerker vast.
Onbekend,Fragment I,60,"Teerst dat mijn oem de waerheit weet,"
Onbekend,Fragment I,62,Hi sal te mi comen gereet
Onbekend,Fragment I,63,"Over nacht ende over dach,"
Onbekend,Fragment I,64,Ende sal hem spoeden dat hi mach;
Onbekend,Fragment I,65,"Dan sal hine doeden na sinen wille."""
Onbekend,Fragment I,65,"""Ay, suete vrient, swijch des stille,"""
Onbekend,Fragment I,67,"Seide de vrouwe, ""het ware mesdaen."
Onbekend,Fragment I,68,Waer mochti dan ere ontfaen
Onbekend,Fragment I,69,Of prijs in enech hof?
Onbekend,Fragment I,70,"Nemmermeer ne wondi lof,"
Onbekend,Fragment I,70,Daer goet man behoerde.
Onbekend,Fragment I,72,"Laet staen, here, dese woerde,"""
Onbekend,Fragment I,73,"Seide si, ""ghi hebbes te doene,"
Onbekend,Fragment I,74,Dat u de duvel niene spoene.
Onbekend,Fragment I,75,"Ghi waert arger dan een dief,"
Onbekend,Fragment I,75,"Dadi den genen meskief,"
Onbekend,Fragment I,77,Die ghi herberget in goeder trouwen.
Onbekend,Fragment I,78,Het soudu in uwen indach rouwen.
Onbekend,Fragment I,79,"Her Alori, wildijs te rechte gaen,"
Onbekend,Fragment I,80,"U maghe hadden meer mesdaen,"
Onbekend,Fragment I,80,Die in dwout op hem tsamen
Onbekend,Fragment I,82,"Soe verradenlike quamen,"
Onbekend,Fragment I,83,Dat hi hem werde doer de noet
Onbekend,Fragment I,84,Ende doer de vrese van der doet.
Onbekend,Fragment I,85,"Hout uwen pays, soe sidi vroet,"
Onbekend,Fragment I,85,Ende laet sinken uwen moet.
Onbekend,Fragment I,87,"Wistic oec, dat ghine sout deren"
Onbekend,Fragment I,88,"Ende daer mi niet wout ontberen,"
Onbekend,Fragment I,89,Ic soudt den ridder laten weten.
Onbekend,Fragment I,90,"Ic ne gedogede gene valsche treken,"
Onbekend,Fragment I,90,Soe waer icse beletten mach.
Onbekend,Fragment I,92,Mijn geslechte noyt en plach
Onbekend,Fragment I,93,"Verraetnesse te gere stont."""
Onbekend,Fragment I,94,Doe sloechse de here voerden mont
Onbekend,Fragment I,95,"Ende seide: ""Bi Gode, waerdi so coene,"
Onbekend,Fragment I,95,"Dat ghijs u pinet tonderdoene,"
Onbekend,Fragment I,97,Ghi souter omme sterven
Onbekend,Fragment I,98,"Ende uwes lives derven."""
Onbekend,Fragment I,99,"De vrouwe sweech, sine sprac nemmeer,"
Onbekend,Fragment I,100,"Maer si hadde therte seer,"
Onbekend,Fragment I,100,Dat haer gast soe es verraden
Onbekend,Fragment I,102,Ende menne van den live sal scaden.
Onbekend,Fragment I,103,Lettel sliep soe in der nachte:
Onbekend,Fragment I,104,Dat dede haer gedachte.
Onbekend,Fragment I,105,"Smorgens alst was dach,"
Onbekend,Fragment I,105,"Ende Ayoel dat gesach,"
Onbekend,Fragment I,107,Hi reidem ende sijn neven mede
Onbekend,Fragment I,108,Ende de here van der stede.
Onbekend,Fragment I,109,Sende sinen drossate toten maioer.
Onbekend,Fragment I,110,Doe wart dat volc saen in roer.
Onbekend,Fragment I,110,"Hi geboet al dat wapene droeghe,"
Onbekend,Fragment I,112,"Teerst dat men de clocke sloeghe,"
Onbekend,Fragment I,113,Alse om te werne haer lijf.
Onbekend,Fragment I,114,De vrouwe riep haer camerwijf
Onbekend,Fragment I,115,"Ende ontboet Ayoel in stilre hale,"
Onbekend,Fragment I,115,"Dat hi hem voerwachte wale,"
Onbekend,Fragment I,117,Ende niet afdoe sine wapine.
Onbekend,Fragment I,118,Dit ontbiet si hem stillekine:
Onbekend,Fragment I,119,Wachte hem selven om sijn leven:
Onbekend,Fragment I,120,"Men sal sijns onsachte pleghen,"
Onbekend,Fragment I,120,Teerst dat hi comt uter stede.
Onbekend,Fragment I,122,"Goent wijf alsoe sede,"
Onbekend,Fragment I,123,Daer hi sine sporen spien.
Onbekend,Fragment I,124,"Hi seide: ""Al goet moet u gescien,"
