author,chapter,line,text
Jacob van Maerlant,DIE EERSTE BOUC.,1,"Het es costume ende sede,"
Jacob van Maerlant,DIE EERSTE BOUC.,2,Alse men iet nieuwes in ene stede
Jacob van Maerlant,DIE EERSTE BOUC.,3,"Eerstwerf vertellen hoort,"
Jacob van Maerlant,DIE EERSTE BOUC.,4,"Some sijn si also verdoort,"
Jacob van Maerlant,DIE EERSTE BOUC.,5,"Dat sijt lachteren, al eest goet."
Jacob van Maerlant,DIE EERSTE BOUC.,6,"Ic wane wel dat nidechede doet,"
Jacob van Maerlant,DIE EERSTE BOUC.,7,Ofte dat sijt niet en verstaen.
Jacob van Maerlant,DIE EERSTE BOUC.,8,"Some die liede sonder waen,"
Jacob van Maerlant,DIE EERSTE BOUC.,9,"Die hovesch sijn ende wel gheraect,"
Jacob van Maerlant,DIE EERSTE BOUC.,10,Segghen dat es wel ghemaect
Jacob van Maerlant,DIE EERSTE BOUC.,11,Ende gheven hem prijs ende lof.
Jacob van Maerlant,DIE EERSTE BOUC.,12,"Groot wonder hebbic daer of,"
Jacob van Maerlant,DIE EERSTE BOUC.,13,Hoe die werelt es so verkeert.
Jacob van Maerlant,DIE EERSTE BOUC.,14,"Want ons die scrifture leert,"
Jacob van Maerlant,DIE EERSTE BOUC.,15,Dat God alle dinc maecte goet.
Jacob van Maerlant,DIE EERSTE BOUC.,16,"Wat eest dan, dat den mensche doet"
Jacob van Maerlant,DIE EERSTE BOUC.,17,"So sere vergheten alle doghet,"
Jacob van Maerlant,DIE EERSTE BOUC.,18,"Dat ghijt alle merken moget,"
Jacob van Maerlant,DIE EERSTE BOUC.,19,"Alse men hem eneghe doghet leert,"
Jacob van Maerlant,DIE EERSTE BOUC.,20,"Dat hijt emmer ten archsten keert,"
Jacob van Maerlant,DIE EERSTE BOUC.,21,Alse hijt niet te rechte en verstaet?
Jacob van Maerlant,DIE EERSTE BOUC.,22,Sere ontsie ic dusdaen baraet.
Jacob van Maerlant,DIE EERSTE BOUC.,23,Nochtan so willics bestaen
Jacob van Maerlant,DIE EERSTE BOUC.,24,"Dore hare, die mij heeft ghevaen,"
Jacob van Maerlant,DIE EERSTE BOUC.,25,Te scrivene Alexanders geesten.
Jacob van Maerlant,DIE EERSTE BOUC.,26,"Ans mi god, ic saelt volleesten,"
Jacob van Maerlant,DIE EERSTE BOUC.,27,"Al lachterent, diet niet en verstaen."
Jacob van Maerlant,DIE EERSTE BOUC.,28,Dat willic al te winde slaen.
Jacob van Maerlant,DIE EERSTE BOUC.,29,"Al hebben sijs nijt, mine rouc."
Jacob van Maerlant,DIE EERSTE BOUC.,30,"Hoort, dus beghint die eerste bouc."
Jacob van Maerlant,DIE EERSTE BOUC.,31,Goede geesten ende saghen
Jacob van Maerlant,DIE EERSTE BOUC.,32,"Vint men vele nu bi daghen,"
Jacob van Maerlant,DIE EERSTE BOUC.,33,Daer vele wonders staet in bescreven.
Jacob van Maerlant,DIE EERSTE BOUC.,34,Maer boven alle die nu leven
Jacob van Maerlant,DIE EERSTE BOUC.,35,"Ende nie ontfingen lijf,"
Jacob van Maerlant,DIE EERSTE BOUC.,36,Sider dat dat eerste wijf
Jacob van Maerlant,DIE EERSTE BOUC.,37,"Ende die eerste man was ghemaect,"
Jacob van Maerlant,DIE EERSTE BOUC.,38,"Sone was noit so wel gheraect,"
Jacob van Maerlant,DIE EERSTE BOUC.,39,"Noch so hovesch man van orloghen,"
Jacob van Maerlant,DIE EERSTE BOUC.,40,"Dat salic wel hier achter toghen,"
Jacob van Maerlant,DIE EERSTE BOUC.,41,Alse Alexander die grote was.
Jacob van Maerlant,DIE EERSTE BOUC.,42,"Alle hystorien waren ghedwas,"
Jacob van Maerlant,DIE EERSTE BOUC.,43,"Daer men af bescreven hevet,"
Jacob van Maerlant,DIE EERSTE BOUC.,44,"Hadde Alexander also langhe ghelevet,"
Jacob van Maerlant,DIE EERSTE BOUC.,45,Alse daden andere orloges liede;
Jacob van Maerlant,DIE EERSTE BOUC.,46,Hi hadde ghedaen dat noit ghesciede.
Jacob van Maerlant,DIE EERSTE BOUC.,47,Dat van Troyen dats maer een wint
Jacob van Maerlant,DIE EERSTE BOUC.,48,Jeghen dat men van desen vint;
Jacob van Maerlant,DIE EERSTE BOUC.,49,"Alle die grote avonture,"
Jacob van Maerlant,DIE EERSTE BOUC.,50,Die men leest van Arture
Jacob van Maerlant,DIE EERSTE BOUC.,51,"Ende van dien riddere Waleweine,"
Jacob van Maerlant,DIE EERSTE BOUC.,52,Sijn hier jeghen harde cleine;
