author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,"Wildi der waerheit volgen ende els niet,"
Onbekend,Onbekend Hoofdstuk,2,"So mogedi nu oec dat verstaen,"
Onbekend,Onbekend Hoofdstuk,3,"Dat dijs minschen been sijn dus gedaen,"
Onbekend,Onbekend Hoofdstuk,4,Ende geliken der erden die leegt an den gront.
Onbekend,Onbekend Hoofdstuk,5,Also sijn oec talre stont
Onbekend,Onbekend Hoofdstuk,6,"Des minschen been ende voete op den gronde,"
Onbekend,Onbekend Hoofdstuk,7,So dat nieman en conde
Onbekend,Onbekend Hoofdstuk,8,"So groet gewassen noch so lanc,"
Onbekend,Onbekend Hoofdstuk,9,Sie en onthildentene sonder wanc.
Onbekend,Onbekend Hoofdstuk,10,Dit en loech noit ane gesonden.
Onbekend,Onbekend Hoofdstuk,11,Dat mogedi merken hier ...
Onbekend,Onbekend Hoofdstuk,12,Dat die voete der er[den] ...
Onbekend,Onbekend Hoofdstuk,13,[...]
Onbekend,Onbekend Hoofdstuk,14,Des willic die waerheit van desen
Onbekend,Onbekend Hoofdstuk,15,Volseggen u in corter stont.
Onbekend,Onbekend Hoofdstuk,15,"Maer die mijn herte heeft gewont,"
Onbekend,Onbekend Hoofdstuk,17,Dier willic eer bidden genade.
Onbekend,Onbekend Hoofdstuk,18,"Ay, ioncvrouwe, en dunke u niet te spade."
Onbekend,Onbekend Hoofdstuk,19,Ic wille gerne al mine mesdade
Onbekend,Onbekend Hoofdstuk,20,Betren na uwes selves rade.
Onbekend,Onbekend Hoofdstuk,20,"Dat ic eer hadde aen gevaen,"
Onbekend,Onbekend Hoofdstuk,22,"Daertoe willic nu weder gaen,"
Onbekend,Onbekend Hoofdstuk,23,[E]nde wille u doen verstaen
Onbekend,Onbekend Hoofdstuk,24,... et dysi minschen live es gedaen.
Onbekend,Onbekend Hoofdstuk,25,... [minsc]he sal werden geboren
Onbekend,Onbekend Hoofdstuk,26,[...]
Onbekend,Onbekend Hoofdstuk,25,Dat kindre van ses [maende]
Onbekend,Onbekend Hoofdstuk,28,Scire sterven ende le...
Onbekend,Onbekend Hoofdstuk,29,Des moete sijn ...
