author,chapter,line,text
Niet van toepassing,1 Een amoreus liedeken,1,Als alle die cruydekens spruyten
Niet van toepassing,1 Een amoreus liedeken,2,Ende alle dinc verfrayt
Niet van toepassing,1 Een amoreus liedeken,3,Ick wil mi gaen vermuyten
Niet van toepassing,1 Een amoreus liedeken,4,Ick ben mijns liefs te buyten
Niet van toepassing,1 Een amoreus liedeken,5,Het compas gaet al verdrayt
Niet van toepassing,1 Een amoreus liedeken,6,Tis recht schoon lief ic bens ontpaeyt
Niet van toepassing,1 Een amoreus liedeken,7,Hebdy u boel verloren
Niet van toepassing,1 Een amoreus liedeken,8,Wat schaden hebdy daer van
Niet van toepassing,1 Een amoreus liedeken,9,Ick seyt u van te voren
Niet van toepassing,1 Een amoreus liedeken,10,Een ander had ic vercoren
Niet van toepassing,1 Een amoreus liedeken,11,daer leyt u seer luttel an
Niet van toepassing,1 Een amoreus liedeken,12,Al kiest ghi een ander man
Niet van toepassing,1 Een amoreus liedeken,13,Wat schaedt den rijm der roosen
Niet van toepassing,1 Een amoreus liedeken,14,Ghi veleyn door uwen hals
Niet van toepassing,1 Een amoreus liedeken,15,Ghi waert die eerste glose
Niet van toepassing,1 Een amoreus liedeken,16,die mi brochte in nose
Niet van toepassing,1 Een amoreus liedeken,17,dus leere ic nu van als
Niet van toepassing,1 Een amoreus liedeken,18,vlaems spaens duyts ende wals
Niet van toepassing,1 Een amoreus liedeken,19,God groete u schoon kersowe
Niet van toepassing,1 Een amoreus liedeken,20,Ghi snijt mijn herte ontwee
Niet van toepassing,1 Een amoreus liedeken,21,Ghi zijt die liefste vrouwe
Niet van toepassing,1 Een amoreus liedeken,22,Aen u staet mijn betrouwen
Niet van toepassing,1 Een amoreus liedeken,23,Int lant en over de zee
Niet van toepassing,1 Een amoreus liedeken,24,En leven nu geen liever twee
Niet van toepassing,1 Een amoreus liedeken,25,U lof u danck u waerde
Niet van toepassing,1 Een amoreus liedeken,26,Neme ick nu een verdrach
Niet van toepassing,1 Een amoreus liedeken,27,Ic weet een ander op aerde
Niet van toepassing,1 Een amoreus liedeken,28,Een edel man te paerde
Niet van toepassing,1 Een amoreus liedeken,29,een rijckaert diet wel vermach
Niet van toepassing,1 Een amoreus liedeken,30,die vrijt mi nacht ende dach
Niet van toepassing,1 Een amoreus liedeken,31,Vrijt u een man teenen boele
Niet van toepassing,1 Een amoreus liedeken,32,Een ruyter oft een baroen
Niet van toepassing,1 Een amoreus liedeken,33,Wacht u dat hi niet en coele
Niet van toepassing,1 Een amoreus liedeken,34,Want ghevoelde hi dat ick ghevoele
Niet van toepassing,1 Een amoreus liedeken,35,Hi en sou niet gaen aendoen
Niet van toepassing,1 Een amoreus liedeken,36,Een anders mans oude scoen
Niet van toepassing,1 Een amoreus liedeken,37,Adieu wel vuyl clergersse
Niet van toepassing,1 Een amoreus liedeken,38,Tis meer dan scheydens tijt
Niet van toepassing,1 Een amoreus liedeken,39,Al ist dat ick nu messe
Niet van toepassing,1 Een amoreus liedeken,40,Ick leerde u die eerste lesse
Niet van toepassing,1 Een amoreus liedeken,41,Trouwen ick kent ick lijdt
Niet van toepassing,1 Een amoreus liedeken,42,Boven alle die werelt wijt
