author,chapter,line,text
Onbekend,Prologhe.,1,"Men seget dat bedinge sere vroemt,"
Onbekend,Prologhe.,2,Ende datter grote bate af coemt:
Onbekend,Prologhe.,3,Wi mogen merken in tween dingen
Onbekend,Prologhe.,4,Hoe wi selen doen onse bedingen
Onbekend,Prologhe.,5,"Ten hovewaerd van hemelrike,"
Onbekend,Prologhe.,6,Ende met begerten ende hoe nerstelike.
Onbekend,Prologhe.,7,"Dat een es ons selfs keitivechede,"
Onbekend,Prologhe.,8,Dat ander es Goeds genadechede.
Onbekend,Prologhe.,9,Wat mach den minsce bat bringen
Onbekend,Prologhe.,10,Naest te sine ter bedingen
Onbekend,Prologhe.,11,Dan die pine entie keytivechede
Onbekend,Prologhe.,12,Vanden vernoye daer hi es gemoit mede?
Onbekend,Prologhe.,13,Ende wat magene blideliker ende mere
Onbekend,Prologhe.,14,Trecken te biddene onsen here
Onbekend,Prologhe.,15,Dan die genadecheit daer hi na haect
Onbekend,Prologhe.,16,"Van sinen sceppere, dine heft gemaect,"
Onbekend,Prologhe.,17,Der hi soe dicke werd geware
Onbekend,Prologhe.,18,In sinen onwille harentare?
Onbekend,Prologhe.,19,Dus dwinget die noet an dese side
Onbekend,Prologhe.,20,Den mincse dat hi ne si te gere tide
Onbekend,Prologhe.,21,Traech te biddene den here van hemelrike.
Onbekend,Prologhe.,22,Ende datmen op dander side laulike
Onbekend,Prologhe.,23,Noch wanhopende sine bedinge niet doe.
Onbekend,Prologhe.,24,Daer vermaentmen Gods genaden toe.
Onbekend,Prologhe.,25,"Mettesen tween vloglen die ic seide,"
Onbekend,Prologhe.,26,Dat es mettes minscen arbeide
Onbekend,Prologhe.,27,"Ende met ons heren genadechede,"
Onbekend,Prologhe.,28,Ward opgeheven des minscen bede;
Onbekend,Prologhe.,29,"Bedi als sminscen gedachte daerto trect,"
Onbekend,Prologhe.,30,"Ende hem daerbi ter devotien wect,"
Onbekend,Prologhe.,31,Narstelike het vliget ter vart
Onbekend,Prologhe.,32,Met ere devotien opward.
Onbekend,Prologhe.,33,Alsmen dan wille doen bedinge
Onbekend,Prologhe.,34,"Daer bedarf toe heilige pensinge,"
Onbekend,Prologhe.,35,Soe datse altoes nine mach wesen
Onbekend,Prologhe.,36,"Volmaect in al, en si bi desen"
Onbekend,Prologhe.,37,"Dattere vorpensinge si mede,"
Onbekend,Prologhe.,38,Oft datmense hebbe vor die bede.
Onbekend,Prologhe.,39,Bedie diegene die soe lettel weten
Onbekend,Prologhe.,40,"Dat si te merkene vergeten,"
Onbekend,Prologhe.,41,Hier omme werden te vele steden
Onbekend,Prologhe.,42,"Lichte bedrogen bi onwetenheden,"
Onbekend,Prologhe.,43,Met dat si eyschen menechwarf
Onbekend,Prologhe.,44,"Anders dan te eyschene bedarf,"
Onbekend,Prologhe.,45,Oft dat si eischen min betamelike
Onbekend,Prologhe.,46,"Dan si souden, oft min werdelike,"
