author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Te parijs was een maget ionc
Onbekend,Onbekend Hoofdstuk,2,Die ihesum had uutvercoren.
Onbekend,Onbekend Hoofdstuk,3,Alle wes haer herte begheerde
Onbekend,Onbekend Hoofdstuk,4,Quam haer alte mael te voren.
Onbekend,Onbekend Hoofdstuk,5,Si minde ihesum alsoe seer
Onbekend,Onbekend Hoofdstuk,6,"Werwaert dat si henen ghinc,"
Onbekend,Onbekend Hoofdstuk,7,Datsi versmade goet ende eer
Onbekend,Onbekend Hoofdstuk,8,Ende daer toe alle dinc.
Onbekend,Onbekend Hoofdstuk,9,Si ghinc voer haer moeder staen
Onbekend,Onbekend Hoofdstuk,10,"Ende bat doer haer houde,"
Onbekend,Onbekend Hoofdstuk,11,Dat sise doer haer edelheit
Onbekend,Onbekend Hoofdstuk,12,Baghijne maken woude.
Onbekend,Onbekend Hoofdstuk,13,"Sij sprac: dochter lieve kint,"
Onbekend,Onbekend Hoofdstuk,14,Baghijnkens draghen oerden;
Onbekend,Onbekend Hoofdstuk,15,Simpel so is al haer dinck
Onbekend,Onbekend Hoofdstuk,16,Ende daer toe luttel woerden.
Onbekend,Onbekend Hoofdstuk,17,"Si sprac: lieve moeder mijn,"
Onbekend,Onbekend Hoofdstuk,18,Des goede baghijnkens pleghen
Onbekend,Onbekend Hoofdstuk,19,Wil ick houden of ick can
Onbekend,Onbekend Hoofdstuk,20,Ende gaerne ghehoersaem wesen.
Onbekend,Onbekend Hoofdstuk,21,"Si seide: lieve dochter mijn,"
Onbekend,Onbekend Hoofdstuk,22,Also ghinc an mine rouwe.
Onbekend,Onbekend Hoofdstuk,23,"Ghi sijt van have also rijck,"
Onbekend,Onbekend Hoofdstuk,24,Ghi moecht wel sijn een vrouwe.
Onbekend,Onbekend Hoofdstuk,25,"Moeder, sprac si, moeder mijn,"
Onbekend,Onbekend Hoofdstuk,26,Waer sijn si ghevaren
Onbekend,Onbekend Hoofdstuk,27,Die van haven waren rijck
Onbekend,Onbekend Hoofdstuk,28,Ende schone vrouwen waren?
Onbekend,Onbekend Hoofdstuk,29,Si ligghen inder aerden swert
Onbekend,Onbekend Hoofdstuk,30,Veel vulre dan een prye.
Onbekend,Onbekend Hoofdstuk,31,Also langhe als ic leven kenne
Onbekend,Onbekend Hoofdstuk,32,En worde ic nimmermeer blie.
Onbekend,Onbekend Hoofdstuk,33,"Ay dochter, wel lieve kint,"
Onbekend,Onbekend Hoofdstuk,34,"Hebdi dit voer oghen,"
Onbekend,Onbekend Hoofdstuk,35,So en worde ic uwes ionghe lijfs
Onbekend,Onbekend Hoofdstuk,36,Nimmermeer in hoghen.
Onbekend,Onbekend Hoofdstuk,37,"Ay moeder, ten is mensche soe wijs"
Onbekend,Onbekend Hoofdstuk,38,Die weet tot enigher uren
Onbekend,Onbekend Hoofdstuk,39,Hoe langhe hem sijn ionghe lijf
