author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,None was gode onderdaen.
Onbekend,Onbekend Hoofdstuk,2,Hier bi so wart hi also saen
Onbekend,Onbekend Hoofdstuk,3,Van gode gesteken also lise
Onbekend,Onbekend Hoofdstuk,4,Uten erdschen paradyse;
Onbekend,Onbekend Hoofdstuk,5,Aldus so moeste adam derven
Onbekend,Onbekend Hoofdstuk,6,"Derre weelden ende der erven,"
Onbekend,Onbekend Hoofdstuk,7,Die hem god hadde gegeven.
Onbekend,Onbekend Hoofdstuk,8,"Vader, wi vinden bescreven,"
Onbekend,Onbekend Hoofdstuk,9,Om dat adam brac tgebod
Onbekend,Onbekend Hoofdstuk,10,"Dat hem gaf onse here god,"
Onbekend,Onbekend Hoofdstuk,11,Moesten si varen alle te samen
Onbekend,Onbekend Hoofdstuk,12,"Ter hellen, die van adame quamen."
Onbekend,Onbekend Hoofdstuk,13,"In dien tiden was man no wijf,"
Onbekend,Onbekend Hoofdstuk,14,Hine voer ter hellen na sijn lijf.
Onbekend,Onbekend Hoofdstuk,15,"Ende doe dat sach demelsche vader,"
Onbekend,Onbekend Hoofdstuk,16,Dat sijn hantgewerke algader
Onbekend,Onbekend Hoofdstuk,17,"So jammerlike bleef verloren,"
Onbekend,Onbekend Hoofdstuk,18,"Dat hi doe dede, vant gehoren."
Onbekend,Onbekend Hoofdstuk,19,Hi sach dat niemen maken mochte
Onbekend,Onbekend Hoofdstuk,20,"Tsoendinc dan hi, also hem dochte,"
Onbekend,Onbekend Hoofdstuk,21,Tusschen den vader van hemelrike
Onbekend,Onbekend Hoofdstuk,22,Ende den mensche van erderike.
Onbekend,Onbekend Hoofdstuk,23,"Vader, hort wat god doe dede."
Onbekend,Onbekend Hoofdstuk,24,Mids sire groter ontfarmicheden
Onbekend,Onbekend Hoofdstuk,25,Ute hemelrike dat hi quam
Onbekend,Onbekend Hoofdstuk,26,"Hier neder, ende onse nature nam"
Onbekend,Onbekend Hoofdstuk,27,"An marien sire moeder,"
Onbekend,Onbekend Hoofdstuk,28,Ende wart vleescelike onse broeder.
Onbekend,Onbekend Hoofdstuk,29,Dus es hi van .ij. naturen
Onbekend,Onbekend Hoofdstuk,30,"Die ewelike zullen duren,"
Onbekend,Onbekend Hoofdstuk,31,God ende mensche; dat hi ginc
Onbekend,Onbekend Hoofdstuk,32,"Up erderike, daer na ontfinc"
Onbekend,Onbekend Hoofdstuk,33,"Om den mensche de passie groet,"
Onbekend,Onbekend Hoofdstuk,34,"Ende smaecte die bitter dooet,"
Onbekend,Onbekend Hoofdstuk,35,Ja na sire menscelichede.
Onbekend,Onbekend Hoofdstuk,36,Maer na sine godlichede
Onbekend,Onbekend Hoofdstuk,37,Verrees hi van dode te live
Onbekend,Onbekend Hoofdstuk,38,Ende verloeste die keytive
Onbekend,Onbekend Hoofdstuk,39,"Die doe waren in deemsterheden,"
Onbekend,Onbekend Hoofdstuk,40,"Ende voeretse ter herflicheden,"
Onbekend,Onbekend Hoofdstuk,41,"Daer god adame te voren utstac,"
Onbekend,Onbekend Hoofdstuk,42,Om tgbebod dat hi brac.
Onbekend,Onbekend Hoofdstuk,43,Dus hogede god onse nature
Onbekend,Onbekend Hoofdstuk,44,Al wart hem mids sire dooet te sure;
Onbekend,Onbekend Hoofdstuk,45,"Ende voeghetse met hem daer boven,"
Onbekend,Onbekend Hoofdstuk,46,Daer sine ewelic sullen loven
Onbekend,Onbekend Hoofdstuk,47,Diene hier met herten minnen.
Onbekend,Onbekend Hoofdstuk,48,"Ay, vader, nu vant dit versinnen,"
Onbekend,Onbekend Hoofdstuk,49,"Ende penst up desen here,"
Onbekend,Onbekend Hoofdstuk,50,"Die den mensche minde so sere,"
Onbekend,Onbekend Hoofdstuk,51,"Dat hire omme wilde sterven,"
Onbekend,Onbekend Hoofdstuk,52,Om dat hi ons weder ter erven
Onbekend,Onbekend Hoofdstuk,53,"Bringen wilde, die wi te voren,"
Onbekend,Onbekend Hoofdstuk,54,"Mids adame, adden verloren."
Onbekend,Onbekend Hoofdstuk,55,"Vader, dese god es so machtech,"
Onbekend,Onbekend Hoofdstuk,56,"Ende van alre dinc so crachtech,"
Onbekend,Onbekend Hoofdstuk,57,"Dat geen dinc es, groet no smal,"
Onbekend,Onbekend Hoofdstuk,58,Hen moet van hem comen al.
Onbekend,Onbekend Hoofdstuk,59,Want an hem staet al onse leven:
Onbekend,Onbekend Hoofdstuk,60,"Wine hebben niet, hine moet ons geven;"
Onbekend,Onbekend Hoofdstuk,61,Van ons selven hebwi gene dinc.
Onbekend,Onbekend Hoofdstuk,62,"Hi gevet al, dese coninc,"
Onbekend,Onbekend Hoofdstuk,63,Die here es boven allen heren.
Onbekend,Onbekend Hoofdstuk,64,"So wel hem, vader, diene minnen leren."
Onbekend,Onbekend Hoofdstuk,65,Hijs coninc boven allen coningen;
Onbekend,Onbekend Hoofdstuk,66,"Niemen mach desen god dwingen,"
Onbekend,Onbekend Hoofdstuk,67,Want hijs allene mogenthede.
Onbekend,Onbekend Hoofdstuk,68,"Oec es hi onversterflic mede,"
Onbekend,Onbekend Hoofdstuk,69,Ende sal geduren ewelike
Onbekend,Onbekend Hoofdstuk,70,Metten vader van hemelrike
Onbekend,Onbekend Hoofdstuk,71,"Ende metten helegen gheest te samen,"
Onbekend,Onbekend Hoofdstuk,72,"Eén warich god in drien namen,"
Onbekend,Onbekend Hoofdstuk,73,Die oit was ende wesen sal
Onbekend,Onbekend Hoofdstuk,74,"Ewelic. desen belie ic al,"
Onbekend,Onbekend Hoofdstuk,75,"Dat hi es vader, zone, helech gheest."
Onbekend,Onbekend Hoofdstuk,76,"In desen gheloevic meest,"
Onbekend,Onbekend Hoofdstuk,77,Ende belie in elke stede
Onbekend,Onbekend Hoofdstuk,78,"Sine helege drievoudichede,"
Onbekend,Onbekend Hoofdstuk,79,Als hi es in sinen trone
Onbekend,Onbekend Hoofdstuk,80,"Gheweldich god, in drien persone."
Onbekend,Onbekend Hoofdstuk,81,"Vader, ic segge ghewaerlike,"
Onbekend,Onbekend Hoofdstuk,82,"Noit ne ward dies gods gelike,"
Onbekend,Onbekend Hoofdstuk,83,Noch wesen sal; dits waerheit fijn.
Onbekend,Onbekend Hoofdstuk,84,"Jhesus es de name sijn,"
Onbekend,Onbekend Hoofdstuk,85,In welken name ic bem worden
Onbekend,Onbekend Hoofdstuk,86,"Kerstijn, ende int gheloeve getorden,"
Onbekend,Onbekend Hoofdstuk,87,"Ende bem gedoept in de name sfader,"
Onbekend,Onbekend Hoofdstuk,88,"Ende soens, ende shelechs gheests algader."
Onbekend,Onbekend Hoofdstuk,89,"Hier bi, vader, mogedi wel swigen,"
Onbekend,Onbekend Hoofdstuk,90,Want mi mogedi niet gecrigen.
