author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Ende peinsde wel alsoe hi conste
Onbekend,Onbekend Hoofdstuk,2,Dat hi emmer steruen moeste
Onbekend,Onbekend Hoofdstuk,3,Dus was hi in wannopen groet
Onbekend,Onbekend Hoofdstuk,4,Van sinen liue ende vander doot
Onbekend,Onbekend Hoofdstuk,5,Binnen der nacht screef hi ghenent
Onbekend,Onbekend Hoofdstuk,6,Sine scult ende siin testament
Onbekend,Onbekend Hoofdstuk,7,Alse een man die steruen waende
Onbekend,Onbekend Hoofdstuk,8,Mids der businen die hem vermaende
Onbekend,Onbekend Hoofdstuk,9,Maer tilike es hi vp ghestaen.
Onbekend,Onbekend Hoofdstuk,10,Ende quade cleeder an ghedaen.
Onbekend,Onbekend Hoofdstuk,11,Wijf ende kinder dat hi nam.
Onbekend,Onbekend Hoofdstuk,12,Tsconincs paleyse dat hi quam.
Onbekend,Onbekend Hoofdstuk,13,Beuaen met rouwen ende met seere
Onbekend,Onbekend Hoofdstuk,14,Hi riep ghenade coninc heere
Onbekend,Onbekend Hoofdstuk,15,Ic ben doot ghine helpt mie
Onbekend,Onbekend Hoofdstuk,16,Want ic vwe bosine ontsie
Onbekend,Onbekend Hoofdstuk,17,Hare luut es teekiin vander doot
Onbekend,Onbekend Hoofdstuk,18,Nu helpt mi broeder vut deser noot
Onbekend,Onbekend Hoofdstuk,20,DIe coninc was van goeden seden
Onbekend,Onbekend Hoofdstuk,20,Ede vul van oetmoedicheden
Onbekend,Onbekend Hoofdstuk,21,Ende sach sinen broeder seere
Onbekend,Onbekend Hoofdstuk,22,Beuaen met rouwen ende met seere
Onbekend,Onbekend Hoofdstuk,23,[...............]
Onbekend,Onbekend Hoofdstuk,24,Ende mine gramscep laten uaren
Onbekend,Onbekend Hoofdstuk,25,Maer alsoe du mine bosine
Onbekend,Onbekend Hoofdstuk,26,Seere ontsaghes entie pine
Onbekend,Onbekend Hoofdstuk,27,Soe moetstu oec vele meere
