author,chapter,line,text
Onbekend,BEATRIJS,1,Van dichten comt mi cleine bate.
Onbekend,BEATRIJS,2,Die liede raden mi dat ict late
Onbekend,BEATRIJS,3,Ende minen sin niet en vertare.
Onbekend,BEATRIJS,4,"Maer om die doghet van hare,"
Onbekend,BEATRIJS,5,"Die moeder ende maghet es bleven,"
Onbekend,BEATRIJS,6,"Hebbic een scone mieracle op heven,"
Onbekend,BEATRIJS,7,Die God sonder twivel toghede
Onbekend,BEATRIJS,8,"Marien teren, diene soghede."
Onbekend,BEATRIJS,9,Ic wille beghinnen van ere nonnen
Onbekend,BEATRIJS,10,Een ghedichte. God moet mi onnen
Onbekend,BEATRIJS,11,Dat ic die poente moet wel geraken
Onbekend,BEATRIJS,12,Ende een goet ende daer af maken
Onbekend,BEATRIJS,13,Volcomelijc na der waerheide
Onbekend,BEATRIJS,14,"Als mi broeder Ghijsbrecht seide,"
Onbekend,BEATRIJS,15,Een begheven Willemijn.
Onbekend,BEATRIJS,16,Hi vant in die boeke sijn.
Onbekend,BEATRIJS,17,Hi was een out ghedaghet man.
Onbekend,BEATRIJS,18,"Die nonne daer ic af began,"
Onbekend,BEATRIJS,19,Was hovesche ende subtijl van zeden.
Onbekend,BEATRIJS,20,Men vint ghene noch heden
Onbekend,BEATRIJS,21,"Die haer ghelijct, ic wane,"
Onbekend,BEATRIJS,22,Van zeden ende van ghedane.
Onbekend,BEATRIJS,23,"Dat ic prisede hare lede,"
Onbekend,BEATRIJS,24,"Sonderlinghe haer scoenhede,"
Onbekend,BEATRIJS,25,Dats een dinc dat niet en dochte.
Onbekend,BEATRIJS,26,Ic wille u segghen van wat ambochte
Onbekend,BEATRIJS,27,Si plach te wesen langhen tijt
Onbekend,BEATRIJS,28,Int cloester daer si droech abijt:
Onbekend,BEATRIJS,29,"Costersse was si daer,"
Onbekend,BEATRIJS,30,Dat seggic u al over waer.
Onbekend,BEATRIJS,31,Sine was lat no traghe
Onbekend,BEATRIJS,32,"No bi nachte, no bi daghe."
Onbekend,BEATRIJS,33,Si was snel te haren werke:
Onbekend,BEATRIJS,34,"Si plach te ludene in die kerke,"
Onbekend,BEATRIJS,35,Si ghereide tlicht ende ornament
Onbekend,BEATRIJS,36,Ende dede op staen alt covent.
Onbekend,BEATRIJS,37,Dese joffrouwe en was niet sonder
Onbekend,BEATRIJS,38,"Der minnen, die groet wonder"
Onbekend,BEATRIJS,39,Pleecht te werken achter lande.
Onbekend,BEATRIJS,40,"Bi wilen comter af scande,"
Onbekend,BEATRIJS,41,"Quale, toren, wedermoet;"
Onbekend,BEATRIJS,42,Bi wilen bliscap ende goet.
Onbekend,BEATRIJS,43,Den wisen maect si oec soe ries
Onbekend,BEATRIJS,44,"Dat hi moet bliven int verlies,"
Onbekend,BEATRIJS,45,Eest hem lieft ofte leet.
Onbekend,BEATRIJS,46,"Si dwingt sulken, dat hine weet"
Onbekend,BEATRIJS,47,Weder spreken ofte swighen
Onbekend,BEATRIJS,48,Daer hi loen af waent ghecrighen.
Onbekend,BEATRIJS,49,"Meneghe worpt si onder voet,"
Onbekend,BEATRIJS,50,Die op staet alst haer dunct goet.
Onbekend,BEATRIJS,51,Minne maect sulken milde
Onbekend,BEATRIJS,52,"Die liever sine ghiften hilde,"
Onbekend,BEATRIJS,53,Dade hijt niet bider minnen rade.
Onbekend,BEATRIJS,54,Noch vintmen liede soe ghestade:
Onbekend,BEATRIJS,55,"Wat si hebben groet oft clene,"
Onbekend,BEATRIJS,56,Dat hen die minne gheeft ghemene:
Onbekend,BEATRIJS,57,"Welde, bliscap ende rouwe."
Onbekend,BEATRIJS,58,Selke minne hetic ghetrouwe.
Onbekend,BEATRIJS,59,In constu niet gheseggen als
Onbekend,BEATRIJS,60,Hoe vele gheluux ende onghevals
Onbekend,BEATRIJS,61,Uter minnen beken ronnen.
Onbekend,BEATRIJS,62,Hier omme en darfmen niet veronnen
Onbekend,BEATRIJS,63,"Der nonnen, dat si niet en conste ontgaen"
Onbekend,BEATRIJS,64,"Der minnen diese hilt ghevaen,"
Onbekend,BEATRIJS,65,Want die duvel altoes begheert
Onbekend,BEATRIJS,66,Den mensche te becorne ende niet en cesseert.
Onbekend,BEATRIJS,67,"Dach ende nacht, spade ende vroe,"
Onbekend,BEATRIJS,68,Hi doeter sine macht toe.
Onbekend,BEATRIJS,69,"Met quaden listen, als hi wel conde,"
Onbekend,BEATRIJS,70,"Becordise met vleescheliker sonde,"
Onbekend,BEATRIJS,71,"Die nonne, dat si sterven waende."
Onbekend,BEATRIJS,72,Gode bat si ende vermaende
Onbekend,BEATRIJS,73,Dat hise troeste dore sine ghenaden.
Onbekend,BEATRIJS,74,"Si sprac: ""Ic ben soe verladen"
Onbekend,BEATRIJS,75,Met starker minnen ende ghewont
Onbekend,BEATRIJS,76,"Dat weet hi, dient al es cont,"
Onbekend,BEATRIJS,77,Die niet en es verholen -
Onbekend,BEATRIJS,78,Dat mi die crancheit sal doen dolen.
Onbekend,BEATRIJS,79,Ic moet leiden een ander leven:
Onbekend,BEATRIJS,80,"Dit abijt moetic begheven."""
Onbekend,BEATRIJS,81,Nu hoert hoeter na verghinc.
Onbekend,BEATRIJS,82,Si sende om den jonghelinc
Onbekend,BEATRIJS,83,"Daer si toe hadde grote lieve,"
Onbekend,BEATRIJS,84,"Oetmoedelijc met enen brieve,"
Onbekend,BEATRIJS,85,Dat hi saen te hare quame:
Onbekend,BEATRIJS,86,Daer laghe ane sine vrame.
Onbekend,BEATRIJS,87,Die bode ghinc daer de jonghelinc was.
Onbekend,BEATRIJS,88,Hi nam den brief ende las
Onbekend,BEATRIJS,89,Die hem sende sijn vriendinne.
Onbekend,BEATRIJS,90,Doe was hi blide in sinen sinne:
Onbekend,BEATRIJS,91,Hi haestem te comen daer.
Onbekend,BEATRIJS,92,Sint dat si out waren XII jaer
Onbekend,BEATRIJS,93,"Dwanc die minne dese twee,"
Onbekend,BEATRIJS,94,Dat si dogheden menech wee.
Onbekend,BEATRIJS,95,Hi reet soe hi ierst mochte
Onbekend,BEATRIJS,96,"Ten cloester, daer hise sochte."
Onbekend,BEATRIJS,97,Hi ghinc sitten voer tfensterkijn
Onbekend,BEATRIJS,98,"Ende soude gheerne, mocht sijn,"
Onbekend,BEATRIJS,99,Sijn lief spreken ende sien.
Onbekend,BEATRIJS,100,Niet langhe en merde si na dien.
Onbekend,BEATRIJS,101,Si quam ende woudene vanden
Onbekend,BEATRIJS,102,"Vor tfensterkijn, dat met yseren banden"
Onbekend,BEATRIJS,103,Dwers ende lanx was bevlochten.
Onbekend,BEATRIJS,104,"Menech werven si versochten,"
Onbekend,BEATRIJS,105,"Daer hi sat buten ende si binnen,"
Onbekend,BEATRIJS,106,Bevaen met alsoe starker minnen.
Onbekend,BEATRIJS,107,"Si saten soe een langhe stonde,"
Onbekend,BEATRIJS,108,Dat ict ghesegghen niet en conde
Onbekend,BEATRIJS,109,Hoe dicke verwandelde hare blye.
Onbekend,BEATRIJS,110,"""Ay mi"", seitsi, ""aymie,"
Onbekend,BEATRIJS,111,"Vercoren lief, mi es soe wee."
Onbekend,BEATRIJS,112,Sprect jeghen mi een wort oft twee
Onbekend,BEATRIJS,113,Dat mi therte conforteert.
Onbekend,BEATRIJS,114,Ic ben die troest ane u begheert.
Onbekend,BEATRIJS,115,Der minnen strael stect mi int herte
Onbekend,BEATRIJS,116,Dat ic doghe grote smerte.
Onbekend,BEATRIJS,117,"In mach nemmermeer verhoghen,"
Onbekend,BEATRIJS,118,"Lief, ghi en hebbet uut ghetoghen."""
Onbekend,BEATRIJS,119,Hi antworde met sinne:
Onbekend,BEATRIJS,120,"""Ghi wet wel, lieve vriendinne,"
Onbekend,BEATRIJS,121,Dat wi langhe hebben ghedragen
Onbekend,BEATRIJS,122,Minne al onsen daghen.
Onbekend,BEATRIJS,123,"Wi en hadden nye soe vele rusten,"
Onbekend,BEATRIJS,124,Dat wi ons eens ondercusten.
Onbekend,BEATRIJS,125,"Vrouwe Venus, die godinne,"
Onbekend,BEATRIJS,126,"Die dit brachte in onsen sinne,"
Onbekend,BEATRIJS,127,"Moete God, onse Here, verdoemen,"
Onbekend,BEATRIJS,128,Dat si twee soe scone bloemen
Onbekend,BEATRIJS,129,Doet vervaluen ende bederven.
Onbekend,BEATRIJS,130,Constic wel ane u verwerven
Onbekend,BEATRIJS,131,Ende ghi dabijt wout neder leggen
Onbekend,BEATRIJS,132,Ende mi enen sekeren tijt seggen
Onbekend,BEATRIJS,133,"Hoe ic u ute mochte leiden,"
Onbekend,BEATRIJS,134,Ic woude riden ende ghereiden
Onbekend,BEATRIJS,135,Goede cleder diere van wullen
Onbekend,BEATRIJS,136,Ende die met bonten doen vullen:
Onbekend,BEATRIJS,137,"Mantel, roc ende sercoet."
Onbekend,BEATRIJS,138,In begheve u te ghere noet.
Onbekend,BEATRIJS,139,Met u willic mi aventueren
Onbekend,BEATRIJS,140,"Lief, leet, tsuete metten sueren."
Onbekend,BEATRIJS,141,"Nemt te pande mijn trouwe."""
Onbekend,BEATRIJS,142,"""Vercorne vrient"", sprac die joncfrouwe,"
Onbekend,BEATRIJS,143,"""Die willic gherne van u ontfaen,"
Onbekend,BEATRIJS,144,"Ende met u soe verre gaen,"
Onbekend,BEATRIJS,145,Dat niemen en sal weten in dit covent
Onbekend,BEATRIJS,146,Werwaert dat wi sijn bewent.
Onbekend,BEATRIJS,147,Van tavont over VIII nachte
Onbekend,BEATRIJS,148,Comt ende nemt mijns wachte
Onbekend,BEATRIJS,149,Daer buten inden vergier.
Onbekend,BEATRIJS,150,Onder enen eglentier
Onbekend,BEATRIJS,151,Wacht daer mijns. Ic come uut
Onbekend,BEATRIJS,152,"Ende wille wesen uwe bruut,"
Onbekend,BEATRIJS,153,Te varen daer ghi begheert.
Onbekend,BEATRIJS,154,En si dat mi siecheit deert
Onbekend,BEATRIJS,155,"Ocht saken die mi sijn te swaer,"
Onbekend,BEATRIJS,156,"Ic come sekerlike daer,"
Onbekend,BEATRIJS,157,"Ende ic begheert van u sere,"
Onbekend,BEATRIJS,158,"Dat ghi daer comt, lieve jonchere."""
Onbekend,BEATRIJS,159,Dit gheloefde elc anderen.
Onbekend,BEATRIJS,160,Hi nam orlof ende ghinc wanderen
Onbekend,BEATRIJS,161,Daer sijn rosside ghesadelt stoet.
Onbekend,BEATRIJS,162,Hi satter op metter spoet
Onbekend,BEATRIJS,163,Ende reet wech sinen telt
Onbekend,BEATRIJS,164,Ter stat waert over een velt.
Onbekend,BEATRIJS,165,Sijns lieves hi niet en vergat:
Onbekend,BEATRIJS,166,Sanders daghes ghinc hi in die stat.
