author,chapter,line,text
Onbekend,[Proloog],1,"Ic waent een salech mensche were,"
Onbekend,[Proloog],2,"Die, met woerden ende met lere,"
Onbekend,[Proloog],3,"Ander liede daer toe brochte,"
Onbekend,[Proloog],4,"Dat si herte, sin ende ghedochte"
Onbekend,[Proloog],5,"Keerden ane den ghenen al,"
Onbekend,[Proloog],6,"Die ie was ende bliuen sal,"
Onbekend,[Proloog],7,"Deus: want ict gherne saghe,"
Onbekend,[Proloog],8,Dat elc mensche Gode an laghe
Onbekend,[Proloog],9,"Vele meer, dan hi doet"
Onbekend,[Proloog],10,Om dit verganclike goet.
Onbekend,[Proloog],11,"Ic woude elc mensche wiste,"
Onbekend,[Proloog],12,"Of liete hem wisen met liste,"
Onbekend,[Proloog],13,"Wat ghenaden, welke salicheit"
Onbekend,[Proloog],14,Ane die heileghe misse leit.
Onbekend,[Proloog],15,"Ic wane sise dan dicke sochten,"
Onbekend,[Proloog],16,Dat sise hoerden alsi mochten;
Onbekend,[Proloog],17,"Want wi moghen weten ghewisse,"
Onbekend,[Proloog],18,Dat alsoe vele ane die misse
Onbekend,[Proloog],19,"Ghenaden ende salicheiden leit,"
Onbekend,[Proloog],20,Als in die sonne stoues geit.
Onbekend,[Proloog],21,"Want menech luttel weet,"
Onbekend,[Proloog],22,"Waer omme hi te missen geet,"
Onbekend,[Proloog],23,"Ende in sijn herte niet en dreghet,"
Onbekend,[Proloog],24,"wat ane die heileghe misse leghet,"
Onbekend,[Proloog],25,"Soe willic, bider helpen ons Heren,"
Onbekend,[Proloog],26,".I. deelken den mensche leren,"
Onbekend,[Proloog],27,"Alsoe verre als ane die dude,"
Onbekend,[Proloog],28,Gheweten moghen leke lude.
Onbekend,[Proloog],29,"Dat doe ic al omme dat,"
Onbekend,[Proloog],30,Dat elc mensche des te bat
Onbekend,[Proloog],31,"Hem seluen wille daer toe keren,"
Onbekend,[Proloog],32,Dat hi hore den dienst ons heren.
Onbekend,Waer omme men die clocken luut.,33,"Men plach, in die oude ee,"
Onbekend,Waer omme men die clocken luut.,34,".I. bosine te blasen of twee,"
Onbekend,Waer omme men die clocken luut.,35,Na die ioedsche wise mede.
Onbekend,Waer omme men die clocken luut.,36,Alle tfolc samende in .j. stede.
Onbekend,Waer omme men die clocken luut.,37,"Als tfolc wert kenlijc dies,"
Onbekend,Waer omme men die clocken luut.,38,"Dat men dierste bosine blies,"
Onbekend,Waer omme men die clocken luut.,39,"Soe en mochten si niet langher beiden,"
Onbekend,Waer omme men die clocken luut.,40,"Maer, met haesten, hem der waert ghereid[en];"
Onbekend,Waer omme men die clocken luut.,41,"Daerna blies men ene andre,"
Onbekend,Waer omme men die clocken luut.,42,"Soe moeste tfolc te samen w[andren],"
Onbekend,Waer omme men die clocken luut.,43,Op dat si haestelike quamen;
Onbekend,Waer omme men die clocken luut.,44,"Daerna blies men dan te samen,"
Onbekend,Waer omme men die clocken luut.,45,"Soe was tfolc te samen comen,"
Onbekend,Waer omme men die clocken luut.,46,Die dat blasen hadden vernomen.
Onbekend,Waer omme men die clocken luut.,47,"Voer dat blasen hebben wi die clo[cken],"
Onbekend,Waer omme men die clocken luut.,48,Die ons nu ter kerken locken;
Onbekend,Waer omme men die clocken luut.,49,Alse wi nu die clocken horen
Onbekend,Waer omme men die clocken luut.,50,"Ierst werf luden op den toren,"
Onbekend,Waer omme men die clocken luut.,51,Soe selen wi ter vaert
Onbekend,Waer omme men die clocken luut.,52,"Ghereiden ons, ter kerken waert;"
Onbekend,Waer omme men die clocken luut.,53,"Alse men die ander clocke luut,"
Onbekend,Waer omme men die clocken luut.,54,"So selen wi sijn comen uut,"
Onbekend,Waer omme men die clocken luut.,55,Ende haestelike ter kerken gaen.
Onbekend,Waer omme men die clocken luut.,56,Alse wi horen te gader slaen
Onbekend,Waer omme men die clocken luut.,57,"Alle die clocken, so sele wi wesen"
Onbekend,Waer omme men die clocken luut.,58,"In die kerke, ende daer lesen"
Onbekend,Waer omme men die clocken luut.,59,"Onse ghebede oetmoedelike,"
Onbekend,Waer omme men die clocken luut.,60,Ane onsen Here van hemelrike.
Onbekend,Waer omme men die clocken luut.,61,"Wi souden alle sorghen laten,"
Onbekend,Waer omme men die clocken luut.,62,Dat mochte onser sielen baten.
Onbekend,Waer omme men die clocken luut.,63,"Wi selen wenen om onse sonden,"
Onbekend,Waer omme men die clocken luut.,64,"Daer wi mede sijn ghebonden,"
Onbekend,Waer omme men die clocken luut.,65,Ende hebben gansen rouwe
Onbekend,Waer omme men die clocken luut.,66,"Om die sonden, die wi bouwen."
Onbekend,Waer omme men die clocken luut.,67,"Wine moghen ieghen niemen spreken,"
Onbekend,Waer omme men die clocken luut.,68,"En doe ons noet, dan sele wi bre[ken]"
Onbekend,Waer omme men die clocken luut.,69,"Ons daer af, als wi ierst moghen,"
Onbekend,Waer omme men die clocken luut.,70,Ende ons ieghen Gods werke voeghen.
Onbekend,Waer omme men die clocken luut.,71,"Daer peinsen die liede luttel an,"
Onbekend,Waer omme men die clocken luut.,72,"Beide vrouwe ende man,"
Onbekend,Waer omme men die clocken luut.,73,"Die dicke runen ende kiuen,"
Onbekend,Waer omme men die clocken luut.,74,Ende onghestier in die kerke driuen.
Onbekend,Waer omme men die clocken luut.,75,"Die bose viant al die wort,"
Onbekend,Waer omme men die clocken luut.,76,"Die hi in die kerke hort,"
Onbekend,Waer omme men die clocken luut.,77,"Die onnutte ende idel sijn,"
Onbekend,Waer omme men die clocken luut.,78,"Scrijft hi in dat herte sijn,"
Onbekend,Waer omme men die clocken luut.,79,"Ende houtse vaste in sijn oghen,"
Onbekend,Waer omme men die clocken luut.,80,Om dat hi daer mede moghen
Onbekend,Waer omme men die clocken luut.,81,"Den mensche vor Gode wroeghen,"
Onbekend,Waer omme men die clocken luut.,82,"Ende van sinen Sceppere ontvoegen,"
Onbekend,Waer omme men die clocken luut.,83,Alse bi redene gheuen moet
Onbekend,Waer omme men die clocken luut.,84,"Van sinen leuene, eist quaet of goet."
Onbekend,Waer omme men die clocken luut.,85,"Alle die kerke ende alle choer,"
Onbekend,Waer omme men die clocken luut.,86,"Beide achter ende voer,"
Onbekend,Waer omme men die clocken luut.,87,"Es vol alder salechede,"
Onbekend,Waer omme men die clocken luut.,88,Ende van heileghen enghelen mede.
Onbekend,Waer omme men die clocken luut.,89,"Die enghele bidden onsen Here,"
Onbekend,Waer omme men die clocken luut.,90,"Dat hi ons in herte kere,"
Onbekend,Waer omme men die clocken luut.,91,Ende wi behouden moghen bliuen
Onbekend,Waer omme men die clocken luut.,92,Beide ane siele ende ane liue.
Onbekend,Waer omme men die clocken luut.,93,Sal men singhen ofte lesen
Onbekend,Waer omme men die clocken luut.,94,"Die misse, daer en sal niet wesen"
Onbekend,Waer omme men die clocken luut.,95,"In den choer, sonder u gedacht"
Onbekend,Waer omme men die clocken luut.,96,Vaste ane onse Here ghehacht.
Onbekend,Waer omme men die clocken luut.,97,Want alsoe als die see
Onbekend,Waer omme men die clocken luut.,98,"Es vol waters, ende die snee"
Onbekend,Waer omme men die clocken luut.,99,Alsof vol es die misse
Onbekend,Waer omme men die clocken luut.,100,Alder heilecheit ghewisse.
Onbekend,Waer omme men die clocken luut.,101,Alsoe als men can ghetellen niet
Onbekend,Waer omme men die clocken luut.,102,"Dat stof, dat in die sonne vliet,"
Onbekend,Waer omme men die clocken luut.,103,"Alsoe can niemen, die leuet,"
Onbekend,Waer omme men die clocken luut.,104,Ghetellen wat ons God gheuet
Onbekend,Waer omme men die clocken luut.,105,"Met sier ghenaden, als wi nu sien"
Onbekend,Waer omme men die clocken luut.,106,"Die misse, met gansen rouwe ghescien."
Onbekend,Die .X. ghenaden vander Missen.,107,God gheuet sonderlinghe
Onbekend,Die .X. ghenaden vander Missen.,108,.X. ghenadelike dinghen
Onbekend,Die .X. ghenaden vander Missen.,109,"Elken mensche, als hi hort"
Onbekend,Die .X. ghenaden vander Missen.,110,Met rechten gheloue der missen wort.
Onbekend,Die .X. ghenaden vander Missen.,111,"Dierste es, dat hem God vergheuet"
Onbekend,Die .X. ghenaden vander Missen.,112,"Die sonden, die hi ghedaen heuet."
Onbekend,Die .X. ghenaden vander Missen.,113,"Dander es, dat hem besteet,"
Onbekend,Die .X. ghenaden vander Missen.,114,Dat hi den heileghen gheest ontfeet.
Onbekend,Die .X. ghenaden vander Missen.,115,"Dat derde es, dat des bidders wort"
Onbekend,Die .X. ghenaden vander Missen.,116,Onse Here te lieuer hort.
Onbekend,Die .X. ghenaden vander Missen.,117,"Die vierde ghenade es, dat"
Onbekend,Die .X. ghenaden vander Missen.,118,"Die enghel, dat si des te bat"
