author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Met minen peerde gereden quam
Onbekend,Onbekend Hoofdstuk,2,Een vrouwe dat ic daer vernam
Onbekend,Onbekend Hoofdstuk,3,Die vtermaten was alte scone
Onbekend,Onbekend Hoofdstuk,4,Jc boot haer mine minne te lone
Onbekend,Onbekend Hoofdstuk,5,Si seide dat sijs niet en dade
Onbekend,Onbekend Hoofdstuk,6,Doen leidicse buten pade
Onbekend,Onbekend Hoofdstuk,7,Met mi en wilde si niet gaen
Onbekend,Onbekend Hoofdstuk,8,Maer si dede mi daer verstaen
Onbekend,Onbekend Hoofdstuk,9,Dat si was .i. coninginne
Onbekend,Onbekend Hoofdstuk,10,Dit wo[ndert] mi in minen zinne
Onbekend,Onbekend Hoofdstuk,11,En[de ...]jn va[n] vra[nckerike]
Onbekend,Onbekend Hoofdstuk,12,Oec wond[er]t mi dat sekerlike
Onbekend,Onbekend Hoofdstuk,13,Dat ghi segt het es v nichte
Onbekend,Onbekend Hoofdstuk,14,Ghi mocht saken seggen lichte
Onbekend,Onbekend Hoofdstuk,15,Die v souden iegen gaen
Onbekend,Onbekend Hoofdstuk,16,Maer her weert doet mi verstaen
Onbekend,Onbekend Hoofdstuk,17,Claerlec wie die vrouwe si
Onbekend,Onbekend Hoofdstuk,18,Ende hoe si heet dat seget mi
Onbekend,Onbekend Hoofdstuk,19,Ghi moetet mi te wetene doen
Onbekend,Onbekend Hoofdstuk,20,Doen antwerde de weert symoen
Onbekend,Onbekend Hoofdstuk,21,Here mi es claere becant
Onbekend,Onbekend Hoofdstuk,22,Dat si beerte es genant
Onbekend,Onbekend Hoofdstuk,23,Dies es leden .xv. iaer
Onbekend,Onbekend Hoofdstuk,24,Dat icse vant dats seker waer
Onbekend,Onbekend Hoofdstuk,25,Jnt wout niet alte verre van hier
Onbekend,Onbekend Hoofdstuk,26,Jc ben tsconinx foreestier
Onbekend,Onbekend Hoofdstuk,27,Ende heb langen tijt gewesen
Onbekend,Onbekend Hoofdstuk,28,Karle marteel den coninc vor desen
Onbekend,Onbekend Hoofdstuk,29,Die hadde mi lief in ware dinc
Onbekend,Onbekend Hoofdstuk,30,Maer niet en kinnic desen coninc
Onbekend,Onbekend Hoofdstuk,31,Jc en sachem noit met ogen
Onbekend,Onbekend Hoofdstuk,32,Daer ict weet den prince vermogen
Onbekend,Onbekend Hoofdstuk,33,Nu wilt horen ende verstaen
Onbekend,Onbekend Hoofdstuk,34,Eens morgens vroe sonder waen
Onbekend,Onbekend Hoofdstuk,35,Wasic geseten op mijn paert
Onbekend,Onbekend Hoofdstuk,36,Ende soude varen te mans waert
Onbekend,Onbekend Hoofdstuk,37,Tileec vor der sonne op ganc
Onbekend,Onbekend Hoofdstuk,38,Daer gemoettic sonder wanc
Onbekend,Onbekend Hoofdstuk,39,Jegen mi comende dese jonfrouwe
Onbekend,Onbekend Hoofdstuk,40,Makende wel den meesten rouwe
Onbekend,Onbekend Hoofdstuk,41,Die ic sach van minen iaren
Onbekend,Onbekend Hoofdstuk,42,Een deel reedic haer bet nare
Onbekend,Onbekend Hoofdstuk,43,Si dochte mi so ouerscone
Onbekend,Onbekend Hoofdstuk,44,Al waert om te dragen crone
Onbekend,Onbekend Hoofdstuk,45,Van algader vranckerike
Onbekend,Onbekend Hoofdstuk,46,Noit en sagic hars gelike
Onbekend,Onbekend Hoofdstuk,47,Waer ic quam te enegen stonden
Onbekend,Onbekend Hoofdstuk,48,Aldus was de scone vonden
Onbekend,Onbekend Hoofdstuk,49,Wel na was si van couden doot
Onbekend,Onbekend Hoofdstuk,50,Jc brochse hier met haesten groot
Onbekend,Onbekend Hoofdstuk,51,Mijn wijf leidese ..en viere
Onbekend,Onbekend Hoofdstuk,52,Jn onmacht was den goedertie[re]
Onbekend,Onbekend Hoofdstuk,53,Doen si tfier ha[dde] beseuen
Onbekend,Onbekend Hoofdstuk,54,Met vragene [wt d...c]leuen
Onbekend,Onbekend Hoofdstuk,55,Hoe si bi namen w[as] g[enant]
Onbekend,Onbekend Hoofdstuk,56,Si seide beerte dats mi becant
Onbekend,Onbekend Hoofdstuk,57,Doe waert pippijn alte blide
Onbekend,Onbekend Hoofdstuk,58,Hi seide dus ten seluen tide
Onbekend,Onbekend Hoofdstuk,59,Waer bi hebdise nichte geheten
Onbekend,Onbekend Hoofdstuk,60,Constance seide dat seldi weten
Onbekend,Onbekend Hoofdstuk,61,Omdat hier so menegerande
Onbekend,Onbekend Hoofdstuk,62,Volc verkeert wt tsconinx lande
Onbekend,Onbekend Hoofdstuk,63,Jagers Ridders ende Joncheren
Onbekend,Onbekend Hoofdstuk,64,Oft si de vrouwe al vol eren
Onbekend,Onbekend Hoofdstuk,65,Jewere hadden ons willen ontleden
Onbekend,Onbekend Hoofdstuk,66,Aldus quaemt toe dat wi d....
Onbekend,Onbekend Hoofdstuk,67,DAt wi de vrouwe sue[verlike]
Onbekend,Onbekend Hoofdstuk,68,Van vresen datmense lich[telike]
Onbekend,Onbekend Hoofdstuk,69,Blameren mochte in ene[ger] w[ijs]
Onbekend,Onbekend Hoofdstuk,70,Si es so s[co]ne ende so iolij.
Onbekend,Onbekend Hoofdstuk,71,Dat iammer ware ende grote ...
Onbekend,Onbekend Hoofdstuk,72,Dat sijt .nen r...
Onbekend,Onbekend Hoofdstuk,73,Ende hadde
Onbekend,Onbekend Hoofdstuk,74,Ic
Onbekend,Onbekend Hoofdstuk,75,
Onbekend,Onbekend Hoofdstuk,76,Want
Onbekend,Onbekend Hoofdstuk,77,En h...
Onbekend,Onbekend Hoofdstuk,78,Dies es
Onbekend,Onbekend Hoofdstuk,79,Datse hier
Onbekend,Onbekend Hoofdstuk,80,Oec hee
Onbekend,Onbekend Hoofdstuk,81,.. si
Onbekend,Onbekend Hoofdstuk,82,Men
Onbekend,Onbekend Hoofdstuk,83,[.......] ...ake
Onbekend,Onbekend Hoofdstuk,84,Die vrouwe  van vranckr...
Onbekend,Onbekend Hoofdstuk,85,M... helme in ware din[c]
Onbekend,Onbekend Hoofdstuk,86,Als[o.] [....] die coninc
