author,chapter,line,text
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,1,Men moet bi wilen laten staen
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,2,"Die materie, ende buten gaen"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,3,Wandelen vast hier vast daer
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,4,"In ander materie ende verclaer,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,5,"Te weten ende tondersceiden,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,6,Van des ons nu te rueren sceiden;
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,7,En worde niet ghebracht hierin
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,8,"Ander materie, den rechten sin"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,9,"En soude die menighe niet verstaen,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,10,Werde hem gheen onderwijs ghedaen
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,11,Waer somighe saken ierst uut risen.
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,12,"Dus moet men somwijls onderwisen,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,13,Ende van buten verre verhalen
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,14,"Ander saken, daer uut dat dalen"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,15,Somighe dinghen die gheboren
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,16,Tot onser materien te hooren.
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,17,Des wil ic hier nu in bringhen
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,18,Ende rueren somighe vreemde dinghen.
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,19,Ghi hebt hier voor ghehoort al bloot
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,20,Den rouwe ende droefheit groot
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,21,"Die hertoghe Anthonis, uut rechter trouwen,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,22,Hadde om die doot sijnre vrouwen;
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,23,Nu laet icken in sijnre droefheit
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,24,Naer der natueren crancheit.
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,25,"Ende want tier tijt, si u verclaert,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,26,"Als dedele Vrouwe aflivich waert,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,27,Groote tweedracht ende oorloghe swaer
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,28,"Was in den lande van Ludike, daer"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,29,Af hier namaels sal ons gheboren
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,30,Te scrivene ende te laten hooren:
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,31,So wil ic in corter talen
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,32,Tbeghin des oorloghs hier verhalen.
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,33,"In tjaer Ons Heeren, hoort hier naer,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,34,"XIIIc neghenentachtich jaer,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,35,"In meerte, den achtsten dach,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,36,"Na costume van scriven, doe ic ghewach,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,37,"Des stichts van Ludike, heer Aert"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,38,"Van Hoorne aflivich waert,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,39,Bisscop van Ludike; ende naer hem
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,40,"Ghecreech tbisdom, ic seker bem,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,41,"Jan, die joncste soon, verstaet te recht,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,42,Van hertoghe Aelbrecht
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,43,"Van Beieren, die hielt in sijn bewant"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,44,"Henegouwe, Hollant en Zeelant."
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,45,Ende dese quam met sinen vader
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,46,"Ende sinen broeder beide te gader,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,47,"Die welke Willem was ghenaemt,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,48,"Tier [tijt] grave van Oostervant,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,49,Ende met meer ander groote heeren
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,50,"Tot Ludike, daer hi met grooter eeren"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,51,Weerdelijk wert ontfanghen claer
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,52,"XIIIc XC Ons Heeren jaer,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,53,Den tienden dach in julio.
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,54,Zeventien jaer was hi out; also
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,55,"Was hi te jonc te dien termine,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,56,Bisscop ofte priester te sine;
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,57,"Maer die paeus dispenseerder mede,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,58,"Bonifacius, die te Roomen hielt stede."
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,59,Mits desen en screef hi hem niet
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,60,"Bisscop, maer, verstaet tbediet,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,61,Elect van Ludike gheconfirmeert.
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,62,"In tjaer Ons Heeren, als staet vercleert,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,63,"XIIIc XCV claer bescreven,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,64,Is eenen twist op gheheven
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,65,"Tusscen den elect, si u bekant,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,66,"Van Ludike, ende sijn goede lant,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,67,Also dat die elect voorseit
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,68,"Thof ende den stoel der gheestelijcheit,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,69,"Van sinen gheesteliken gherichte,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,70,Transfereerde ende stichte
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,71,"Of stelde te Diest, si u bekant,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,72,Binnen den lande van Brabant:
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,73,"Want van Ludike alle de steden,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,74,"Ende van den lande Loon mede,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,75,Waren den elect alghemeene
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,76,"Onghehoorsaem, sonder alleene"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,77,"Die stat van Eick, sonder waen,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,78,Metten slote dat daer leeght aen;
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,79,"Die welke van Hoorne heer Hendrijc,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,80,"Heer van Perweis, seer subitelijc,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,81,Als een vroom ridder ende gheeert
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,82,"Ende ter wapen wel gheleert,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,83,Ghecreech met rechter cloekicheit
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,84,"Tot behoef van den elect voorseit,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,85,Dien hi in deser noot tier stont
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,86,"Met grooter vroomicheit bistont,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,87,"Teghen alle die Ludikeren,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,88,"Twelc men naermaels sach verseeren,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,89,Also hier naermaels sal sijn bescreven.
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,90,"Als dus dese twist was gheheven,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,91,"Tusscen den elect, sonder waen,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,92,Ende omtrent IIII maenden had ghestaen
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,93,Tusscen hem ende die lande sijn
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,94,"Van Ludike, van Loon: so wert in tfijn"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,95,"Ghesaet, ghepeist ende ghevelt,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,96,Ende thof te Ludike ghestelt:
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,97,Naer ouder costumen dit was.
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,98,In tjaer Ons Heeren mits das
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,99,"XIIIIc, een min, eerbaerlijc"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,100,"Sant die coninc van Vrankrijc,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,101,"Die universiteit van Parijs,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,102,"Ende Vrouwe Joanne, des sijt wijs,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,103,"Van Brabant, die edel hertoghinne,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,104,"Ende die grave van Namen, dat versinne,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,105,Tot Ludike wel verzien ter keure
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,106,"Haer notabel ambassadeure,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,107,"Te weten, hoort die waerheit lien:"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,108,"Dien patriarch van Alexandrien,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,109,"Meester Peeter Pleu, was mi vercleert,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,110,In theologien ghemagistreet;
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,111,"Meester Willem van Brugghe, sijt seker das,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,112,Die tier tijt deken van Lier was;
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,113,"Meester Jan Ghio, genuemt bi namen,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,114,"Deken van St Albaens te Namen,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,115,"Ende meer ander met eerbaerheit,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,116,"Die aen den elect, aen tcapittel voorseit,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,117,Aen alle den kerken ende steden
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,118,"Des lants van Ludike ende Loon mede,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,119,Verworven dat si hen keerden dus
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,120,Van den paeus Bonifacius
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,121,"Den IXsten, die te Roomen sat,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,122,(Dien si tot dier tijt hadden ghehat
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,123,"Gheobedieert al teenemael),"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,124,Ende hielden hen voort neutrael
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,125,"Tusscen beide die paeusen; dits waer bediet,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,126,So dat si gheenen van beide niet
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,127,"En obedieerden sekerlijc,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,128,So als de croone van Vrankrijc
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,129,Ende tlant van Brabant ooc en deden;
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,130,Op dat men die tweedrachticheden
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,131,Der voorseide II paeusen mits desen dinghen
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,132,Te voorder hadde moghen bringhen
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,133,"Ter cessien, oft eenicheit"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,134,Te makene met voorsinnicheit
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,135,In der H. Kerken ter Gods eeren.
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,136,"Cort hier naer, in tjaer Ons Heeren"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,137,"XIIIIc drie, hoort mi verclaren,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,138,"Eenighe poorteren te Ludike te waren,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,139,Die hen noemen deden bi namen
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,140,"Hedroten, die begonden tsamen"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,141,"Onder hen te rebelleren seere,"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,142,"Teghen hertoghe Jan, haren heere"
Onbekend,BEGINSEL DER OORLOGEN VAN LUYCK.,143,"Van Beieren, den elect voorseit;"
