author,chapter,line,text
Niet van toepassing,I.,1,Hoert iaerlijc mere
Niet van toepassing,I.,2,vrische nimere
Niet van toepassing,I.,3,"van des meyen heere,"
Niet van toepassing,I.,4,wie das here
Niet van toepassing,I.,5,tringhez warlich offenbaer.
Niet van toepassing,I.,6,Des winters velde
Niet van toepassing,I.,7,"huer was uph den velde,"
Niet van toepassing,I.,8,menigher leyden welde.
Niet van toepassing,I.,9,"Ziin ghewelde,"
Niet van toepassing,I.,10,das ist nu van henen gaer.
Niet van toepassing,I.,11,"Das ziint magheden onde vrouwen,"
Niet van toepassing,I.,12,[...............]
Niet van toepassing,I.,13,wal ghestalt der lichter heyden.
Niet van toepassing,I.,14,Cristen onde heyden
Niet van toepassing,I.,15,vrowen zijc gaer beyden.
Niet van toepassing,I.,16,"Wal hem beyden,"
Niet van toepassing,I.,17,die mir lever in rijcher waer.
Niet van toepassing,I.,18,God der ghewaldes
Niet van toepassing,I.,19,"loves onde waldes,"
Niet van toepassing,I.,20,"cleyne ruechte aldes,"
Niet van toepassing,I.,21,wan ich aldes
Niet van toepassing,I.,22,"denche, wes mir nu ansteyt,"
Niet van toepassing,I.,23,cen creature
Niet van toepassing,I.,24,prisit rechte dure.
Niet van toepassing,I.,25,"Trout zelich wijf ghehure,"
Niet van toepassing,I.,26,vorbas hure
Niet van toepassing,I.,27,hayn ich vyl an dyr gheleyt.
Niet van toepassing,I.,28,Hertz onde zin
Niet van toepassing,I.,29,mir tso dyr ghewendet ziin.
Niet van toepassing,I.,30,"Lijf onde have,"
Niet van toepassing,I.,31,"wes ich beydes have,"
Niet van toepassing,I.,32,"daer van lies ich ave,"
Niet van toepassing,I.,33,"scuene, ave"
Niet van toepassing,I.,34,mir diin hulde weer voorseyt.
Niet van toepassing,I.,35,"Werlich, der aerden"
Niet van toepassing,I.,36,reyne wijf oph eerden
Niet van toepassing,I.,37,"god nie lies ghewerden,"
Niet van toepassing,I.,38,alzo werden
Niet van toepassing,I.,39,zalden zam yr scone lijf.
Niet van toepassing,I.,40,"Wijf, wes verzonnen."
Niet van toepassing,I.,41,Scijn ghelijch der zonnen
Niet van toepassing,I.,42,hayt diin bilde erwonnen.
Niet van toepassing,I.,43,Zuwe wonnen
Niet van toepassing,I.,44,heyset mannes leyt verdrijf.
Niet van toepassing,I.,45,"In  miner noet,"
Niet van toepassing,I.,46,"scuene feye, ich dyr ghenoet."
Niet van toepassing,I.,47,"Wijf, wes behende"
Niet van toepassing,I.,48,daer bij gueder hende.
Niet van toepassing,I.,49,Zinlich diin verwende
Niet van toepassing,I.,50,"hertz wende,"
Niet van toepassing,I.,51,"das rad ich dyr, zelich wijf."
