author,chapter,line,text
Onbekend,Dit es van continencien,1,¶ Continencie als ic vermoede
Onbekend,Dit es van continencien,2,es jeghen zonde eene hoede
Onbekend,Dit es van continencien,3,ende die . alsoe ic hebbe ghelesen
Onbekend,Dit es van continencien,4,mach vierande wesen
Onbekend,Dit es van continencien,5,hoede jeghen gulsichede
Onbekend,Dit es van continencien,6,ende jeghen luxurie mede
Onbekend,Dit es van continencien,7,hoede jeghen giericheit
Onbekend,Dit es van continencien,8,ende hoede jeghen ontfaermicheit
Onbekend,Dit es van continencien,9,continencie der gulsicheden
Onbekend,Dit es van continencien,10,was wilen der auder zeden
Onbekend,Dit es van continencien,11,Also wel scriuet vegecius
Onbekend,Dit es van continencien,12,Vander princhen soberheit dus
Onbekend,Dit es van continencien,13,¶ Als alexander als ic las
Onbekend,Dit es van continencien,14,met vrienden vp den weghe was
Onbekend,Dit es van continencien,15,At hij tbroot dat zij droughen
Onbekend,Dit es van continencien,16,en lieter hem mede ghenoughen
Onbekend,Dit es van continencien,17,zonderlinghe spise no dranc
Onbekend,Dit es van continencien,18,quam nemmermeer jn zijn ghemanc
Onbekend,Dit es van continencien,19,¶ Dit zelue leest men van sapioene
Onbekend,Dit es van continencien,20,Ooc leest men mede van cathoene
Onbekend,Dit es van continencien,21,Dat hij hem met zulken wijne
Onbekend,Dit es van continencien,22,alse droncken de knechten zijne
Onbekend,Dit es van continencien,23,ghenoughen liet verdrachelike
Onbekend,Dit es van continencien,24,Die zoo machtich was ende so rijke
Onbekend,Dit es van continencien,25,¶ Van aniballe leest men mede
Onbekend,Dit es van continencien,26,Dat hij hadde zulke zede
Onbekend,Dit es van continencien,27,Dat hij sdaechs en sliep twint
Onbekend,Dit es van continencien,28,ende des nachts so men vint
Onbekend,Dit es van continencien,29,plach hij altoos vp te stane
Onbekend,Dit es van continencien,30,en zine maeltijt ghinc ane
Onbekend,Dit es van continencien,31,snauens tusschen nacht ende dach
Onbekend,Dit es van continencien,32,anders hij niet tetene plach
Onbekend,Dit es van continencien,33,om dat hij sdaechs wilde leyden
Onbekend,Dit es van continencien,34,al zine saken met nuchterheyden
Onbekend,Dit es van continencien,35,¶ Van marcus caurus leest men dat
Onbekend,Dit es van continencien,36,Die met heire lach teender stat
Onbekend,Dit es van continencien,37,Daer eenen appelboem stoet
Onbekend,Dit es van continencien,38,gheladen met appelen goet
Onbekend,Dit es van continencien,39,ende als dat hij trac van steden
Onbekend,Dit es van continencien,40,bleef den boom onghetreden
Onbekend,Dit es van continencien,41,Dit was een teekin twaren
Onbekend,Dit es van continencien,42,Dat zij niet ghierich en waren
Onbekend,Dit es van continencien,43,ter spisen ende ter weelden
Onbekend,Dit es van continencien,44,Daer nv de lieden meest vp helden
Onbekend,Dit es van continencien,45,¶ Jnde romsche jeesten leest men dus
Onbekend,Dit es van continencien,46,vanden keyser augustus
Onbekend,Dit es van continencien,47,Dat hij hem met zulker spisen liet
Onbekend,Dit es van continencien,48,ghenoughen / als tghemeene diet
Onbekend,Dit es van continencien,49,met zulken brode als ic las
Onbekend,Dit es van continencien,50,Dat naest den edelsten was
Onbekend,Dit es van continencien,51,Ende met visschelkine cleene
Onbekend,Dit es van continencien,52,Ende met buufle casen ghemeene
Onbekend,Dit es van continencien,53,Die gheduwet waren metter hant
Onbekend,Dit es van continencien,54,Ende de meeste fighen die men vant
Onbekend,Dit es van continencien,55,Die begheerdy ooc so zeere
Onbekend,Dit es van continencien,56,ooc zoo hat dese groote heere
Onbekend,Dit es van continencien,57,telker tijt telker stede dan
Onbekend,Dit es van continencien,58,als hem gherechten hongher quam an
Onbekend,Dit es van continencien,59,Dus consten zij wijlen leyden
Onbekend,Dit es van continencien,60,continencie jn soberheden
Onbekend,¶ Van continencie van luxuren,61,¶ Dit capittel sal hu rueren
Onbekend,¶ Van continencie van luxuren,62,van onthouden der luxueren
Onbekend,¶ Van continencie van luxuren,63,Dwelc es een staerc man
Onbekend,¶ Van continencie van luxuren,64,Die hem van luxuren wachten can
Onbekend,¶ Van continencie van luxuren,65,¶ Der luxurie ouffeninghe
Onbekend,¶ Van continencie van luxuren,66,can maken vele quade dinghe
Onbekend,¶ Van continencie van luxuren,67,want zoo den mensche dat wedt
Onbekend,¶ Van continencie van luxuren,68,vute gods vrienscepe zedt
Onbekend,¶ Van continencie van luxuren,69,zoo blent ende zoo crancket dlijf
Onbekend,¶ Van continencie van luxuren,70,ende maect den mensche keytijf
Onbekend,¶ Van continencie van luxuren,71,an ziele an lijf an eere an goet
Onbekend,¶ Van continencie van luxuren,72,verghetel maect zij den moet
Onbekend,¶ Van continencie van luxuren,73,¶ Dus scrijft ons valerius zoo
Onbekend,¶ Van continencie van luxuren,74,Van cornelius van scipio
Onbekend,¶ Van continencie van luxuren,75,Dat de romeynen hem hadden ghesendt
Onbekend,¶ Van continencie van luxuren,76,tote haren volke jn spaengen landt
Onbekend,¶ Van continencie van luxuren,77,om dat hij dat bevechten zoude
Onbekend,¶ Van continencie van luxuren,78,Dede hij ghebieden also houde
Onbekend,¶ Van continencie van luxuren,79,vuten heire openbare
Onbekend,¶ Van continencie van luxuren,80,al dat onnutte ware
Onbekend,¶ Van continencie van luxuren,81,en dat der weelden hoorde toe
Onbekend,¶ Van continencie van luxuren,82,Daer zoo moeste rumen doe
Onbekend,¶ Van continencie van luxuren,83,also jc bescreuen zach
Onbekend,¶ Van continencie van luxuren,84,ghemeene wijfs twee dusentach
Onbekend,¶ Van continencie van luxuren,85,¶ hij kende wel de wijse man
Onbekend,¶ Van continencie van luxuren,86,Dat luxurie maken can
Onbekend,¶ Van continencie van luxuren,87,Den man onduchtich ende traghe
Onbekend,¶ Van continencie van luxuren,88,alsmen wel scauwet alle daghe
Onbekend,¶ Van continencie van luxuren,89,¶ Valerius scrijft dese dinc
Onbekend,¶ Van continencie van luxuren,90,van eenen schonen jonghelinc
Onbekend,¶ Van continencie van luxuren,91,hiet spierius als jc las
Onbekend,¶ Van continencie van luxuren,92,Die wonderlike scone was
Onbekend,¶ Van continencie van luxuren,93,Dat vele wiuen an hem met minnen
Onbekend,¶ Van continencie van luxuren,94,zoo zeere leiden hare zinnen
Onbekend,¶ Van continencie van luxuren,95,Dat ziere of worden ontstelt
Onbekend,¶ Van continencie van luxuren,96,En van herten so ghequelt
Onbekend,¶ Van continencie van luxuren,97,Dat der vrauwen vrienden om dat
Onbekend,¶ Van continencie van luxuren,98,Desen jonghelinc hebben ghehat
Onbekend,¶ Van continencie van luxuren,99,¶ Doen wart dese jonghelinc te rade
Onbekend,¶ Van continencie van luxuren,100,om te scuwene meerder scade
Onbekend,¶ Van continencie van luxuren,101,Die van zijnder scoonheit was ontfaen
Onbekend,¶ Van continencie van luxuren,102,ende dicwilt te vooren was ghedaen
Onbekend,¶ Van continencie van luxuren,103,Dat hij zijn aenschijn scone monde
Onbekend,¶ Van continencie van luxuren,104,gheuen dede meneghe wonde
Onbekend,¶ Van continencie van luxuren,105,ende jn zijn aenschijn mede
Onbekend,¶ Van continencie van luxuren,106,also dat zine scoonhede
Onbekend,¶ Van continencie van luxuren,107,In leelichede keerde dan
Onbekend,¶ Van continencie van luxuren,108,om dat voort nieman
Onbekend,¶ Van continencie van luxuren,109,gheen arch an hem zoude zijn
Onbekend,¶ Van continencie van luxuren,110,ouermids zijn claer anschijn
Onbekend,¶ Exempel van ghedoghene,111,¶ Dat es tander point verstaet
Onbekend,¶ Exempel van ghedoghene,112,Dat vut staercmoedicheden gaet
Onbekend,¶ Exempel van ghedoghene,113,Dats ghedoochzaemicheit zijt ghewes
Onbekend,¶ Exempel van ghedoghene,114,ende weet dat die vierande es
Onbekend,¶ Exempel van ghedoghene,115,¶ Deerste es datmen verdraecht
Onbekend,¶ Exempel van ghedoghene,116,aerch datmen van hem ghewaecht
Onbekend,¶ Exempel van ghedoghene,117,¶ Tander es pine ende mesquame
