author,chapter,line,text
Onbekend,Van den drie gaerden.,1,Van den hout daer aen verstarf
Onbekend,Van den drie gaerden.,2,"der maeghede zoen om ons bedarf,"
Onbekend,Van den drie gaerden.,3,"heb ic ghelesen, hoet ghewies."
Onbekend,Van den drie gaerden.,4,nu bidde wij Gode dies
Onbekend,Van den drie gaerden.,5,dat hi mi zulke leringhe zeinde
Onbekend,Van den drie gaerden.,6,dat ic van beghin ten einde
Onbekend,Van den drie gaerden.,7,alle dese pointen moeghe vertrecken
Onbekend,Van den drie gaerden.,8,zonder loeghelike vlecken.
Onbekend,Van den drie gaerden.,9,wat hulpt dat ic vele vertoghe
Onbekend,Van den drie gaerden.,10,dit ghedicht in langher prologhe.
Onbekend,Van den drie gaerden.,11,Adaem was die ierste man
Onbekend,Van den drie gaerden.,12,die oyt menschen vorme ghewan.
Onbekend,Van den drie gaerden.,13,ende hoe hi bi zijns wijfs rade
Onbekend,Van den drie gaerden.,14,creech swaer vernoy ende groten scade
Onbekend,Van den drie gaerden.,15,ende van eenre cleinre spise
Onbekend,Van den drie gaerden.,16,"ghewijst waert vten paradise,"
Onbekend,Van den drie gaerden.,17,bi wat zaken dat dat ghesciede
Onbekend,Van den drie gaerden.,18,weten noch wael vele liede.
Onbekend,Van den drie gaerden.,19,"daer om laet ict achter bliuen,"
Onbekend,Van den drie gaerden.,20,dat ic daer niet af en wil scriuen.
Onbekend,Van den drie gaerden.,21,het zijn vele liede die hebben ghehoert
Onbekend,Van den drie gaerden.,22,van des quaden Cayns moert.
Onbekend,Van den drie gaerden.,23,hi was Adaems ierste kijnt.
Onbekend,Van den drie gaerden.,24,in nide wart hi zo verblijnt
Onbekend,Van den drie gaerden.,25,"dat hi bi rade des duuels fel,"
Onbekend,Van den drie gaerden.,26,doet sloech zinen broeder Abel.
Onbekend,Van den drie gaerden.,27,"doe Adaem dese moert vernam,"
Onbekend,Van den drie gaerden.,28,doe wart hi in hem zeluen gram.
Onbekend,Van den drie gaerden.,29,"hi sprac: ""wats mi ghesciet, keytiue?"
Onbekend,Van den drie gaerden.,30,bi den ghewerke van minen wiue
Onbekend,Van den drie gaerden.,31,is mi dit comen ende menich blame.
Onbekend,Van den drie gaerden.,32,nu en wil ic met haren lichame
