author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Ende also wel gheadobeerde
Onbekend,Onbekend Hoofdstuk,2,Vant men kume upter eerde
Onbekend,Onbekend Hoofdstuk,3,Also vul was die stede
Onbekend,Onbekend Hoofdstuk,4,Met volke van der edelhede
Onbekend,Onbekend Hoofdstuk,5,Dat zi cume mochten binnen
Onbekend,Onbekend Hoofdstuk,6,Alle ostelrie ghewinnen
Onbekend,Onbekend Hoofdstuk,7,Sine moesten buten weghe zijn
Onbekend,Onbekend Hoofdstuk,8,Nu willic der materien mijn
Onbekend,Onbekend Hoofdstuk,9,Volghen ende bliven bi
Onbekend,Onbekend Hoofdstuk,10,Den borchgraven van couchi
Onbekend,Onbekend Hoofdstuk,11,Als die edel ridder goet
Onbekend,Onbekend Hoofdstuk,12,Den dach entie tijt verstoet
Onbekend,Onbekend Hoofdstuk,13,Dat het naecte den termijn
Onbekend,Onbekend Hoofdstuk,14,Dat die feeste zoude sijn
Onbekend,Onbekend Hoofdstuk,15,So ne woudi langher tijt
Onbekend,Onbekend Hoofdstuk,16,Beiden maer an den ermijt
Onbekend,Onbekend Hoofdstuk,17,Nam hi orlof den vierden dach
Onbekend,Onbekend Hoofdstuk,18,Die vor den tsinxenen ghelach
Onbekend,Onbekend Hoofdstuk,19,Dat crone soude draghen
Onbekend,Onbekend Hoofdstuk,20,Die coninc met zinen hoghen maghen
Onbekend,Onbekend Hoofdstuk,21,Ende zinen zone ridder maken
Onbekend,Onbekend Hoofdstuk,22,Hi haddem up alle zaken
Onbekend,Onbekend Hoofdstuk,23,Beraden metten neve zijn
Onbekend,Onbekend Hoofdstuk,24,Die hem gaf een brievekijn
Onbekend,Onbekend Hoofdstuk,25,An den coninc lodewijc
Onbekend,Onbekend Hoofdstuk,26,Twelke den ridder rijc
Onbekend,Onbekend Hoofdstuk,27,Dede harde grote stade
Onbekend,Onbekend Hoofdstuk,28,Die borchgrave bi vorzienen rade
Onbekend,Onbekend Hoofdstuk,29,Dede al zine wapine
Onbekend,Onbekend Hoofdstuk,30,Ane onder eene zlavine
Onbekend,Onbekend Hoofdstuk,31,Die goet waren ende gave
Onbekend,Onbekend Hoofdstuk,32,Gheene beter drough hertoge no grave
Onbekend,Onbekend Hoofdstuk,33,Noch daer toe also goet een zwert
Onbekend,Onbekend Hoofdstuk,34,Hi was oec also wel ghepeert
Onbekend,Onbekend Hoofdstuk,35,Als eenich heere diemen vant
Onbekend,Onbekend Hoofdstuk,36,Lucaen zijn neve die seriant
Onbekend,Onbekend Hoofdstuk,37,Hadde zine male wel bewaert
Onbekend,Onbekend Hoofdstuk,38,Aldaer up zijn zomerpaert
Onbekend,Onbekend Hoofdstuk,39,Daer hi selve up was gheseten
Onbekend,Onbekend Hoofdstuk,40,Sijn derde paert woudi vergeten
Onbekend,Onbekend Hoofdstuk,41,Want hi peinsde om tprofijt
Onbekend,Onbekend Hoofdstuk,42,Dat ostelrien quaden tijt
Onbekend,Onbekend Hoofdstuk,43,Souden wesen te parijs
Onbekend,Onbekend Hoofdstuk,44,Ende in den clooster te sente denijs
Onbekend,Onbekend Hoofdstuk,45,So hadde lucaen eenen broeder
Onbekend,Onbekend Hoofdstuk,46,Die van den wine was behoeder
Onbekend,Onbekend Hoofdstuk,47,Mochti niet bet hi dede verstaen
Onbekend,Onbekend Hoofdstuk,48,Doe zinen meester lucaen
Onbekend,Onbekend Hoofdstuk,49,Si zouden daer herbergen wale
Onbekend,Onbekend Hoofdstuk,50,Doe namen zi met scoender tale
Onbekend,Onbekend Hoofdstuk,51,Orlof an den goeden ermijt
Onbekend,Onbekend Hoofdstuk,52,Diese heeft ghebenedijt
Onbekend,Onbekend Hoofdstuk,53,Metter hant alle bede
Onbekend,Onbekend Hoofdstuk,54,Ende gode bevolen mede
Onbekend,Onbekend Hoofdstuk,55,Ende daer met zijn si ghesceiden
Onbekend,Onbekend Hoofdstuk,56,God neemse in ziere gheleiden
Onbekend,Onbekend Hoofdstuk,57,Si zullens hebben wel te doene
Onbekend,Onbekend Hoofdstuk,58,Het en was nye ridder also coene
Onbekend,Onbekend Hoofdstuk,59,Haddi bestaen dat hi bestont
Onbekend,Onbekend Hoofdstuk,60,Hi ne hadde in der herten gront
Onbekend,Onbekend Hoofdstuk,61,Sorghe gheadt ende vaer
Onbekend,Onbekend Hoofdstuk,62,Hoe dat hi zoude van daer
Onbekend,Onbekend Hoofdstuk,63,Hebben gheraect daer hijs began
Onbekend,Onbekend Hoofdstuk,64,Ende in der eren bleven dan
