author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Dat [.....] was [...]omen
Onbekend,Onbekend Hoofdstuk,2,Zine moeten dus te crite comen
Onbekend,Onbekend Hoofdstuk,3,Men sette hem dach ende vre
Onbekend,Onbekend Hoofdstuk,4,Wanneer si die auonture
Onbekend,Onbekend Hoofdstuk,5,Aldus bestaen souden voert
Onbekend,Onbekend Hoofdstuk,6,Dat desen twe kempen toe behoert
Onbekend,Onbekend Hoofdstuk,7,Ende doense leren tot parijs
Onbekend,Onbekend Hoofdstuk,8,Die coninc was gher[e]chtich ende wijs
Onbekend,Onbekend Hoofdstuk,9,Dat is nu siere zielen becant
Onbekend,Onbekend Hoofdstuk,10,Voer gode want hi is verheuen sant
Onbekend,Onbekend Hoofdstuk,11,Hi sprac ic wils bat nemen goem
Onbekend,Onbekend Hoofdstuk,12,Eer ic den here ende den oem
Onbekend,Onbekend Hoofdstuk,13,Dus laet c[o]men int verdriet
Onbekend,Onbekend Hoofdstuk,14,Ic wilt weten eert gheschiet
Onbekend,Onbekend Hoofdstuk,15,Wat zaken hoe ende waer bi
Onbekend,Onbekend Hoofdstuk,16,Hi dede den [h]ere va[n co]etsi
Onbekend,Onbekend Hoofdstuk,17,Te hem[.......]doe vraechde
Onbekend,Onbekend Hoofdstuk,18,Twi [...............]laechde
Onbekend,Onbekend Hoofdstuk,19,Ic bi[............]hte waer
Onbekend,Onbekend Hoofdstuk,20,Sprac die[.....da]er naer
Onbekend,Onbekend Hoofdstuk,21,Heeft hi gh[......]aert heimelike
Onbekend,Onbekend Hoofdstuk,22,Aldus den coninc lodewike
Onbekend,Onbekend Hoofdstuk,23,Here sprac hi bi uwer ghenaden
Onbekend,Onbekend Hoofdstuk,24,Ic wil mi ieghen v ontladen
Onbekend,Onbekend Hoofdstuk,25,[...............]
Onbekend,Onbekend Hoofdstuk,26,Hine seecht die dinc also ghesc[ie]t
Onbekend,Onbekend Hoofdstuk,27,Hi dacht hine sout te quader hebben [niet]
Onbekend,Onbekend Hoofdstuk,28,Van hem. des antwarde die coninc doe
Onbekend,Onbekend Hoofdstuk,29,Ghi hebt soe vele misdaden toe
Onbekend,Onbekend Hoofdstuk,30,Ic hoert wel here an uwer spraken
Onbekend,Onbekend Hoofdstuk,31,Ghi hebt misuaren in deser saken
Onbekend,Onbekend Hoofdstuk,32,Doch wilic den borchgraue spreken
Onbekend,Onbekend Hoofdstuk,33,Ende sien of iet can ghebreken
Onbekend,Onbekend Hoofdstuk,34,Vaert leren dat v staet te doene
Onbekend,Onbekend Hoofdstuk,35,Oft ons iet faelgier[d]e tseyzoene
Onbekend,Onbekend Hoofdstuk,36,Gherne here hier mede hi sciet
Onbekend,Onbekend Hoofdstuk,37,Vanden coninc die te hant ontbiet
Onbekend,Onbekend Hoofdstuk,38,Den borchgraue dat hi come ter vaert
Onbekend,Onbekend Hoofdstuk,39,Ten coninc want hi sijns begaert
Onbekend,Onbekend Hoofdstuk,40,E[........]e also ende quam gherne
