author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Dat ter werelt goet dochte
Onbekend,Onbekend Hoofdstuk,2,Mach lichte het sal haer comen ten oren
Onbekend,Onbekend Hoofdstuk,3,Haddi vromich gheweest te voren
Onbekend,Onbekend Hoofdstuk,4,Nu hantteerde hi dor haer ere
Onbekend,Onbekend Hoofdstuk,5,Vromichede veel te mere
Onbekend,Onbekend Hoofdstuk,6,Hi wart milde hovesch ende wijs
Onbekend,Onbekend Hoofdstuk,7,Ende verdiende so groten prijs
Onbekend,Onbekend Hoofdstuk,8,Jeghen alle dies werdich waren
Onbekend,Onbekend Hoofdstuk,9,Sodat men sijns in groter maren
Onbekend,Onbekend Hoofdstuk,10,Dicken te menigher steden gewoech
Onbekend,Onbekend Hoofdstuk,11,Mer altoes doghede hi onghevoech
Onbekend,Onbekend Hoofdstuk,12,Stille int herte ende zware verdrach
Onbekend,Onbekend Hoofdstuk,13,Dat hi die scone so selden sach
Onbekend,Onbekend Hoofdstuk,14,Tehant vant hi in sinen sinne
Onbekend,Onbekend Hoofdstuk,15,Bi venus rade der godinne
Onbekend,Onbekend Hoofdstuk,16,Wanti wient zwaerlike van minnen staet
Onbekend,Onbekend Hoofdstuk,17,Hi vint bi wilen nauweren raet
Onbekend,Onbekend Hoofdstuk,18,Dan hi emmer meer ghevonde
Onbekend,Onbekend Hoofdstuk,19,En dade bedwanc der minnen wonde
Onbekend,Onbekend Hoofdstuk,20,Hi nam enen sire zuster zoen
Onbekend,Onbekend Hoofdstuk,21,Een arm ridder was diegoen
Onbekend,Onbekend Hoofdstuk,22,Ende seide neve ic wil u goeden
Onbekend,Onbekend Hoofdstuk,23,Ic heb een borch seldi behoeden
Onbekend,Onbekend Hoofdstuk,24,Int lant van faeljuwele staende
Onbekend,Onbekend Hoofdstuk,25,Ende hi sprac oem doen hijs vermaende
Onbekend,Onbekend Hoofdstuk,26,God moet u lonen derre eren
Onbekend,Onbekend Hoofdstuk,27,Want ic mi altoes gherne sal keren
Onbekend,Onbekend Hoofdstuk,28,Tot uwen dienst sowaer ic mach
Onbekend,Onbekend Hoofdstuk,29,Ende ic heb oec menigen dach
Onbekend,Onbekend Hoofdstuk,30,Ghehoept dat ghi mi soudt versien
Onbekend,Onbekend Hoofdstuk,31,God danc dat nu sal ghescien
Onbekend,Onbekend Hoofdstuk,32,Die here sprac doen openbaer
Onbekend,Onbekend Hoofdstuk,33,Neve ic wil dat ghi vaert daer
Onbekend,Onbekend Hoofdstuk,34,Ende sijt vromich ende faeljant
Onbekend,Onbekend Hoofdstuk,35,Ic verleen u hier al tlant
Onbekend,Onbekend Hoofdstuk,36,Stede borch bosch ende pleyn
Onbekend,Onbekend Hoofdstuk,37,Ende sijt voert maer mijn casteleyn
Onbekend,Onbekend Hoofdstuk,38,Doen riepen si alle diere stonden bi
Onbekend,Onbekend Hoofdstuk,39,Oy ha baetchelaer van coetchi
Onbekend,Onbekend Hoofdstuk,40,Borchgrave van coetchi here
Onbekend,Onbekend Hoofdstuk,41,God ghestarke u vorwart mere
Onbekend,Onbekend Hoofdstuk,42,Dit ghecri ginc den jongen man
Onbekend,Onbekend Hoofdstuk,43,Vrolijc int herte ende began
Onbekend,Onbekend Hoofdstuk,44,Volghen der eren na dien dach
Onbekend,Onbekend Hoofdstuk,45,Dat hi verrees daer men toe sach
Onbekend,Onbekend Hoofdstuk,46,Hi voer int lant van faeljuwele
Onbekend,Onbekend Hoofdstuk,47,Ende vercierde so dien castele
Onbekend,Onbekend Hoofdstuk,48,Met al datter toebehoerde
Onbekend,Onbekend Hoofdstuk,49,Dat hi sijns vader viande stoerde
Onbekend,Onbekend Hoofdstuk,50,Die hem dicke dar te voren
Onbekend,Onbekend Hoofdstuk,51,Scade hadden ghedaen ende toren
Onbekend,Onbekend Hoofdstuk,52,Dit behaechde harde wel den oem
Onbekend,Onbekend Hoofdstuk,53,Dat hi dus nam der eren goem
Onbekend,Onbekend Hoofdstuk,54,Ende peynsde du moghes met eren
Onbekend,Onbekend Hoofdstuk,55,In dat lant varen ende keren
Onbekend,Onbekend Hoofdstuk,56,Ende sijn die scone dagheraet
Onbekend,Onbekend Hoofdstuk,57,Daer al dijn welvart aen staet
Onbekend,Onbekend Hoofdstuk,58,Hi tijdde derwert ende vant
Onbekend,Onbekend Hoofdstuk,59,Den neve machtich ende faeljant
Onbekend,Onbekend Hoofdstuk,60,Van live van herten ende van goede
Onbekend,Onbekend Hoofdstuk,61,Noch vint men se als ic bevroede
Onbekend,Onbekend Hoofdstuk,62,Dat hem selc moet laten genoegen
Onbekend,Onbekend Hoofdstuk,63,Die hem sere wel souden connen voegen
Onbekend,Onbekend Hoofdstuk,64,In eren groet met coste fier
Onbekend,Onbekend Hoofdstuk,65,Ja wilde iement blasen tfier
Onbekend,Onbekend Hoofdstuk,66,Daer waer speels vele aen belanc
Onbekend,Onbekend Hoofdstuk,67,Nochtan wiste hem dese here danc
Onbekend,Onbekend Hoofdstuk,68,Dat hi hem so gelaten dorste
Onbekend,Onbekend Hoofdstuk,69,Hi seide neve hier woent een vorste
Onbekend,Onbekend Hoofdstuk,70,Die ons wel gan in minen besten
Onbekend,Onbekend Hoofdstuk,71,Willen wi varen tot sire vesten
Onbekend,Onbekend Hoofdstuk,72,Hi sal ons hopic gherne sien
Onbekend,Onbekend Hoofdstuk,73,Ja wi here ende mettien
Onbekend,Onbekend Hoofdstuk,74,Sijn si vrolijc opgheseten
Onbekend,Onbekend Hoofdstuk,75,Ende quamen daer recht vor den eten
Onbekend,Onbekend Hoofdstuk,76,Ten here die se ontfinc vrolike
Onbekend,Onbekend Hoofdstuk,77,Ende die vrouwe in vrouden [ghelike]
Onbekend,Onbekend Hoofdstuk,78,Dat se die here [thuis] dus sochte
Onbekend,Onbekend Hoofdstuk,79,Die lultel peinsde om sijn ghedochte
Onbekend,Onbekend Hoofdstuk,80,Ende ginghen dwaen ende darnae eten
Onbekend,Onbekend Hoofdstuk,81,Ende die vrouwe dede vergeten
Onbekend,Onbekend Hoofdstuk,82,Hem alle droefheit die daer waren
Onbekend,Onbekend Hoofdstuk,83,So vrolijc conste si haer gebaren
Onbekend,Onbekend Hoofdstuk,84,Si boet haren dienst den here
Onbekend,Onbekend Hoofdstuk,85,Van coetchi dies begheerde zere
Onbekend,Onbekend Hoofdstuk,86,Anders dan hijt int herte meende
Onbekend,Onbekend Hoofdstuk,87,Ende den borchgreve dien hi verleende
Onbekend,Onbekend Hoofdstuk,88,Dor haer dat goet al en wistijs niet
Onbekend,Onbekend Hoofdstuk,89,Hi h[ee]ft oec harde nauwe [bespiet]
Onbekend,Onbekend Hoofdstuk,90,Der scoenre vrowen figure
Onbekend,Onbekend Hoofdstuk,91,Ende peinsde dese creature
Onbekend,Onbekend Hoofdstuk,92,[En] heeft seker gheen gelike
Onbekend,Onbekend Hoofdstuk,93,Van scoenheiden in al ertrike
Onbekend,Onbekend Hoofdstuk,94,Wat mochtijs dan dat hi so dochte
Onbekend,Onbekend Hoofdstuk,95,Want en was nieman die se mochte
Onbekend,Onbekend Hoofdstuk,96,Wel te punte aen scouwen
