author,chapter,line,text
Onbekend,DE BORCHGRAVINNE VAN VERGI,1,Gherechte minnare waer ghi sijt
Onbekend,DE BORCHGRAVINNE VAN VERGI,2,Sijt op u hoede in alder tijt
Onbekend,DE BORCHGRAVINNE VAN VERGI,3,Ende heelt dat u te helene steet
Onbekend,DE BORCHGRAVINNE VAN VERGI,4,Maect van uwen lieve niet u leet
Onbekend,DE BORCHGRAVINNE VAN VERGI,5,Het soude u namaels deren sere
Onbekend,DE BORCHGRAVINNE VAN VERGI,6,Ende het ware groet onnere
Onbekend,DE BORCHGRAVINNE VAN VERGI,7,Hout u wort bi u allene
Onbekend,DE BORCHGRAVINNE VAN VERGI,8,Ende sijt in u herte rene
Onbekend,DE BORCHGRAVINNE VAN VERGI,9,Ende en laet u herte niet verstaen
Onbekend,DE BORCHGRAVINNE VAN VERGI,10,Ende het ware sere mesdaen
Onbekend,DE BORCHGRAVINNE VAN VERGI,11,Ochte ghi gheswighen niet en cont
Onbekend,DE BORCHGRAVINNE VAN VERGI,12,Ende ghehouden uwen mont
Onbekend,DE BORCHGRAVINNE VAN VERGI,13,Hoe saelt een ander dan ghehelen
Onbekend,DE BORCHGRAVINNE VAN VERGI,14,Hoe nauwe ghijt hem wilt bevelen
Onbekend,DE BORCHGRAVINNE VAN VERGI,15,Maer hoedt altoes u waerde
Onbekend,DE BORCHGRAVINNE VAN VERGI,16,Jeghen ghebaerde ende onghebaerde
Onbekend,DE BORCHGRAVINNE VAN VERGI,17,Want men vint vele lieden
Onbekend,DE BORCHGRAVINNE VAN VERGI,18,Die hem altoes ghereet bieden
Onbekend,DE BORCHGRAVINNE VAN VERGI,19,Te dienste hem allen diese kinnen
Onbekend,DE BORCHGRAVINNE VAN VERGI,20,Om datse van hem willen winnen
Onbekend,DE BORCHGRAVINNE VAN VERGI,21,Haer heimelecheit ende weten al
Onbekend,DE BORCHGRAVINNE VAN VERGI,22,Ende segghen dat nemmermeer en sal
Onbekend,DE BORCHGRAVINNE VAN VERGI,23,Mensche van haren monde weten
Onbekend,DE BORCHGRAVINNE VAN VERGI,24,Des si saen hebben vergheten
Onbekend,DE BORCHGRAVINNE VAN VERGI,25,Want sijt haestelijc ute bringhen
Onbekend,DE BORCHGRAVINNE VAN VERGI,26,Huedt u altoes van dien dinghen
Onbekend,DE BORCHGRAVINNE VAN VERGI,27,Die heimelike minne dracht
Onbekend,DE BORCHGRAVINNE VAN VERGI,28,In u herte die u wel behaecht
Onbekend,DE BORCHGRAVINNE VAN VERGI,29,Heeltse vrienden ende vianden
Onbekend,DE BORCHGRAVINNE VAN VERGI,30,Sone wordi niet te scanden
Onbekend,DE BORCHGRAVINNE VAN VERGI,31,Want alst iement vremders weet
Onbekend,DE BORCHGRAVINNE VAN VERGI,32,Soe es hire met soe ghemeet
Onbekend,DE BORCHGRAVINNE VAN VERGI,33,Dat hijt vertelt te vij staden
Onbekend,DE BORCHGRAVINNE VAN VERGI,34,Dus blivet die minne verraden
Onbekend,DE BORCHGRAVINNE VAN VERGI,35,Ende moet met rouwen scheeden
Onbekend,DE BORCHGRAVINNE VAN VERGI,36,Ende maect ghevriende in veeden
Onbekend,DE BORCHGRAVINNE VAN VERGI,37,Daer dic ave comt mesval
Onbekend,DE BORCHGRAVINNE VAN VERGI,38,Als ic u vertellen sal
Onbekend,DE BORCHGRAVINNE VAN VERGI,39,Dat in borgoenien ghesciede
Onbekend,DE BORCHGRAVINNE VAN VERGI,40,Daer toe saghent vele liede
Onbekend,DE BORCHGRAVINNE VAN VERGI,41,Vander borchgravinnen van vergi
Onbekend,DE BORCHGRAVINNE VAN VERGI,42,Die sere minde enen ridder vri
Onbekend,DE BORCHGRAVINNE VAN VERGI,43,Die alte vrome was ende coene
Onbekend,DE BORCHGRAVINNE VAN VERGI,44,Ende hovesch in al sinen doene
Onbekend,DE BORCHGRAVINNE VAN VERGI,45,Tallen spele in sinen tiden
Onbekend,DE BORCHGRAVINNE VAN VERGI,46,Ende overdadech in dat striden
Onbekend,DE BORCHGRAVINNE VAN VERGI,47,Soe dat die hertoghe der bi
Onbekend,DE BORCHGRAVINNE VAN VERGI,48,Sere vercoes den riddere vri
Onbekend,DE BORCHGRAVINNE VAN VERGI,49,Ende nam desen here met heme
Onbekend,DE BORCHGRAVINNE VAN VERGI,50,Soe datten minde als ic verneme
Onbekend,DE BORCHGRAVINNE VAN VERGI,51,De borchgravinne alte sere
Onbekend,DE BORCHGRAVINNE VAN VERGI,52,Die ic noemde heden ere
Onbekend,DE BORCHGRAVINNE VAN VERGI,53,Van vergi was haer name
Onbekend,DE BORCHGRAVINNE VAN VERGI,54,Die vrouwe was scoene ende bequame
Onbekend,DE BORCHGRAVINNE VAN VERGI,55,Ende gheloofde in allen sinne
Onbekend,DE BORCHGRAVINNE VAN VERGI,56,Den ridder vriendelijc haer minne
Onbekend,DE BORCHGRAVINNE VAN VERGI,57,Van al dien dat si vermochte
Onbekend,DE BORCHGRAVINNE VAN VERGI,58,Verpleghen ende hi an haer sochte
Onbekend,DE BORCHGRAVINNE VAN VERGI,59,Maer soe heimelijc si minden
Onbekend,DE BORCHGRAVINNE VAN VERGI,60,Datse gheen mensche en kinden
Onbekend,DE BORCHGRAVINNE VAN VERGI,61,Ja dien sijt verstaen lieten
Onbekend,DE BORCHGRAVINNE VAN VERGI,62,Want si ontsaghen dat mesnieten
Onbekend,DE BORCHGRAVINNE VAN VERGI,63,Ende hadden vercoren om dat
Onbekend,DE BORCHGRAVINNE VAN VERGI,64,Ene scoene heimelike stat
Onbekend,DE BORCHGRAVINNE VAN VERGI,65,In enen boegaert daer hi plach
Onbekend,DE BORCHGRAVINNE VAN VERGI,66,Dic te gane inden dach
Onbekend,DE BORCHGRAVINNE VAN VERGI,67,Alse ofte si hem vermeien gingen
Onbekend,DE BORCHGRAVINNE VAN VERGI,68,Niemen en wiste van dien dinghen
Onbekend,DE BORCHGRAVINNE VAN VERGI,69,Dan si onder hem ij beiden
Onbekend,DE BORCHGRAVINNE VAN VERGI,70,Soe sere hoedense hem van scalcheiden
Onbekend,DE BORCHGRAVINNE VAN VERGI,71,De boegaert dien ic vermane
Onbekend,DE BORCHGRAVINNE VAN VERGI,72,Daer die ridder in plach te gane
Onbekend,DE BORCHGRAVINNE VAN VERGI,73,Stont ane die camer der borchgravinnen
Onbekend,DE BORCHGRAVINNE VAN VERGI,74,Ende al die ridder quam daer binnen
Onbekend,DE BORCHGRAVINNE VAN VERGI,75,Soe sach sine wel altoes
Onbekend,DE BORCHGRAVINNE VAN VERGI,76,Want sine minde sonder loes
Onbekend,DE BORCHGRAVINNE VAN VERGI,77,Ende hi hare alsoe weder
Onbekend,DE BORCHGRAVINNE VAN VERGI,78,Ic wane ghi noit no seder
Onbekend,DE BORCHGRAVINNE VAN VERGI,79,Enne saeght selc ghelieve twee
Onbekend,DE BORCHGRAVINNE VAN VERGI,80,God die moet hem gheven wee
Onbekend,DE BORCHGRAVINNE VAN VERGI,81,Die selke minne sceeden doet
Onbekend,DE BORCHGRAVINNE VAN VERGI,82,De vrouwe die ridder goet
Onbekend,DE BORCHGRAVINNE VAN VERGI,83,Sere met goeder herten minde
Onbekend,DE BORCHGRAVINNE VAN VERGI,84,Boven allen man diese kinde
Onbekend,DE BORCHGRAVINNE VAN VERGI,85,Wanneer si vore haer veinster lach
Onbekend,DE BORCHGRAVINNE VAN VERGI,86,Waest avont ofte inden dach
Onbekend,DE BORCHGRAVINNE VAN VERGI,87,Ende si dan inden boegaert
Onbekend,DE BORCHGRAVINNE VAN VERGI,88,Des ridders gheware waert
Onbekend,DE BORCHGRAVINNE VAN VERGI,89,Ende si was in hare camere allene
Onbekend,DE BORCHGRAVINNE VAN VERGI,90,Ontede si een doerken clene
Onbekend,DE BORCHGRAVINNE VAN VERGI,91,Daer si allene ginc voer staen
Onbekend,DE BORCHGRAVINNE VAN VERGI,92,Ende dede een hondeken ute gaen
Onbekend,DE BORCHGRAVINNE VAN VERGI,93,Dat heimelijc ende clene was
Onbekend,DE BORCHGRAVINNE VAN VERGI,94,Spelen in dat scoene gras
Onbekend,DE BORCHGRAVINNE VAN VERGI,95,Dat hondeken den ridder minde
Onbekend,DE BORCHGRAVINNE VAN VERGI,96,Want herde wel hetten kinde
Onbekend,DE BORCHGRAVINNE VAN VERGI,97,Ende als den ridder sach thondekijn
Onbekend,DE BORCHGRAVINNE VAN VERGI,98,Sach hi wel dat die vrouwe sijn
Onbekend,DE BORCHGRAVINNE VAN VERGI,99,Allene in die camer ware
Onbekend,DE BORCHGRAVINNE VAN VERGI,100,Dan soe ginc hi vort te hare
Onbekend,DE BORCHGRAVINNE VAN VERGI,101,Ende in die camere soe bleef hi
Onbekend,DE BORCHGRAVINNE VAN VERGI,102,Alden nacht der vrouwen bi
Onbekend,DE BORCHGRAVINNE VAN VERGI,103,Ende leefden met groten spele
Onbekend,DE BORCHGRAVINNE VAN VERGI,104,Des si hadden herde vele
Onbekend,DE BORCHGRAVINNE VAN VERGI,105,Want ic houde wel over dat
Onbekend,DE BORCHGRAVINNE VAN VERGI,106,Dat beter feeste es tselker stat
Onbekend,DE BORCHGRAVINNE VAN VERGI,107,Die men selden hebben mach
Onbekend,DE BORCHGRAVINNE VAN VERGI,108,Dan die men hevet alden dach
Onbekend,DE BORCHGRAVINNE VAN VERGI,109,Dus duerde harre tweer minnen
Onbekend,DE BORCHGRAVINNE VAN VERGI,110,Datse niemen en conde ghekinnen
Onbekend,DE BORCHGRAVINNE VAN VERGI,111,Ene langhe wile tusschen hem tween
Onbekend,DE BORCHGRAVINNE VAN VERGI,112,Entie ridder was allen een
Onbekend,DE BORCHGRAVINNE VAN VERGI,113,Jolijs behaghel ende vrome mede
Onbekend,DE BORCHGRAVINNE VAN VERGI,114,Soe waer men ridderscap dede
