author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,[Me]t rechte macht mi ro[uwen]
Onbekend,Onbekend Hoofdstuk,2,[V]ele porters ebben d[ed....]
Onbekend,Onbekend Hoofdstuk,3,[Hem] began te iamerne saen
Onbekend,Onbekend Hoofdstuk,4,[Ut]er maten arde sere
Onbekend,Onbekend Hoofdstuk,5,[We]l .i.[m]. kerden toren here
Onbekend,Onbekend Hoofdstuk,6,[De]s esmereit was sere verblijt
Onbekend,Onbekend Hoofdstuk,7,[Ende] gaufrot droue seker sijt
Onbekend,Onbekend Hoofdstuk,8,[Doe] dede die ouer felle t[e ha]nt
Onbekend,Onbekend Hoofdstuk,9,[Bla]sen enen holifant
Onbekend,Onbekend Hoofdstuk,10,[Ende] ghi[nc me]n ter [stede] w[e]ert
Onbekend,Onbekend Hoofdstuk,11,[.............] onkeert
Onbekend,Onbekend Hoofdstuk,12,[.......]ere[..n] in souden bekeren
Onbekend,Onbekend Hoofdstuk,13,[.....] ont[..] csi[.]m om der deren
Onbekend,Onbekend Hoofdstuk,14,[.......]aam hi ste[de]
Onbekend,Onbekend Hoofdstuk,15,[......]nder sonder be[de]
Onbekend,Onbekend Hoofdstuk,16,[......]er ou[er]al bes[tri]den
Onbekend,Onbekend Hoofdstuk,17,[Men] rechte ledren an allen siden
Onbekend,Onbekend Hoofdstuk,18,[Ende] ghinker scieten met staelbogen
Onbekend,Onbekend Hoofdstuk,19,[Qua]rele hadden goede vloge
Onbekend,Onbekend Hoofdstuk,20,[Die] van buten ende van binnen
Onbekend,Onbekend Hoofdstuk,21,[........] sere in allen sinnen
Onbekend,Onbekend Hoofdstuk,22,[Doe] die [u]e[r]dde por[t]ers sagen
Onbekend,Onbekend Hoofdstuk,23,[Die] stat began hem wanhagen
Onbekend,Onbekend Hoofdstuk,24,[.............ocht]e
Onbekend,Onbekend Hoofdstuk,25,[Hem die] mort niet scamen mochte
Onbekend,Onbekend Hoofdstuk,26,[Elc] andren seidsi met [ghe]ninde
Onbekend,Onbekend Hoofdstuk,27,[Ons] wijf ende onse [k]inde
Onbekend,Onbekend Hoofdstuk,28,[Bliu]en altemale verloren
Onbekend,Onbekend Hoofdstuk,29,[Wan]t gaudefrot god geue[n toren]
Onbekend,Onbekend Hoofdstuk,30,[...]int dode [............]
Onbekend,Onbekend Hoofdstuk,31,[............. stede]
Onbekend,Onbekend Hoofdstuk,32,[Dander helt dedi sonder beede]
Onbekend,Onbekend Hoofdstuk,33,[Endedem hare wapen of doen]
Onbekend,Onbekend Hoofdstuk,34,[Doe dede ghebieden die baroen]
Onbekend,Onbekend Hoofdstuk,35,Sonder enich letten meere
Onbekend,Onbekend Hoofdstuk,36,Aldie vitailge die was int here
Onbekend,Onbekend Hoofdstuk,37,Dat mense brochte vor die stede
Onbekend,Onbekend Hoofdstuk,38,Dander helt dedi sonder beede
Onbekend,Onbekend Hoofdstuk,39,Endedem hare wapen of doen
Onbekend,Onbekend Hoofdstuk,40,Doe dede ghebieden die baroen
Onbekend,Onbekend Hoofdstuk,41,Sonder enich letten mere
Onbekend,Onbekend Hoofdstuk,42,Al die vitailge die was int here
Onbekend,Onbekend Hoofdstuk,43,Dat mense brochte vor die stede
Onbekend,Onbekend Hoofdstuk,44,Nar den ghebode men [al]so dede
Onbekend,Onbekend Hoofdstuk,45,Doe ghinc mer eten ende drinken
Onbekend,Onbekend Hoofdstuk,46,Elc die wilde sins gedincken
Onbekend,Onbekend Hoofdstuk,47,Den nam ene henne dander enen cap[oen]
Onbekend,Onbekend Hoofdstuk,48,Dander .i. harst van venisoen
Onbekend,Onbekend Hoofdstuk,49,Die vierde die nam enen pasteit
Onbekend,Onbekend Hoofdstuk,50,Van alre vitailgen was dar plenteit
Onbekend,Onbekend Hoofdstuk,51,Die vaten setten sie ouer hooft
Onbekend,Onbekend Hoofdstuk,52,Van den wine des ghelooft
Onbekend,Onbekend Hoofdstuk,53,Ende sclouchem den bodem huut
Onbekend,Onbekend Hoofdstuk,54,Doe wart ghinder grot gheluutt
Onbekend,Onbekend Hoofdstuk,55,Die .i. dranc en die ander dranc soop
Onbekend,Onbekend Hoofdstuk,56,Die .i. seide brinc en dander loep
Onbekend,Onbekend Hoofdstuk,57,Deus welc .i. here es esmereit
Onbekend,Onbekend Hoofdstuk,58,Ghef hare caese nem hier enen paste[it]
Onbekend,Onbekend Hoofdstuk,59,Ende laet ons wesen welteghemake
Onbekend,Onbekend Hoofdstuk,60,Wy sullen tauent int beste sclape
Onbekend,Onbekend Hoofdstuk,61,[.............der ste]den
Onbekend,Onbekend Hoofdstuk,62,[Bes]ecgen onse sonden ripe weisen
Onbekend,Onbekend Hoofdstuk,63,[So]e eist met onsen liue ghedaen
Onbekend,Onbekend Hoofdstuk,64,[Di]e stede wert gewonnen saen
Onbekend,Onbekend Hoofdstuk,65,[Jo]f wij nebben andren raet
Onbekend,Onbekend Hoofdstuk,66,[Do]e was dar ghestaen .i. quaet
Onbekend,Onbekend Hoofdstuk,67,[G]aufroy was sin maech
Onbekend,Onbekend Hoofdstuk,68,[Te]n verranessen was hi niet traech
Onbekend,Onbekend Hoofdstuk,69,[T]e gaufrote spraci ende seide
Onbekend,Onbekend Hoofdstuk,70,[N]eue seti bi warede
Onbekend,Onbekend Hoofdstuk,71,[Di]e stadt die nes noch niet verloren
Onbekend,Onbekend Hoofdstuk,72,[Wi]ldi nar minen rade horen
Onbekend,Onbekend Hoofdstuk,73,[S]poet hu ghereet seide gaufrot
Onbekend,Onbekend Hoofdstuk,74,[Ge]ift ons raet wi hebbens noot
Onbekend,Onbekend Hoofdstuk,75,[Do]e seide die verrader hendri
