author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Dat god om onsen wille gaf
Onbekend,Onbekend Hoofdstuk,2,[Lae]t ons der sonden comen af
Onbekend,Onbekend Hoofdstuk,3,Ende altoes na weldoen staen
Onbekend,Onbekend Hoofdstuk,4,Soe [werd]en wi van gode ontfaen
Onbekend,Onbekend Hoofdstuk,5,Dese [g]aufoort daer ic af seide
Onbekend,Onbekend Hoofdstuk,6,[Wa]s on[t]houden dats waerheide
Onbekend,Onbekend Hoofdstuk,7,Met d[en] edelen coninc arnoude
Onbekend,Onbekend Hoofdstuk,8,Hi mach doen al datti woude
Onbekend,Onbekend Hoofdstuk,9,O[uer d]lant altemale
Onbekend,Onbekend Hoofdstuk,10,Die coninc was in sine zale
Onbekend,Onbekend Hoofdstuk,11,Met [he]m rose de coninginne
Onbekend,Onbekend Hoofdstuk,12,Gaufort hadde sine minne
Onbekend,Onbekend Hoofdstuk,13,Geleit an die ouerscone
Onbekend,Onbekend Hoofdstuk,14,Want men onder shemels trone
Onbekend,Onbekend Hoofdstuk,15,Geene scoender hadde vonden
Onbekend,Onbekend Hoofdstuk,16,D[an] rose was te dien stonden
Onbekend,Onbekend Hoofdstuk,17,Wie dat gaufoort minde zeree
Onbekend,Onbekend Hoofdstuk,18,Da[n] wiste arnout niet de here
Onbekend,Onbekend Hoofdstuk,19,D[ie] verrader const wel decken
Onbekend,Onbekend Hoofdstuk,20,Hi peinsde altoes om trecken
Onbekend,Onbekend Hoofdstuk,21,Hoe hi den coninc vergeuen
Onbekend,Onbekend Hoofdstuk,22,Mochte ende nemen dleuen
Onbekend,Onbekend Hoofdstuk,23,Om de minne vander vrouwe
Onbekend,Onbekend Hoofdstuk,24,Die goet was ende getrouwe
Onbekend,Onbekend Hoofdstuk,25,Si dedem waerdecheit ende ere
Onbekend,Onbekend Hoofdstuk,26,W[el] was te moede den grote here
Onbekend,Onbekend Hoofdstuk,27,Ende soe maecht elken man
Onbekend,Onbekend Hoofdstuk,28,Die i [wijf] heeft daer hi hem an
Onbekend,Onbekend Hoofdstuk,29,Houden mach dat so es goet
Onbekend,Onbekend Hoofdstuk,30,I. wijf alte vele eren doet
Onbekend,Onbekend Hoofdstuk,31,Haren man es soe getrouwe
Onbekend,Onbekend Hoofdstuk,32,Soe mach heten i. goede vrowe
Onbekend,Onbekend Hoofdstuk,33,Op dat so niet en ontweecht
Onbekend,Onbekend Hoofdstuk,34,Als haer wijf ten man waert geeft
Onbekend,Onbekend Hoofdstuk,35,Soe dat si hem es getrouwe
Onbekend,Onbekend Hoofdstuk,36,I. wijf gelijct den pellen van goude
Onbekend,Onbekend Hoofdstuk,37,Alsoe dede rose de coninginne
Onbekend,Onbekend Hoofdstuk,38,De vroedste vander werelt binnen
Onbekend,Onbekend Hoofdstuk,39,Dit mercte de felle gauf[r]oo[t]
Onbekend,Onbekend Hoofdstuk,40,De minne dedem zwaren noot
Onbekend,Onbekend Hoofdstuk,41,Maer [hi] sachse soe vroet van sinne
Onbekend,Onbekend Hoofdstuk,42,De goede vrouwe de coninginne
Onbekend,Onbekend Hoofdstuk,43,Dat hijs haer niet dorste gewagen
Onbekend,Onbekend Hoofdstuk,44,Hem zeluen moesti sijn noet clagen
Onbekend,Onbekend Hoofdstuk,45,Dic ente meneger vre
Onbekend,Onbekend Hoofdstuk,46,Ende pensde mocht dauonture
Onbekend,Onbekend Hoofdstuk,47,Noch soe comen datti soude
Onbekend,Onbekend Hoofdstuk,48,[S]inen here de coninc arnoude
Onbekend,Onbekend Hoofdstuk,49,[E]nechsins ter doot bringen
Onbekend,Onbekend Hoofdstuk,50,[Met] me[n]gen subtilen dingen
Onbekend,Onbekend Hoofdstuk,51,Hier an leidi sijn gedochte
Onbekend,Onbekend Hoofdstuk,52,Dicke peinsdi ofti mochte
Onbekend,Onbekend Hoofdstuk,53,Siere vrouwen comen tspraken
Onbekend,Onbekend Hoofdstuk,54,Maer noit vant hi so de zaken
Onbekend,Onbekend Hoofdstuk,55,Dat hijt hadde dorren bestaen
Onbekend,Onbekend Hoofdstuk,56,Dies was hi herde zeree ontdaen
Onbekend,Onbekend Hoofdstuk,57,Ende moeste doegen sijn smerte
Onbekend,Onbekend Hoofdstuk,58,Maer altoes stont hem therte
Onbekend,Onbekend Hoofdstuk,59,Om te doeden sinen here
Onbekend,Onbekend Hoofdstuk,60,Verraders geue god onnere
Onbekend,Onbekend Hoofdstuk,61,Hi minde alte zere de vrouwe
Onbekend,Onbekend Hoofdstuk,62,Die cleine achte op sinen rouwe
Onbekend,Onbekend Hoofdstuk,63,Dat wetic wel in waerder dinc
Onbekend,Onbekend Hoofdstuk,64,Si sat bi haren man den coninc
Onbekend,Onbekend Hoofdstuk,65,Te nimagen in de zale
Onbekend,Onbekend Hoofdstuk,66,Daer sach men tien seluen male
Onbekend,Onbekend Hoofdstuk,67,De scone vrouwe goedertiere
Onbekend,Onbekend Hoofdstuk,68,Comen haer scone kinder viere
Onbekend,Onbekend Hoofdstuk,69,Ermreit was out vij iaer
Onbekend,Onbekend Hoofdstuk,70,Dat weetic wel ouer waer
