author,chapter,line,text
Jan van Boendale,[Proloog],1,Om dat van Brabant die hertoghen
Jan van Boendale,[Proloog],2,"Voermaels dicke sijn beloghen,"
Jan van Boendale,[Proloog],3,"Alse dat si quamen metten swane,"
Jan van Boendale,[Proloog],4,Daer bi hebbic mi ghenomen ane
Jan van Boendale,[Proloog],"1,5","Dat ic die waerheit wille ontdecken,"
Jan van Boendale,[Proloog],6,Ende in dietscher rime vertrecken
Jan van Boendale,[Proloog],7,Wanen die hertoghen yerst quamen;
Jan van Boendale,[Proloog],8,Ende mede hoe waren hoer namen;
Jan van Boendale,[Proloog],9,Ende wat levene si antierden;
Jan van Boendale,[Proloog],"1,10",Ende hoe langhe si meest regneerden;
Jan van Boendale,[Proloog],11,"Mer, sijt des seker ende ghewes,"
Jan van Boendale,[Proloog],12,"Dat men van den swane segghende es,"
Jan van Boendale,[Proloog],13,Dat al loghene is gheveinsde;
Jan van Boendale,[Proloog],14,Ondanc hebbe diet peinsde!
Jan van Boendale,[Proloog],"1,15","Ic wane, hi waende twaren"
Jan van Boendale,[Proloog],16,Dat swanen edelre waren
Jan van Boendale,[Proloog],17,"Danne manne, ofte vrouwen mede,"
Jan van Boendale,[Proloog],18,Daeraf coemt al dedelhede
Jan van Boendale,[Proloog],19,Die ter werelt toebehoert:
Jan van Boendale,[Proloog],"1,20","Tswanen laet ons swighen voert,"
Jan van Boendale,[Proloog],21,"Ende hoer hier al dat hercomen,"
Jan van Boendale,[Proloog],22,Alsoe alsict hebbe vernomen
Jan van Boendale,[Proloog],23,"In den Spieghel historiale,"
Jan van Boendale,[Proloog],24,"Daer ict uut trac altemale,"
Jan van Boendale,[Proloog],"1,25","Die Jacob Van Merlant maecte,"
Jan van Boendale,[Proloog],26,"Die goede dichtre ende gheraecte,"
Jan van Boendale,[Proloog],27,"Inden dietschen, uten latine,"
Jan van Boendale,[Proloog],28,Daer omme hi hadde langhe pine.
Jan van Boendale,[Proloog],29,Al eest dat wi vinden moghen
Jan van Boendale,[Proloog],"1,30","Die hoghe yeesten der hertoghen,"
Jan van Boendale,[Proloog],31,"In den Spieghel bescreven,"
Jan van Boendale,[Proloog],32,Si staen soe onderweven
Jan van Boendale,[Proloog],33,"Met anderen yeesten, weder ende voert,"
Jan van Boendale,[Proloog],34,"Alsoe alse te dien boeke behoert,"
Jan van Boendale,[Proloog],"1,35","Datmen vinden en weet waer,"
Jan van Boendale,[Proloog],36,"Ende suken moet hier ende daer,"
Jan van Boendale,[Proloog],37,Ende daer op bliven even blint;
Jan van Boendale,[Proloog],38,Want dboek meneghen es onbekint:
Jan van Boendale,[Proloog],39,Daer bi heb ic sonderlinghe
Jan van Boendale,[Proloog],"1,40",Ute ghelesen die dinghe
Jan van Boendale,[Proloog],41,Die den hertoghen ane gaen;
Jan van Boendale,[Proloog],42,Soe moechdi claerlijc verstaen
Jan van Boendale,[Proloog],43,"Van beghinne thercomen al,"
Jan van Boendale,[Proloog],44,Alsoe mi bat ende beval
Jan van Boendale,[Proloog],"1,45","Van Antwerpen her Willem,"
Jan van Boendale,[Proloog],46,Bornecolve noemt men hem:
Jan van Boendale,[Proloog],47,"Ic hadde onrecht en dadict niet,"
Jan van Boendale,[Proloog],48,"Vroech ende spade, dat hi ghebiet,"
Jan van Boendale,[Proloog],49,Met al dat ic mach gheleesten.
Jan van Boendale,[Proloog],"1,50","Weet, dat Die Brabantsche Yeesten"
Jan van Boendale,[Proloog],51,Des boecks name sal sijn.
Jan van Boendale,[Proloog],52,God gheve dat ic mijn
Jan van Boendale,[Proloog],53,"Propoest, in desen dinghen,"
Jan van Boendale,[Proloog],54,"Ten einde alsoe moet bringhen,"
Jan van Boendale,[Proloog],"1,55","Dat te hoerne moete liden,"
Jan van Boendale,[Proloog],56,"Soe dat, om enich niden,"
Jan van Boendale,[Proloog],57,Met redenen niet en can
Jan van Boendale,[Proloog],58,Gheblameren enich man.
Jan van Boendale,[Proloog],59,"Dit boeck waert begonnen, voerwaer,"
Jan van Boendale,[Proloog],"1,60",Doe men screef Jhesus Cristus jaer
Jan van Boendale,[Proloog],61,"Dertien hondert, achtien mede,"
Jan van Boendale,[Proloog],62,"Al te Antwerpen, in die stede."
Jan van Boendale,VANDEN V STATEN DAER BRABANT IN HEEFT GEWEEST.,63,Dese boec es ghedeelt in viven;
Jan van Boendale,VANDEN V STATEN DAER BRABANT IN HEEFT GEWEEST.,64,Want ic wilder in bescriven
Jan van Boendale,VANDEN V STATEN DAER BRABANT IN HEEFT GEWEEST.,"1,65","Die V state, alsmen Ieest,"
Jan van Boendale,VANDEN V STATEN DAER BRABANT IN HEEFT GEWEEST.,66,Daer Brabant in heeft gheweest;
Jan van Boendale,VANDEN V STATEN DAER BRABANT IN HEEFT GEWEEST.,67,Ende hoe dat van sessen tsessen die staet
Jan van Boendale,VANDEN V STATEN DAER BRABANT IN HEEFT GEWEEST.,68,"Verwandelt, ende op ende neder gaet."
Jan van Boendale,VANDEN V STATEN DAER BRABANT IN HEEFT GEWEEST.,69,"Deerste sesse waren hertoghen,"
Jan van Boendale,VANDEN V STATEN DAER BRABANT IN HEEFT GEWEEST.,"1,70","Machtich, ende seer vermoghen,"
Jan van Boendale,VANDEN V STATEN DAER BRABANT IN HEEFT GEWEEST.,71,"Vrome, ende daer toe rike,"
Jan van Boendale,VANDEN V STATEN DAER BRABANT IN HEEFT GEWEEST.,72,"Ende som raet van Vrancrike,"
Jan van Boendale,VANDEN V STATEN DAER BRABANT IN HEEFT GEWEEST.,73,"Machtegher vele, te waren,"
Jan van Boendale,VANDEN V STATEN DAER BRABANT IN HEEFT GEWEEST.,74,Dan die coninghen selve waren.
Jan van Boendale,VANDEN V STATEN DAER BRABANT IN HEEFT GEWEEST.,"1,75","Dander sesse, in waerre dinghe,"
Jan van Boendale,VANDEN V STATEN DAER BRABANT IN HEEFT GEWEEST.,76,"Waren van Vrancrijcke coninghe,"
Jan van Boendale,VANDEN V STATEN DAER BRABANT IN HEEFT GEWEEST.,77,"Menich jaer in groter eeren,"
Jan van Boendale,VANDEN V STATEN DAER BRABANT IN HEEFT GEWEEST.,78,"Ende waren der heren heren,"
Jan van Boendale,VANDEN V STATEN DAER BRABANT IN HEEFT GEWEEST.,79,Ende keisere som van Rome.
Jan van Boendale,VANDEN V STATEN DAER BRABANT IN HEEFT GEWEEST.,"1,80","Die derde sesse, als ict gome,"
Jan van Boendale,VANDEN V STATEN DAER BRABANT IN HEEFT GEWEEST.,81,"Waren graven, ter waerheide,"
