author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Doe spraken si hyaer ane:
Onbekend,Onbekend Hoofdstuk,2,Eedel here pint v te slane;
Onbekend,Onbekend Hoofdstuk,3,Gi hebt ons nv sere gelaten.
Onbekend,Onbekend Hoofdstuk,4,Doe verwoede hyaer vtermaten.
Onbekend,Onbekend Hoofdstuk,5,Hi hilt den scarpen durendale
Onbekend,Onbekend Hoofdstuk,6,Die bebloet was altemale.
Onbekend,Onbekend Hoofdstuk,7,Dor die battaelge smet hi met sporen.
Onbekend,Onbekend Hoofdstuk,8,Antquintine den hertoge vercoren
Onbekend,Onbekend Hoofdstuk,9,"Sloch hi met enen scarpen snede,"
Onbekend,Onbekend Hoofdstuk,10,Dat hi sinen helm cliven dede;
Onbekend,Onbekend Hoofdstuk,11,"Die coufie en stoet hem niet in staden,"
Onbekend,Onbekend Hoofdstuk,12,Toten scoudren dedi tsuert baden.
Onbekend,Onbekend Hoofdstuk,13,"Nv hort, dor gode, wonder groet:"
Onbekend,Onbekend Hoofdstuk,14,"Hi viel neder wel na doet,"
Onbekend,Onbekend Hoofdstuk,15,Nochtan addi so grote machte
Onbekend,Onbekend Hoofdstuk,16,Dat hi weder op stoet met crachte
Onbekend,Onbekend Hoofdstuk,17,Sine hande leide hi te gad[er]
Onbekend,Onbekend Hoofdstuk,18,"""pensd[............]"
Onbekend,Onbekend Hoofdstuk,19,[...............]
Onbekend,Onbekend Hoofdstuk,20,Doen verwen[............]
Onbekend,Onbekend Hoofdstuk,20,Die karel nit[..........]
Onbekend,Onbekend Hoofdstuk,22,Hi sal vresel[...........]
Onbekend,Onbekend Hoofdstuk,23,Doe si verhord[.........]
Onbekend,Onbekend Hoofdstuk,24,Elc liep ten p[...........]
Onbekend,Onbekend Hoofdstuk,25,Die men dar ge[...........]
Onbekend,Onbekend Hoofdstuk,25,Die gewonde[............]
Onbekend,Onbekend Hoofdstuk,27,Selc nam een[...........]
Onbekend,Onbekend Hoofdstuk,28,Elc wapenden ge[..........]
Onbekend,Onbekend Hoofdstuk,29,Die een suert add[..........]
Onbekend,Onbekend Hoofdstuk,30,Selc en antdax[..........]
Onbekend,Onbekend Hoofdstuk,30,Eit[...]p[..]ten g[.......]
Onbekend,Onbekend Hoofdstuk,32,Si scorden amelak[.......]
Onbekend,Onbekend Hoofdstuk,33,Ende maecten dar af[........]
Onbekend,Onbekend Hoofdstuk,34,[Ende] rolant hi ginc
Onbekend,Onbekend Hoofdstuk,35,[...............]
Onbekend,Onbekend Hoofdstuk,36,[...............]
Onbekend,Onbekend Hoofdstuk,37,[.........]rd lesen
Onbekend,Onbekend Hoofdstuk,35,[.........]v desen
Onbekend,Onbekend Hoofdstuk,39,[.........]heide
Onbekend,Onbekend Hoofdstuk,40,[.........]wareide
Onbekend,Onbekend Hoofdstuk,41,[.........]te mi so goet
Onbekend,Onbekend Hoofdstuk,42,[.........]inen moet
Onbekend,Onbekend Hoofdstuk,40,[.........]etsche maken
Onbekend,Onbekend Hoofdstuk,44,[.........]geraken
Onbekend,Onbekend Hoofdstuk,45,[.........]et ane name
Onbekend,Onbekend Hoofdstuk,46,[.........]rasinen quame
Onbekend,Onbekend Hoofdstuk,47,[.........]ken woude
Onbekend,Onbekend Hoofdstuk,45,[.........]lone soude
Onbekend,Onbekend Hoofdstuk,49,[.........]oren lesen
Onbekend,Onbekend Hoofdstuk,50,[.........]nre wesen
Onbekend,Onbekend Hoofdstuk,51,[.........]aer
Onbekend,Onbekend Hoofdstuk,52,[...............]
Onbekend,Onbekend Hoofdstuk,53,[...............]
Onbekend,Onbekend Hoofdstuk,54,Ende ic soude gesont wederkeren.
Onbekend,Onbekend Hoofdstuk,50,"Mar ocht ons die heidine vaen,"
Onbekend,Onbekend Hoofdstuk,56,"Segt mi, hoe mogen wi hem ontgaen,"
Onbekend,Onbekend Hoofdstuk,57,Gi siet wel hoet met ons staet.
Onbekend,Onbekend Hoofdstuk,58,"Dat dinct mi de beste raet,"
Onbekend,Onbekend Hoofdstuk,59,Dat wi ons beuelen gemenlike
Onbekend,Onbekend Hoofdstuk,55,"Onsen here van hemelrike,"
Onbekend,Onbekend Hoofdstuk,61,Dat hi ons hoede van der doet
Onbekend,Onbekend Hoofdstuk,62,"Ende verlosse vte derre noet,"
Onbekend,Onbekend Hoofdstuk,63,Also gewaerlike dinc
Onbekend,Onbekend Hoofdstuk,64,Alse hi die doet dor ons ontfinc.
Onbekend,Onbekend Hoofdstuk,60,G[wij]t die hertoge vercoren
Onbekend,Onbekend Hoofdstuk,66,Nopede sin ors metten sporen
Onbekend,Onbekend Hoofdstuk,67,Ende quekede sin spere
Onbekend,Onbekend Hoofdstuk,68,Ende vor steken makabere
Onbekend,Onbekend Hoofdstuk,69,[S]o dat hi sine wapene brac
Onbekend,Onbekend Hoofdstuk,65,[.........]buec stac
Onbekend,Onbekend Hoofdstuk,71,[...............]
Onbekend,Onbekend Hoofdstuk,72,[...............]
Onbekend,Onbekend Hoofdstuk,73,[...............]
Onbekend,Onbekend Hoofdstuk,74,D[..............]
Onbekend,Onbekend Hoofdstuk,75,Ende b[oc(?)......]
Onbekend,Onbekend Hoofdstuk,76,Mar hi nv[........]
Onbekend,Onbekend Hoofdstuk,77,Ene palm[........]
Onbekend,Onbekend Hoofdstuk,70,Met dure[........]
Onbekend,Onbekend Hoofdstuk,79,Wien hi g[........]
Onbekend,Onbekend Hoofdstuk,80,Nochtan[...........]
Onbekend,Onbekend Hoofdstuk,81,Hine ha[..........]
Onbekend,Onbekend Hoofdstuk,82,Sin tek[...........]
Onbekend,Onbekend Hoofdstuk,75,Salaty[..........]
Onbekend,Onbekend Hoofdstuk,84,Cador v[...........]
Onbekend,Onbekend Hoofdstuk,85,Triam[.........]
Onbekend,Onbekend Hoofdstuk,86,Si du[...........]
Onbekend,Onbekend Hoofdstuk,87,Nv ad[..........]
Onbekend,Onbekend Hoofdstuk,80,Si m[...........]
Onbekend,Onbekend Hoofdstuk,89,Doe[.............]
Onbekend,Onbekend Hoofdstuk,90,[...............]
Onbekend,Onbekend Hoofdstuk,91,[...............]
Onbekend,Onbekend Hoofdstuk,92,[.........]de
Onbekend,Onbekend Hoofdstuk,93,[.........]quam
Onbekend,Onbekend Hoofdstuk,94,[.........]eel nam
Onbekend,Onbekend Hoofdstuk,85,[.........]ere
Onbekend,Onbekend Hoofdstuk,96,[...............]
Onbekend,Onbekend Hoofdstuk,97,[.........]em
Onbekend,Onbekend Hoofdstuk,98,[.........]em
Onbekend,Onbekend Hoofdstuk,99,[.........]male
Onbekend,Onbekend Hoofdstuk,100,[...............]
Onbekend,Onbekend Hoofdstuk,101,[...............]
Onbekend,Onbekend Hoofdstuk,102,[.........]sin
Onbekend,Onbekend Hoofdstuk,90,[.........]n
