author,chapter,line,text
Jacob van Maerlant,1.,1,"Waert dats mi Maria onde,"
Jacob van Maerlant,1.,2,Met enen besmetten monde
Jacob van Maerlant,1.,3,"Prijsdic gherne suverhede,"
Jacob van Maerlant,1.,4,"Haer te eren, die noit sonde"
Jacob van Maerlant,1.,5,"No en dede no en conde,"
Jacob van Maerlant,1.,6,"Noch ghepeinsen dorperhede,"
Jacob van Maerlant,1.,7,"Indien dat si mi ontbonde,"
Jacob van Maerlant,1.,8,Si die menighe sware sonde
Jacob van Maerlant,1.,9,"Heeft gheganst met hare bede,"
Jacob van Maerlant,1.,10,So dat mi ter lester stonde
Jacob van Maerlant,1.,11,"Jhesus Kerst so reine vonde,"
Jacob van Maerlant,1.,12,Dat hi mi ter lester stede
Jacob van Maerlant,1.,13,Decte onder sine lede.
Jacob van Maerlant,2.,14,Nadien dat ic wille waken
Jacob van Maerlant,2.,15,Omme dichten ende omme maken
Jacob van Maerlant,2.,16,"Rime van der moeder ons Heren,"
Jacob van Maerlant,2.,17,"So waert onrecht, soude mi vaken;"
Jacob van Maerlant,2.,18,"Maer ic bidde, dat si doe smaken"
Jacob van Maerlant,2.,19,"So mijn dichten ende mijn leren,"
Jacob van Maerlant,2.,20,Dat ic moet in Dietscher spraken
Jacob van Maerlant,2.,21,"Fraye rime also gheraken,"
Jacob van Maerlant,2.,22,"Haren lieven Sone teren,"
Jacob van Maerlant,2.,23,Dat hi in der lester wraken
Jacob van Maerlant,2.,24,"Mijns niet en moet ontsaken,"
Jacob van Maerlant,2.,25,"Maer sijn ootmoet an mi keren,"
Jacob van Maerlant,2.,26,Alle den duvelen tonneren.
Jacob van Maerlant,3.,27,Ghi sijt bi den Paradise
Jacob van Maerlant,3.,28,"Wel betekent, Vrouwe van prise,"
Jacob van Maerlant,3.,29,Daer uut spranc deerste fonteine;
Jacob van Maerlant,3.,30,Recht in der selver wise
Jacob van Maerlant,3.,31,"Quam van u der enghele spise,"
Jacob van Maerlant,3.,32,"Die ghi droeghet, Maghet reine,"
Jacob van Maerlant,3.,33,Ende om her Adaems onwise
Jacob van Maerlant,3.,34,Vanden appel ende vanden rise
Jacob van Maerlant,3.,35,Al hier quam in desen weine.
Jacob van Maerlant,3.,36,Dus ghevielt ons wel te sise
Jacob van Maerlant,3.,37,"Bi u, Maria Vrouwe, dat ghise"
Jacob van Maerlant,3.,38,"Hebt verloost, groot ende cleine,"
Jacob van Maerlant,3.,39,Die in die werelt sijn ghemeine.
Jacob van Maerlant,4.,40,Wilen in der eerster ure
Jacob van Maerlant,4.,41,"Maecte God, seit die Scrifture,"
Jacob van Maerlant,4.,42,"Van der erden den here Adame,"
Jacob van Maerlant,4.,43,Eer noit quam in derde vure;
Jacob van Maerlant,4.,44,"Om datsi was reine ende pure,"
Jacob van Maerlant,4.,45,Gevewi haer magheden name.
Jacob van Maerlant,4.,46,Recht in der selver figure
Jacob van Maerlant,4.,47,Droeghedi boven die nature
Jacob van Maerlant,4.,48,Sonder smette ende sonder blame
Jacob van Maerlant,4.,49,"Uwen vader, creature,"
Jacob van Maerlant,4.,50,Die noch noit en wart te sure
Jacob van Maerlant,4.,51,Clein no groot uwen lichame:
Jacob van Maerlant,4.,52,Moeder sidi sonder scame.
Jacob van Maerlant,5.,53,"Doe her Adaem sonde dede,"
Jacob van Maerlant,5.,54,Dreighede God ter selver stede
Jacob van Maerlant,5.,55,Dat serpent met u wel sere;
Jacob van Maerlant,5.,56,"Hi sprac: ""Ic sal setten onvrede"
Jacob van Maerlant,5.,57,Tusschen di ende twijf mede:
Jacob van Maerlant,5.,58,Si sal dijn hovet emmermere
Jacob van Maerlant,5.,59,"Bedwinghen ende al dine lede."""
Jacob van Maerlant,5.,60,"Dus hebdi, Vrouwe, die moghenthede"
Jacob van Maerlant,5.,61,Van Gode boven Lucifere.
Jacob van Maerlant,5.,62,Dor uwe grote ootmoedichede
Jacob van Maerlant,5.,63,"Ontfaet, Vrouwe, mine bede,"
Jacob van Maerlant,5.,64,"Ende dwinghet so den helschen here,"
