author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,"Nu hoert, ghi heren, al besonder:"
Onbekend,Onbekend Hoofdstuk,2,Ic sal u segghen wonder!
Onbekend,Onbekend Hoofdstuk,3,Wildijt te rechte marken
Onbekend,Onbekend Hoofdstuk,4,"Ende gire na wille t warken,"
Onbekend,Onbekend Hoofdstuk,5,"Het mach u lichte comen,"
Onbekend,Onbekend Hoofdstuk,6,Dat het u mach sere vromen.
Onbekend,Onbekend Hoofdstuk,7,"Wildiere omme nemen goem,"
Onbekend,Onbekend Hoofdstuk,8,Ghi moghet weten of u droem
Onbekend,Onbekend Hoofdstuk,9,"Di u nachtes comt tevoren,"
Onbekend,Onbekend Hoofdstuk,10,Sal bliscap wesen ofte toren;
Onbekend,Onbekend Hoofdstuk,11,Ende ghi suulde oec van der mane
Onbekend,Onbekend Hoofdstuk,12,"En deel verstaen, na minen wane,"
Onbekend,Onbekend Hoofdstuk,13,Des ghi suul te vroeder wesen.
Onbekend,Onbekend Hoofdstuk,14,"Nu hort wat wi vinden lesen,"
Onbekend,Onbekend Hoofdstuk,15,"Ende wat ons oec Sente Daniel,"
Onbekend,Onbekend Hoofdstuk,16,"Die prophete, seghet wel"
Onbekend,Onbekend Hoofdstuk,17,"(Want hijt verstont aldus van Gode,"
Onbekend,Onbekend Hoofdstuk,18,"Bi den enghel, Sine bode)"
Onbekend,Onbekend Hoofdstuk,19,Alsoe alse ic u segghen sal.
Onbekend,Onbekend Hoofdstuk,20,"God gheve mi dertoe gheval,"
Onbekend,Onbekend Hoofdstuk,21,"Dat ict alsoe gheseggen moghe,"
Onbekend,Onbekend Hoofdstuk,22,Dat het mi ende u oec doghe.
Onbekend,Onbekend Hoofdstuk,23,"Nu, hebt herte ende sin,"
Onbekend,Onbekend Hoofdstuk,24,"Ende onhoudet wel dar in,"
Onbekend,Onbekend Hoofdstuk,25,"Want het sijn vele doren,"
Onbekend,Onbekend Hoofdstuk,26,Die nie ne verstaen dat si horen.
Onbekend,Onbekend Hoofdstuk,27,Ne sien die herten niet ondaen
Onbekend,Onbekend Hoofdstuk,28,"Tontfane die wort saen,"
Onbekend,Onbekend Hoofdstuk,29,"Ende wat men seget mene onhoudet wale,"
Onbekend,Onbekend Hoofdstuk,30,Soe est algader blinde tale.
Onbekend,Onbekend Hoofdstuk,31,"Nu moete mi God gehinghen,"
Onbekend,Onbekend Hoofdstuk,32,"Dat ict soe mote vulbringen,"
Onbekend,Onbekend Hoofdstuk,33,Dat ics mote prijs ontfaen.
Onbekend,Onbekend Hoofdstuk,34,Van der manen willic bestaen
Onbekend,Onbekend Hoofdstuk,35,Nu te seggene wat crahte
Onbekend,Onbekend Hoofdstuk,36,Dat si hevet in elker nachte;
Onbekend,Onbekend Hoofdstuk,37,Van den kijnde dat danne tevoren
Onbekend,Onbekend Hoofdstuk,38,"Comet ende wort gheboren,"
Onbekend,Onbekend Hoofdstuk,39,"Ende hoe langhe dat het sal leven,"
Onbekend,Onbekend Hoofdstuk,40,"Ende van wat maniren wesen,"
Onbekend,Onbekend Hoofdstuk,41,"Weder goet ofte quaet,"
Onbekend,Onbekend Hoofdstuk,42,Dat en es neghen baraet.
Onbekend,Onbekend Hoofdstuk,43,"Ende of die zieke sal ghenesen,"
Onbekend,Onbekend Hoofdstuk,44,Ofte langhe in qualen wesen;
Onbekend,Onbekend Hoofdstuk,45,"Ende dat men stelet in der stonden,"
Onbekend,Onbekend Hoofdstuk,46,Oft blivet verloren ofte vonden;
Onbekend,Onbekend Hoofdstuk,47,"Ende wat die droeme sullen spellen,"
Onbekend,Onbekend Hoofdstuk,48,Dat sal ic algader tellen
Onbekend,Onbekend Hoofdstuk,49,"In elker nachtelike,"
Onbekend,Onbekend Hoofdstuk,50,Dat segge ic u ghewarlike!
Onbekend,Onbekend Hoofdstuk,51,"Alse prime es die mane,"
Onbekend,Onbekend Hoofdstuk,52,Es alle saken te bestane
Onbekend,Onbekend Hoofdstuk,53,Best dincte ende goet;
Onbekend,Onbekend Hoofdstuk,54,Ende het sal hebben goeden spoet
Onbekend,Onbekend Hoofdstuk,55,Wat men danne wille anevaen.
Onbekend,Onbekend Hoofdstuk,56,"Ende die sieke sullen opstaen,"
Onbekend,Onbekend Hoofdstuk,57,Nochtanne sal hi langhe quellen.
Onbekend,Onbekend Hoofdstuk,58,"Ende dat danne dromt, dat sal bliscap spellen."
Onbekend,Onbekend Hoofdstuk,59,"Ende tkint dat danne wert geboren,"
Onbekend,Onbekend Hoofdstuk,60,Het sal sonder groeten toren
Onbekend,Onbekend Hoofdstuk,61,"Leven eenne lange stont,"
Onbekend,Onbekend Hoofdstuk,62,Ende werden namecont.
Onbekend,Onbekend Hoofdstuk,63,"Alse die mane es out dage tue,"
Onbekend,Onbekend Hoofdstuk,64,"Es water guet te ledene,"
Onbekend,Onbekend Hoofdstuk,65,"Ende te winnen lant,"
Onbekend,Onbekend Hoofdstuk,66,"Ende te copene ghewant,"
Onbekend,Onbekend Hoofdstuk,67,Ende te vercopene dat men hevet.
Onbekend,Onbekend Hoofdstuk,68,"Soe wat dat men danne stelet,"
Onbekend,Onbekend Hoofdstuk,69,"Dat ne mach bliven niet verloren,"
Onbekend,Onbekend Hoofdstuk,70,Al hebbens die liede groeten toren.
Onbekend,Onbekend Hoofdstuk,71,Ende die dan met siecheden
Onbekend,Onbekend Hoofdstuk,72,"Wart bestaen, sal saen ghenesen."
Onbekend,Onbekend Hoofdstuk,73,Ende dat dan in den slaep
Onbekend,Onbekend Hoofdstuk,74,"Comt tevoren, es niet quaet."
Onbekend,Onbekend Hoofdstuk,75,Ende tkint dat dan wert gheboren
Onbekend,Onbekend Hoofdstuk,76,"Hevet Onse Here vercoren,"
Onbekend,Onbekend Hoofdstuk,77,"Ende gesaket te Sinen handen,"
Onbekend,Onbekend Hoofdstuk,78,Want hen sal leven niet lange.
Onbekend,Onbekend Hoofdstuk,79,"Alse die mane es out drie daghe,"
Onbekend,Onbekend Hoofdstuk,80,"Dat en es oec negene sage,"
Onbekend,Onbekend Hoofdstuk,81,Soe ne doe niet in dijn hof:
Onbekend,Onbekend Hoofdstuk,82,Daer soude quaet crut comen of.
Onbekend,Onbekend Hoofdstuk,83,"Ende diefte sal worden vonden,"
Onbekend,Onbekend Hoofdstuk,84,Dien men dan steelt in corten stonden.
Onbekend,Onbekend Hoofdstuk,85,Ende dat di dromet bediedet niet.
Onbekend,Onbekend Hoofdstuk,86,"Ende wie soe danne werdet siec,"
Onbekend,Onbekend Hoofdstuk,87,Ne mach met den live niet ontgaen.
Onbekend,Onbekend Hoofdstuk,88,"Dat machtu weten sonder waen,"
Onbekend,Onbekend Hoofdstuk,89,"Want daer nes geen tvivel aen,"
Onbekend,Onbekend Hoofdstuk,90,Hine moet endelike die doet ontfaen.
Onbekend,Onbekend Hoofdstuk,91,Ende wort oec een kint
Onbekend,Onbekend Hoofdstuk,92,"Geboren, hen mach en tvint"
Onbekend,Onbekend Hoofdstuk,93,In dese werelt bliven
Onbekend,Onbekend Hoofdstuk,94,Langer dan te halven live.
Onbekend,Onbekend Hoofdstuk,95,"Sente Daniel doet ons te verstane,"
Onbekend,Onbekend Hoofdstuk,96,"Alse iv dage es out die mane,"
Onbekend,Onbekend Hoofdstuk,97,Dat dan alle dinch es goet
Onbekend,Onbekend Hoofdstuk,98,Te werkene ende leidene vloet
Onbekend,Onbekend Hoofdstuk,99,Daer watermolen bi mach gaen.
Onbekend,Onbekend Hoofdstuk,100,"Ende die sieke sal cume ontgaen,"
Onbekend,Onbekend Hoofdstuk,101,Of hi sal sterven haestelike.
Onbekend,Onbekend Hoofdstuk,102,God gheve hem hemelrike!
Onbekend,Onbekend Hoofdstuk,103,"Dat dan droemet sal dieden,"
Onbekend,Onbekend Hoofdstuk,104,"Dat moghen wel verstaen die liede,"
Onbekend,Onbekend Hoofdstuk,105,"Si het goet, si het quaet."
Onbekend,Onbekend Hoofdstuk,106,Ende tkint dat danne lijf ontfaet
Onbekend,Onbekend Hoofdstuk,107,Sal hem vele wel generen
Onbekend,Onbekend Hoofdstuk,108,Ende leven met groten heren.
Onbekend,Onbekend Hoofdstuk,109,"Alse die mane v dage out es,"
Onbekend,Onbekend Hoofdstuk,110,"Des moghedi wale sin ghewes,"
Onbekend,Onbekend Hoofdstuk,111,"Es sacrament te gevene goet,"
Onbekend,Onbekend Hoofdstuk,112,Maer het es vrese groet.
Onbekend,Onbekend Hoofdstuk,113,"Ende dat men dan steelet,"
Onbekend,Onbekend Hoofdstuk,114,Ne mach bliven niet ontweget.
Onbekend,Onbekend Hoofdstuk,115,Ende dat di dromet sal emmer wesen
Onbekend,Onbekend Hoofdstuk,116,Overlanc; nem rat daer segen!
Onbekend,Onbekend Hoofdstuk,117,"Ende die oec wordet siec,"
Onbekend,Onbekend Hoofdstuk,118,Hine mach genesen niet.
Onbekend,Onbekend Hoofdstuk,119,Ende tkint sal sterven haestelike
Onbekend,Onbekend Hoofdstuk,120,Ende varen te hemelrike.
Onbekend,Onbekend Hoofdstuk,121,"Alse ses dage es out die mane,"
Onbekend,Onbekend Hoofdstuk,122,"Daer nes oec geen tvivel ane,"
Onbekend,Onbekend Hoofdstuk,123,Dat danne sonder tvivel doet
Onbekend,Onbekend Hoofdstuk,124,"Met haveken tejagene goet,"
Onbekend,Onbekend Hoofdstuk,125,Ende met allen vederspele.
Onbekend,Onbekend Hoofdstuk,126,"So wat dat men dan stele,"
Onbekend,Onbekend Hoofdstuk,127,Dat blivet emmer verloren.
Onbekend,Onbekend Hoofdstuk,128,"Ende dat di dan comt tevoren,"
Onbekend,Onbekend Hoofdstuk,129,"Des machtu wale seker sijn,"
Onbekend,Onbekend Hoofdstuk,130,Dat het emmer sal gescien.
Onbekend,Onbekend Hoofdstuk,131,"Wachti, ende nemet segen raet."
Onbekend,Onbekend Hoofdstuk,132,"Ende tkint dat dan lijf ontfaet,"
Onbekend,Onbekend Hoofdstuk,133,Dat sal vele lange leven
Onbekend,Onbekend Hoofdstuk,134,Ende goet ter werelt wesen.
Onbekend,Onbekend Hoofdstuk,135,Ic segt u alsic wane:
Onbekend,Onbekend Hoofdstuk,136,"Alse VII dage es out die mane,"
Onbekend,Onbekend Hoofdstuk,137,Dat dan goet laten doet
Onbekend,Onbekend Hoofdstuk,138,in dien selven dage bloet.
Onbekend,Onbekend Hoofdstuk,139,"Ende quickenoet dat men wille temen,"
Onbekend,Onbekend Hoofdstuk,140,Dat het wale sal vernemen.
Onbekend,Onbekend Hoofdstuk,141,Ende diefte sal worden vonden.
Onbekend,Onbekend Hoofdstuk,142,Die sieke sal in corten stonden
Onbekend,Onbekend Hoofdstuk,143,"Genesen; ende dinen droem,"
Onbekend,Onbekend Hoofdstuk,144,"Des nem oec goeden goem,"
Onbekend,Onbekend Hoofdstuk,145,"Hoe so hi di comt tevoren,"
Onbekend,Onbekend Hoofdstuk,146,"Si het bliscaep ofte toren,"
Onbekend,Onbekend Hoofdstuk,147,Sal over lange tijt gescien.
Onbekend,Onbekend Hoofdstuk,148,Des ne machtu niet ontflien.
