author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,"Een heilich man, Daniel,"
Onbekend,Onbekend Hoofdstuk,2,Seet ons dese redene wael;
Onbekend,Onbekend Hoofdstuk,3,Salomon eest dies orcondt
Onbekend,Onbekend Hoofdstuk,4,Dat hi nye mit sinen monde
Onbekend,Onbekend Hoofdstuk,5,Anders dan waer en seide
Onbekend,Onbekend Hoofdstuk,6,Hij seide nae der waerheide
Onbekend,Onbekend Hoofdstuk,7,Dat droem ende visione
Onbekend,Onbekend Hoofdstuk,8,Bi der manen nemen si gome;
Onbekend,Onbekend Hoofdstuk,9,Bi der manen neemt men ware
Onbekend,Onbekend Hoofdstuk,10,"Van live, van dade apenbare."
Onbekend,Onbekend Hoofdstuk,11,"Hij seet: Als die mane prime si,"
Onbekend,Onbekend Hoofdstuk,12,Tallen dingen es se guet si;
Onbekend,Onbekend Hoofdstuk,13,"Tkijnt, dat dan wort geboren,"
Onbekend,Onbekend Hoofdstuk,14,"Is ten gueden wercke vercoren,"
Onbekend,Onbekend Hoofdstuk,15,"Lange salt leven ende sijn vroet,"
Onbekend,Onbekend Hoofdstuk,16,Hij vijndet gescreven dat waer sijn moet.
Onbekend,Onbekend Hoofdstuk,17,"Hij sal sijn guet coepman,"
Onbekend,Onbekend Hoofdstuk,18,"Ende landt te wijnnen guet ackerman,"
Onbekend,Onbekend Hoofdstuk,19,Guet te wijnnen ende geradich
Onbekend,Onbekend Hoofdstuk,20,Ende te durne lange gestadich.
Onbekend,Onbekend Hoofdstuk,21,"Eest oec dattet si een meysken,"
Onbekend,Onbekend Hoofdstuk,22,Soe salt suver ende schoen sijn.
Onbekend,Onbekend Hoofdstuk,23,"Dien dan comt an ongesonde,"
Onbekend,Onbekend Hoofdstuk,24,Si sal geduren lange stonde.
Onbekend,Onbekend Hoofdstuk,25,Dan sijn die dromen loes
Onbekend,Onbekend Hoofdstuk,26,Meer dan ennigen tijt altoes.
Onbekend,Onbekend Hoofdstuk,27,Bi der manen soe geet all
Onbekend,Onbekend Hoofdstuk,28,Dat in die werlt heeft geval;
Onbekend,Onbekend Hoofdstuk,29,"Ende wildijs nemen waer,"
Onbekend,Onbekend Hoofdstuk,30,Gij moget proven apenbaer.
Onbekend,Onbekend Hoofdstuk,31,Hier moechdi grote virtute horen:
Onbekend,Onbekend Hoofdstuk,32,"Een kijnt, dat wort geboeren"
Onbekend,Onbekend Hoofdstuk,33,"Alse secunde is die mane,"
Onbekend,Onbekend Hoofdstuk,34,Alle guet vloyet hem ane:
Onbekend,Onbekend Hoofdstuk,35,Dan daet guet met sijnnen
Onbekend,Onbekend Hoofdstuk,36,Alle ambochte begijnnen.
Onbekend,Onbekend Hoofdstuk,37,"Die dan geboeren wort, als wi lesen,"
Onbekend,Onbekend Hoofdstuk,38,Hij sal vroet ende sachte wesen;
Onbekend,Onbekend Hoofdstuk,39,"Dies en ontsie cleyn noch groet,"
Onbekend,Onbekend Hoofdstuk,40,Hij sal sterven schoenre doet.
Onbekend,Onbekend Hoofdstuk,41,Die en worden nummer soe verholen
Onbekend,Onbekend Hoofdstuk,42,"Dingen die dan sijn gestolen,"
Onbekend,Onbekend Hoofdstuk,43,"Si en werden wedervonden,"
Onbekend,Onbekend Hoofdstuk,44,Wil men derom pinen tien stonden.
Onbekend,Onbekend Hoofdstuk,45,"Die dan wort ongesont,"
Onbekend,Onbekend Hoofdstuk,46,Hij geneest in corter stont.
Onbekend,Onbekend Hoofdstuk,47,"Dan sijn die droem loes,"
Onbekend,Onbekend Hoofdstuk,48,Dies sijt seker altoes.
Onbekend,Onbekend Hoofdstuk,49,"Alse tertie is die mane,"
Onbekend,Onbekend Hoofdstuk,50,"Dan doet ons dit boec verstaen,"
Onbekend,Onbekend Hoofdstuk,51,Dat totter primetijt is guet
Onbekend,Onbekend Hoofdstuk,52,Alle dinc die men doet;
Onbekend,Onbekend Hoofdstuk,53,"Mer alse prime lijdt,"
Onbekend,Onbekend Hoofdstuk,54,Soe verargert die tijt;
Onbekend,Onbekend Hoofdstuk,55,"Dan sal men hueden van comenscape,"
Onbekend,Onbekend Hoofdstuk,56,Ende van der zee te vaeren mit scepen:
Onbekend,Onbekend Hoofdstuk,57,"Eeren, sayen, copen, vercopen,"
Onbekend,Onbekend Hoofdstuk,58,Daeraff dat men luttel hopen
Onbekend,Onbekend Hoofdstuk,59,"Enne si doer Gads wille allene,"
Onbekend,Onbekend Hoofdstuk,60,Ende doer andere wijnninge engheen.
Onbekend,Onbekend Hoofdstuk,61,"Die dan yet copen sall,"
Onbekend,Onbekend Hoofdstuk,62,Hij sal die wijnninge hebben smal.
Onbekend,Onbekend Hoofdstuk,63,Dan sal men peerde telden leren
Onbekend,Onbekend Hoofdstuk,64,Ende fel beesten van quaden seden leren.
Onbekend,Onbekend Hoofdstuk,65,"Dien dan quade ziecheit comt toe,"
Onbekend,Onbekend Hoofdstuk,66,Neghen dagen blijft se soe
Onbekend,Onbekend Hoofdstuk,67,Mit hem; en si dat sake
Onbekend,Onbekend Hoofdstuk,68,Dat hij mit genen gemake
Onbekend,Onbekend Hoofdstuk,69,"Opten tienden dach mach opstaen,"
Onbekend,Onbekend Hoofdstuk,70,Soe is sijn leven gedaen.
Onbekend,Onbekend Hoofdstuk,71,Tkijnt dat dan geboren sal sijn
Onbekend,Onbekend Hoofdstuk,72,"Stout ende fier, ende quaet fijn"
Onbekend,Onbekend Hoofdstuk,73,"Saelt sterven, ende armeliken"
Onbekend,Onbekend Hoofdstuk,74,"Salt doen ende keytiveliken,"
Onbekend,Onbekend Hoofdstuk,75,Het sal die doet mit suerden ontfaen
Onbekend,Onbekend Hoofdstuk,76,Ofte aen galgen hangen zaen.
Onbekend,Onbekend Hoofdstuk,77,"Alse vier dage heeft die mane,"
Onbekend,Onbekend Hoofdstuk,78,Elc man vang coenliken ane
Onbekend,Onbekend Hoofdstuk,79,"Alrehande werc ende begijnne,"
Onbekend,Onbekend Hoofdstuk,80,Het sal hem comen te gewijnne.
Onbekend,Onbekend Hoofdstuk,81,"Die dan geboeren wort, eest wijff of man,"
Onbekend,Onbekend Hoofdstuk,82,Luxurie sal hem comen an.
Onbekend,Onbekend Hoofdstuk,83,Dat verstolen is tien stonden
Onbekend,Onbekend Hoofdstuk,84,Dat wort wedervonden.
Onbekend,Onbekend Hoofdstuk,85,"Bijnnen seven dagen, noemdijs goem,"
Onbekend,Onbekend Hoofdstuk,86,Ondervijndi uwen droem.
Onbekend,Onbekend Hoofdstuk,87,Die mane opten vijften dach
Onbekend,Onbekend Hoofdstuk,88,Beteykent ons quaet bejach.
Onbekend,Onbekend Hoofdstuk,89,"Tkijnt, dat dan wort geboren, sal onlange leven;"
Onbekend,Onbekend Hoofdstuk,90,"Ende levet lange, et sal sneven,"
