author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,PRIEME.
Onbekend,Onbekend Hoofdstuk,2,"Alse de mane es van eenen daghe,"
Onbekend,Onbekend Hoofdstuk,3,Dan es die tijt harde ghelaghe
Onbekend,Onbekend Hoofdstuk,4,Ende doet goet alle dijnc bestaen.
Onbekend,Onbekend Hoofdstuk,5,"Die in siecheden wert bevaen,"
Onbekend,Onbekend Hoofdstuk,5,"Hets lanc eer hi mach ghenesen,"
Onbekend,Onbekend Hoofdstuk,7,Want hi moet quellende wesen.
Onbekend,Onbekend Hoofdstuk,8,"So wat so men in drome siet,"
Onbekend,Onbekend Hoofdstuk,9,Daer ne comt of gheen verdriet.
Onbekend,Onbekend Hoofdstuk,10,"Al verwinnendi dine viande,"
Onbekend,Onbekend Hoofdstuk,10,Daerof ne comti nemeer scande.
Onbekend,Onbekend Hoofdstuk,12,"Dat kint, dat danne wert gheboren,"
Onbekend,Onbekend Hoofdstuk,13,"Dat sal edel sijn van voren,"
Onbekend,Onbekend Hoofdstuk,14,"Behendich, vroet ende letter wijs,"
Onbekend,Onbekend Hoofdstuk,15,Ende langhe leven ende hebben prijs;
Onbekend,Onbekend Hoofdstuk,15,In watre saelt ghevreest wesen;
Onbekend,Onbekend Hoofdstuk,17,"Nemaer maecht daerof ghenesen,"
Onbekend,Onbekend Hoofdstuk,18,So maecht leven menich jaer;
Onbekend,Onbekend Hoofdstuk,19,"Dat seit die lettere, ende het es waer."
Onbekend,Onbekend Hoofdstuk,20,"Die maghet, die danne wert gheboren,"
Onbekend,Onbekend Hoofdstuk,20,Sal suverheit hebben vercoren;
Onbekend,Onbekend Hoofdstuk,22,"Goedertiere ende letter wijs,"
Onbekend,Onbekend Hoofdstuk,23,Ende van scoenheden hebben prijs;
Onbekend,Onbekend Hoofdstuk,24,"So sal vroet sijn van sinne,"
Onbekend,Onbekend Hoofdstuk,25,"Menich mensche sal se minnen,"
Onbekend,Onbekend Hoofdstuk,25,Langhe sal soe bederde wesen
Onbekend,Onbekend Hoofdstuk,27,In die oude ende niet ghenesen;
Onbekend,Onbekend Hoofdstuk,28,Een teekin sal soe hebben dan
Onbekend,Onbekend Hoofdstuk,29,"In die wintbraeuwen of deran,"
Onbekend,Onbekend Hoofdstuk,30,Of so saelt hebben in den mont;
Onbekend,Onbekend Hoofdstuk,30,Dat maect ons die lettere cont.
Onbekend,Onbekend Hoofdstuk,32,"Alse die mane es IJ daghe out,"
Onbekend,Onbekend Hoofdstuk,33,Dan eist nuttellc menichfout
Onbekend,Onbekend Hoofdstuk,34,"Copen, vercoepen, wech bestaen,"
Onbekend,Onbekend Hoofdstuk,35,"Eeren, sayen, in scepe ghaen."
Onbekend,Onbekend Hoofdstuk,35,"Die steelt, ic secht u overluut,"
Onbekend,Onbekend Hoofdstuk,37,Het sal sciere comen huut.
Onbekend,Onbekend Hoofdstuk,38,Die siec wert sal sciere ghenesen.
Onbekend,Onbekend Hoofdstuk,39,"Datti droemt sal goet wesen,"
Onbekend,Onbekend Hoofdstuk,40,Ne hebt gheene sorghe van desen
Onbekend,Onbekend Hoofdstuk,40,Weder het goet so quaet sal wesen.
Onbekend,Onbekend Hoofdstuk,42,"Tkint, eist wijf ofte man,"
Onbekend,Onbekend Hoofdstuk,43,"Dat gheboren werdet dan,"
Onbekend,Onbekend Hoofdstuk,44,"Sal sijn salich ende lettel sueven,"
Onbekend,Onbekend Hoofdstuk,45,Nemaere en sal niet langhe leven.
Onbekend,Onbekend Hoofdstuk,45,"Alse de mane hevet IIJ daghe,"
Onbekend,Onbekend Hoofdstuk,47,"So segghic u sonder saghe,"
Onbekend,Onbekend Hoofdstuk,48,"Dan eist quaet eenich dijnc bestaen,"
Onbekend,Onbekend Hoofdstuk,49,Ensi dat si weder wassen saen:
