author,chapter,line,text
Hennen van Merchtenen,Bibliographische aanteekening.,1,Jesus Maria salve.
Hennen van Merchtenen,Bibliographische aanteekening.,2,Behouder alder wereld wyt
Hennen van Merchtenen,Bibliographische aanteekening.,3,Christus heere ghebenedyt
Hennen van Merchtenen,Bibliographische aanteekening.,4,Coeninck der ewiger glorien
Hennen van Merchtenen,Bibliographische aanteekening.,5,Ic bidde v vriendeliken
Hennen van Merchtenen,Bibliographische aanteekening.,6,Dat ghi myn herte op desen tyt
Hennen van Merchtenen,Bibliographische aanteekening.,7,Verlichten wilt ende mijn memorie
Hennen van Merchtenen,Bibliographische aanteekening.,8,Ende mijn rude plompe sinne
Hennen van Merchtenen,Bibliographische aanteekening.,9,Soe ontpluken die ic kinne
Hennen van Merchtenen,Bibliographische aanteekening.,10,Slecht ende rut dese hystorie
Hennen van Merchtenen,Bibliographische aanteekening.,11,Te makene maer noyale (?) minne
Hennen van Merchtenen,Bibliographische aanteekening.,12,Die ic drage te mer herte binnen
Hennen van Merchtenen,Bibliographische aanteekening.,13,Toten vrome brabantsche heeren
Hennen van Merchtenen,Bibliographische aanteekening.,14,Die vter troyen der ryker warande
Hennen van Merchtenen,Bibliographische aanteekening.,15,Ghesticht hebben alle de lande
Hennen van Merchtenen,Bibliographische aanteekening.,16,Die men vint in dessyde der meere
Hennen van Merchtenen,Bibliographische aanteekening.,17,Ghelyc dat Jacop van Merlant
Hennen van Merchtenen,Bibliographische aanteekening.,18,Maecte in een buexken dat ic vant
Hennen van Merchtenen,Bibliographische aanteekening.,19,Ghedicht staen scoen ende cleere
Hennen van Merchtenen,Bibliographische aanteekening.,20,Welc boec es van cleinder spasien
Hennen van Merchtenen,Bibliographische aanteekening.,21,Ende es geheten Jacop Clarasien.
Hennen van Merchtenen,Bibliographische aanteekening.,22,.....
Hennen van Merchtenen,Bibliographische aanteekening.,23,.....
Hennen van Merchtenen,Bibliographische aanteekening.,24,Besitten moet hoeghe Jherusalem
Hennen van Merchtenen,Bibliographische aanteekening.,25,Dies bit hennenvan merchtenen
Hennen van Merchtenen,Bibliographische aanteekening.,26,Int yaer ons heeren m. CCCC
Hennen van Merchtenen,Bibliographische aanteekening.,27,Ende xiiij wie dats v'wondert
Hennen van Merchtenen,Bibliographische aanteekening.,28,In meerte de x. calende
Hennen van Merchtenen,Bibliographische aanteekening.,29,Soe makes henne een eynde
Hennen van Merchtenen,Bibliographische aanteekening.,30,Die gode bit......
Hennen van Merchtenen,"Dit es vanden yersten  Hertoge Jan van Brabant , maer die Cornike en houdens niet.",31,"Als van Woeronc quam hertoghe Jan,"
Hennen van Merchtenen,"Dit es vanden yersten  Hertoge Jan van Brabant , maer die Cornike en houdens niet.",32,"Daer hi menigen prince verwan,"
Hennen van Merchtenen,"Dit es vanden yersten  Hertoge Jan van Brabant , maer die Cornike en houdens niet.",33,"Soe quam hem eene niemare,"
Hennen van Merchtenen,"Dit es vanden yersten  Hertoge Jan van Brabant , maer die Cornike en houdens niet.",34,"Die hem te hooren was herde zware,"
Hennen van Merchtenen,"Dit es vanden yersten  Hertoge Jan van Brabant , maer die Cornike en houdens niet.",35,"Van sijnder suster der coninghinne,"
