author,chapter,line,text
Jan van Boendale,PROLOGHE.,1,ALLEN kerstenen menschen /
Jan van Boendale,PROLOGHE.,2,Die na Gods gratie wenschen /
Jan van Boendale,PROLOGHE.,3,Gruetic / onnutte knecht /
Jan van Boendale,PROLOGHE.,4,Van sinne zere plomp ende slecht /
Jan van Boendale,PROLOGHE.,5,Metter gratien van Onsen Here /
Jan van Boendale,PROLOGHE.,6,Die met Hem duere emmermeere.
Jan van Boendale,PROLOGHE.,7,Sinte Pauwels seghet / die lerere fijn:
Jan van Boendale,PROLOGHE.,8,Alle scriften die gescreven sijn
Jan van Boendale,PROLOGHE.,9,Sijn tonser leringhen ghescreven /
Jan van Boendale,PROLOGHE.,10,Dat wi dbeste selen leven
Jan van Boendale,PROLOGHE.,11,Ende dat archste selen vlien
Jan van Boendale,PROLOGHE.,12,Also wijt ghescreven sien.
Jan van Boendale,PROLOGHE.,13,Daer om so biddic met trouwen
Jan van Boendale,PROLOGHE.,14,Hen die dit boec selen scouwen /
Jan van Boendale,PROLOGHE.,15,Dat si studeren met sinne
Jan van Boendale,PROLOGHE.,16,Die materie diet heeft inne /
Jan van Boendale,PROLOGHE.,17,Ende daer ane willen leren
Jan van Boendale,PROLOGHE.,18,Kennen die vreese Ons Heren;
Jan van Boendale,PROLOGHE.,19,Want / also ons David seyt /
Jan van Boendale,PROLOGHE.,20,Springt daer wt alle wijsheyt;
Jan van Boendale,PROLOGHE.,21,Want die wt Gods vreesen es
Jan van Boendale,PROLOGHE.,22,Es wt sire hope / sijts ghewes.
Jan van Boendale,PROLOGHE.,23,Ende God soude wreken sonder beyden /
Jan van Boendale,PROLOGHE.,24,En dade sine ontfermecheyde;
Jan van Boendale,PROLOGHE.,25,Want sine wrake sekerlike
Jan van Boendale,PROLOGHE.,26,Menegherande es op ertrike /
Jan van Boendale,PROLOGHE.,27,Ende comt oec tenen cloppe
Jan van Boendale,PROLOGHE.,28,Als men daer minst mict oppe.
Jan van Boendale,PROLOGHE.,29,God gheve ons sijn vrese also
Jan van Boendale,PROLOGHE.,30,Dat wi ewelijc sijn met Hem vroe.
Jan van Boendale,PROLOGHE.,31,Dit es dboec van Gods wraken.
Jan van Boendale,PROLOGHE.,32,God laet mi wel gheraken /
Jan van Boendale,PROLOGHE.,33,So dat mi nieman en begripe der in.
Jan van Boendale,PROLOGHE.,34,Nu so hoert hier mijn beghin.
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,35,IN dien dat ic merke ende scouwe
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,36,In doude Testament ende int nouwe /
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,37,In hystorien ende in corniken /
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,38,Ende in anderen des gheliken /
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,39,Hoe God te meneghen stonden
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,40,Ghewroken hevet die sonden /
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,41,Ende noyt ghedoghen en woude
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,42,Dat onrecht langhe staen soude /
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,43,Ende wraect altoes swaerlike /
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,44,Soe ontsie ic mi sekerlike
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,45,Dat God sal wreken donghelike /
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,46,Dat hi heeft bi vele daghen
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,47,Harde guetlike verdraghen /
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,48,Mids sire ontfermecheyt.
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,49,Maer ic duchte sine gherechticheyt
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,50,Hem daer toe sal verwecken saen /
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,51,Dat Hi harde swaerlike sal staen;
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,52,Want die edele gherechtichede /
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,53,Daer alle doghet in houdt stede /
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,54,Es wt ertrike al verdreven /
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,55,Ende hier en es niet anders bleven
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,56,Dan hoverde / ghierecheyt ende nijt.
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,57,Ay / Gods Sone ghebenedijt!
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,58,Laet uwe wrake stille staen /
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,59,Ende en wreect niet also saen.
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,60,Ende hoe God / die altoes leeft /
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,61,Van beghinne ghewroken heeft /
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,62,Dat willic u toenen claer
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,63,Met exemplen hier naer.
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,64,Merct yrst aen Lucifere
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,65,Die vanden inglen was een here /
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,66,Hoene God om sinen overmoet
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,67,Warp inder helscher gloet /
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,68,Daer hi ende sijn gheselscap al
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,69,Ewelijc in quellen sal.
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,70,Merct oec hoe Hi aen Adame wrac
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,71,Dat een ghebot dat hi brac
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,72,Niet aen Adame allene /
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,73,Maer aen alle mensche ghemene /
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,74,Dies noch heden alle daghen
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,75,Alle die werelt mach beclaghen.
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,76,Nu merct noch met sinne
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,77,Van Adaems sone Cayinne /
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,78,Die sinen broeder sloech doet
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,79,Van hate ende van nide groet;
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,80,Daer om datten God ten selven stonde
Jan van Boendale,Vanden yersten wraken Ons Heren. Cap. I.,81,Vermalendyde metten monde /
