author,chapter,line,text
Onbekend,PROLOOG,1,"In allen beghinne, eist goed of quaet,"
Onbekend,PROLOOG,2,Zalmer an roupen daert al anstaet
Onbekend,PROLOOG,3,"Marien der hemelscher coninghinne,"
Onbekend,PROLOOG,4,Dat zoe ghewerde van dien beghinne
Onbekend,PROLOOG,5,"Te stichtene enich hende goet,"
Onbekend,PROLOOG,6,"Ende als men dit niet ne doet,"
Onbekend,PROLOOG,7,Zo mach men wel dat hende vresen.
Onbekend,PROLOOG,8,In hystorien hebbic ghelesen
Onbekend,PROLOOG,9,Van enen dief die groot betrouwen
Onbekend,PROLOOG,10,"Hadde up marien onser vrouwen,"
Onbekend,PROLOOG,11,"Ende altoes, als hi stelen woude,"
Onbekend,PROLOOG,12,Ende huut ziere wuensten steppen zoude
Onbekend,PROLOOG,13,Stont voor hem in ene passage
Onbekend,PROLOOG,14,Onser zoeter vrouwen ymage
Onbekend,PROLOOG,15,Voren an een huus ghemielt.
Onbekend,PROLOOG,16,Devotelike hi voor hare knielt
Onbekend,PROLOOG,17,"Ende sprac / vrouwe mijns ghenaden,"
Onbekend,PROLOOG,18,Ic bem nu huut om quade daden
Onbekend,PROLOOG,19,"Te doene ieghen gods ghebod,"
Onbekend,PROLOOG,20,"Maer lacen, al ben ic nu dus zot"
Onbekend,PROLOOG,21,"Dat ic dustane dinghen doe,"
Onbekend,PROLOOG,22,"Ic hope, vrouwe, quaemt der toe,"
Onbekend,PROLOOG,23,"Dat mijn tijt zal zijn vervult,"
Onbekend,PROLOOG,24,Dat ghi voor mi bidden zult
Onbekend,PROLOOG,25,"Uwen lieven zuene minen here,"
Onbekend,PROLOOG,26,Dat hi mijn herte also kere
Onbekend,PROLOOG,27,Ter duecht / dat ic dit laten moete.
Onbekend,PROLOOG,28,Dus placht hi voor dit beelde zoete
Onbekend,PROLOOG,29,Te laten menighen heeten traen.
Onbekend,PROLOOG,30,Zo teenre tijt wart hi ghevaen
Onbekend,PROLOOG,31,Openbare met dieften bloot
Onbekend,PROLOOG,32,Ende wart gheiugiert ter doot.
Onbekend,PROLOOG,33,"Hi die was in vreesen, in rouwen,"
Onbekend,PROLOOG,34,Riep altoos up onser vrouwen
Onbekend,PROLOOG,35,"Ende sprac hare devote woorden,"
Onbekend,PROLOOG,36,Zo dat zoene ten laetsten hoorde
Onbekend,PROLOOG,37,Ende hulp hem dat hi te live bleef.
Onbekend,PROLOOG,38,"Met rechte hi grote bliscap dreef,"
Onbekend,PROLOOG,39,Dat hi zo comen was van dan
Onbekend,PROLOOG,40,"Ende ewelike bleef hi goed man,"
Onbekend,PROLOOG,41,Also langhe als hi levede.
Onbekend,PROLOOG,42,"Dus al waert dat yement snevede,"
Onbekend,PROLOOG,43,Hine zal wanhopen niet no laten
Onbekend,PROLOOG,44,Der fonteynen van caritaten
Onbekend,PROLOOG,45,Tanroupene ./ want zoe ons van gode
Onbekend,PROLOOG,46,Verbidden mach in alre bode.
Onbekend,PROLOOG,47,"Ende zal men ooc yet goeds beghinnen,"
Onbekend,PROLOOG,48,"Om dat zo wankel zijn onse zinnen,"
Onbekend,PROLOOG,49,"Zo zalmen se altoos roupen an,"
Onbekend,PROLOOG,50,Want men niet goeds vulcomen can
Onbekend,PROLOOG,51,Zonder biden toedoene van haer
Onbekend,PROLOOG,52,"Want wij lesen, ende hets waer,"
Onbekend,PROLOOG,53,Dat wij nemmermeer vulbrachten
Onbekend,PROLOOG,54,"Eene inkel dueghet bi onser machten,"
