author,chapter,line,text
Jacob van Maerlant,1.,1,In dit ghedichte settic voren
Jacob van Maerlant,1.,2,"Wie dat doghet heeft vercoren,"
Jacob van Maerlant,1.,3,Van hem en comt neghene blame.
Jacob van Maerlant,1.,4,"Al eest dat hem de quade storen,"
Jacob van Maerlant,1.,5,Si hebben daer af haer toebehoren;
Jacob van Maerlant,1.,6,Daerbi swighic haren name.
Jacob van Maerlant,1.,7,Die in tghemene sait sijn coren
Jacob van Maerlant,1.,8,"Op den steen ende onder den doren,"
Jacob van Maerlant,1.,9,Hi wilde datter goede vrocht af quame:
Jacob van Maerlant,1.,10,Wat mach die saiere dan verboren?
Jacob van Maerlant,1.,11,Bi quaden herden bliven die scaep verloren:
Jacob van Maerlant,1.,12,"Die bie trect honech uter brame,"
Jacob van Maerlant,1.,13,Dats der coppen onbequame.
Jacob van Maerlant,2.,14,"Daer wijngaert wies ende edel coren,"
Jacob van Maerlant,2.,15,"Sal seker staen distelen ende doren,"
Jacob van Maerlant,2.,16,Alst ter werelt ende gaet.
Jacob van Maerlant,2.,17,"Ocht Antkerst nu es gheboren,"
Jacob van Maerlant,2.,18,Ende sine jongheren lopen voren?
Jacob van Maerlant,2.,19,"Dorstict segghen, ic wane jaet."
Jacob van Maerlant,2.,20,"Es een dorper, scalc, versworen,"
Jacob van Maerlant,2.,21,"Mach hi gheven, men salne horen"
Jacob van Maerlant,2.,22,Spreken in der heren raet.
Jacob van Maerlant,2.,23,Al heeft een sot op thooft ghescoren
Jacob van Maerlant,2.,24,"Ene brede crune toten oren,"
Jacob van Maerlant,2.,25,Hi nes te vroeder niet een saet:
Jacob van Maerlant,2.,26,Hi es vroet die wel verstaet.
Jacob van Maerlant,3.,27,"Almechtich God, staet ons in staden,"
Jacob van Maerlant,3.,28,Ende hulpt mi bi uwer ghenaden!
Jacob van Maerlant,3.,29,"Ic soude gherne doen ghewach,"
Jacob van Maerlant,3.,30,"Hoe dierste crune was versmaden,"
Jacob van Maerlant,3.,31,Die sente Petere was gheladen
Jacob van Maerlant,3.,32,"TAnthiochen, daer hi lach"
Jacob van Maerlant,3.,33,"Ghevaen sonder alle mesdaden,"
Jacob van Maerlant,3.,34,Omme dat hi tfolc wilde gheraden
Jacob van Maerlant,3.,35,"Ten weghe, dat hi verdoolt sach."
Jacob van Maerlant,3.,36,"Nu gaen si op die crune bladen,"
Jacob van Maerlant,3.,37,"Die ghiereghe, die niemen en mochte versaden."
Jacob van Maerlant,3.,38,Ic wane noit man en sach
Jacob van Maerlant,3.,39,Volc so ghierech omme bejach.
Jacob van Maerlant,4.,40,Si doen hen alse meesters horen:
Jacob van Maerlant,4.,41,"Si craken ons die note voren,"
Jacob van Maerlant,4.,42,Selve sueken si tcarnel.
Jacob van Maerlant,4.,43,"Aldus doen si tfolc verdoren,"
Jacob van Maerlant,4.,44,Dien si souden leven voren
Jacob van Maerlant,4.,45,Ende bewisen goet bispel.
Jacob van Maerlant,4.,46,Hoe vele saets dat blijft verloren
Jacob van Maerlant,4.,47,"Op den steen ende onder den doren,"
Jacob van Maerlant,4.,48,Dat seit die Ewangeliste wel.
Jacob van Maerlant,4.,49,Om dat die herden nu sijn doren
Jacob van Maerlant,4.,50,"Ende met weelden hen versmoren,"
Jacob van Maerlant,4.,51,"So sijn die wolve nu rebel,"
Jacob van Maerlant,4.,52,"Nidech, ghierech ende fel."
Jacob van Maerlant,5.,53,Hoe menech wolf es nu haerde
Jacob van Maerlant,5.,54,"Onder die scaep van groter waerde,"
Jacob van Maerlant,5.,55,Daer Cristus omme storte sijn bloet.
Jacob van Maerlant,5.,56,Die die waerheit niet en spaerde
