author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,"God, enich Vader ende Here,"
Onbekend,Onbekend Hoofdstuk,2,Sonder beghin ende emmermere
Onbekend,Onbekend Hoofdstuk,3,"Sonder ende wesen sal,"
Onbekend,Onbekend Hoofdstuk,4,Hem bevelic groet ende smal
Onbekend,Onbekend Hoofdstuk,5,"Mijn ziele, mijn lijf van quaden dingen;"
Onbekend,Onbekend Hoofdstuk,6,"Ne laet mi, Here, niet ghehingen"
Onbekend,Onbekend Hoofdstuk,7,Te doene dat onnuttelec si.
Onbekend,Onbekend Hoofdstuk,8,"Oec biddic, Here, dat ghi mi"
Onbekend,Onbekend Hoofdstuk,9,Helpt nu te desen stonden
Onbekend,Onbekend Hoofdstuk,10,So dat moet werden vonden
Onbekend,Onbekend Hoofdstuk,11,"Dit boec, dat ic hier dichten sal:"
Onbekend,Onbekend Hoofdstuk,12,U hulpe begeric boven al.
Onbekend,Onbekend Hoofdstuk,13,"Want wildi mi in staden staen,"
Onbekend,Onbekend Hoofdstuk,14,So willic nu hier anegaen
Onbekend,Onbekend Hoofdstuk,15,"Van naturen die meeste wort,"
Onbekend,Onbekend Hoofdstuk,16,Die noch nie worden gehoert
Onbekend,Onbekend Hoofdstuk,17,Van enegen man teneger tijt.
Onbekend,Onbekend Hoofdstuk,18,"Maria, moeder Gods, ghi sijt"
Onbekend,Onbekend Hoofdstuk,19,Dieghene daer ic troest an soeke
Onbekend,Onbekend Hoofdstuk,20,Om mi te helpene tesen boeke;
Onbekend,Onbekend Hoofdstuk,21,"Want wildi mi staen te staden,"
Onbekend,Onbekend Hoofdstuk,22,"Daertoe troesten ende geraden,"
Onbekend,Onbekend Hoofdstuk,23,So sal ic te bat in allen saken
Onbekend,Onbekend Hoofdstuk,24,Dit mogen dichten ende maken.
Onbekend,Onbekend Hoofdstuk,25,Vort biddic allen desen
Onbekend,Onbekend Hoofdstuk,26,"Die dit boec selen lesen,"
Onbekend,Onbekend Hoofdstuk,27,Dat si die grote Heimlijchede
Onbekend,Onbekend Hoofdstuk,28,Van mannen ende van vrouwen mede
Onbekend,Onbekend Hoofdstuk,29,Niet ne lesen oppenbare
Onbekend,Onbekend Hoofdstuk,30,Vor diegene die hare enthare
Onbekend,Onbekend Hoofdstuk,31,Scone wort ende const beniden
Onbekend,Onbekend Hoofdstuk,32,Ende die oec lachteren tallen tiden;
Onbekend,Onbekend Hoofdstuk,33,"Maer dat doet haer scalke sin,"
Onbekend,Onbekend Hoofdstuk,34,Dar die doegt niene macht in.
Onbekend,Onbekend Hoofdstuk,35,Op dit so segt Aristotiles:
Onbekend,Onbekend Hoofdstuk,36,So wie dat besmet es
Onbekend,Onbekend Hoofdstuk,37,"Met alrande quaethede,"
Onbekend,Onbekend Hoofdstuk,38,Waer hi comt telker stede
Onbekend,Onbekend Hoofdstuk,39,"Dar hi wijsheit ende leringe hort,"
Onbekend,Onbekend Hoofdstuk,40,Hi verkeret in quade vort;
Onbekend,Onbekend Hoofdstuk,41,"Maer, daer dogt ende wijsheit es in,"
Onbekend,Onbekend Hoofdstuk,42,"Al hort hi iet, sijn hovesch sin,"
Onbekend,Onbekend Hoofdstuk,43,"Keret ter dogt, groet ende clene,"
Onbekend,Onbekend Hoofdstuk,44,Want naturlike leringe gemene
Onbekend,Onbekend Hoofdstuk,45,Geeft hem dat hi alle saken
Onbekend,Onbekend Hoofdstuk,46,Ten besten keert met sire spraken.
Onbekend,Onbekend Hoofdstuk,47,"Ende hoe men dit bekinnen sal,"
Onbekend,Onbekend Hoofdstuk,48,"Sal ic u nu leeren al,"
Onbekend,Onbekend Hoofdstuk,49,Ende in dietsche wel bescriven
Onbekend,Onbekend Hoofdstuk,50,Beide van mannen ende van wiven.
Onbekend,Onbekend Hoofdstuk,51,God maecte den man na sire werde
Onbekend,Onbekend Hoofdstuk,52,Van den lime van der erde
Onbekend,Onbekend Hoofdstuk,53,Ende gaf hem der werelt mogenthede
Onbekend,Onbekend Hoofdstuk,54,"Van al te besittene mede,"
Onbekend,Onbekend Hoofdstuk,55,Ende Adam was dierste man
Onbekend,Onbekend Hoofdstuk,56,Dar God an te makene began.
Onbekend,Onbekend Hoofdstuk,57,Nu seegt Aristotiles
Onbekend,Onbekend Hoofdstuk,58,Dat Adam gemaect es
Onbekend,Onbekend Hoofdstuk,59,"Van VIIJ stucken, dat verstaet,"
Onbekend,Onbekend Hoofdstuk,60,"Dat deen na den andren gaet,"
Onbekend,Onbekend Hoofdstuk,61,"Ende leert hier in sijn beghinnen,"
Onbekend,Onbekend Hoofdstuk,62,Waer men elc gedeel sal kinnen
Onbekend,Onbekend Hoofdstuk,63,Dat an den man gemaect es;
Onbekend,Onbekend Hoofdstuk,64,Ende wat in elc te merkene es
Onbekend,Onbekend Hoofdstuk,65,Dat suldi nu alhier verstaen.
Onbekend,Onbekend Hoofdstuk,66,"Dat ierste deel es, sonder waen,"
Onbekend,Onbekend Hoofdstuk,67,"Van den lime van der erden,"
Onbekend,Onbekend Hoofdstuk,68,Ende daeraf liet God gewerden
Onbekend,Onbekend Hoofdstuk,69,"Tfleesch dat die mensche heeft,"
Onbekend,Onbekend Hoofdstuk,70,Dat weder de doot der erden geeft.
Onbekend,Onbekend Hoofdstuk,71,"Dat ander deel, verstaet hier mee,"
Onbekend,Onbekend Hoofdstuk,72,"Es gemaect van der zee,"
Onbekend,Onbekend Hoofdstuk,73,Ende daeraf comt mede dat bloet
Onbekend,Onbekend Hoofdstuk,74,Dat in den mensche wesen moet.
Onbekend,Onbekend Hoofdstuk,75,"Dat derde deel, dats oppenbaer,"
Onbekend,Onbekend Hoofdstuk,76,"Dat comt u van der sonnen claer,"
Onbekend,Onbekend Hoofdstuk,77,"Ende daeraf sijn, als wijt togen,"
Onbekend,Onbekend Hoofdstuk,78,"Gemaect scone des menschen ogen,"
Onbekend,Onbekend Hoofdstuk,79,Die al den lichame leiden mede
Onbekend,Onbekend Hoofdstuk,80,Met harre claerheit telker stede.
Onbekend,Onbekend Hoofdstuk,81,Dat vierde deel gemaect es
Onbekend,Onbekend Hoofdstuk,82,"Van den wolken, des sijt gewes,"
Onbekend,Onbekend Hoofdstuk,83,Ende daeraf sijn gemaect nu
Onbekend,Onbekend Hoofdstuk,84,"Des menschen gepeise, seggic u,"
Onbekend,Onbekend Hoofdstuk,85,Beide goet ende quaet.
Onbekend,Onbekend Hoofdstuk,86,"Dat vifte deel, dat verstaet,"
Onbekend,Onbekend Hoofdstuk,87,"Also als ict hebbe vernomen,"
Onbekend,Onbekend Hoofdstuk,88,Es hem van den winde comen;
Onbekend,Onbekend Hoofdstuk,89,"Daeraf heeft hi uut nese, uut monde."
Onbekend,Onbekend Hoofdstuk,90,Den ademtucht tallen stonde.
Onbekend,Onbekend Hoofdstuk,91,"Dat seste deel, wat helpt ontsaect,"
Onbekend,Onbekend Hoofdstuk,92,"Dat es van den stene gemaect,"
Onbekend,Onbekend Hoofdstuk,93,Ende daeraf sijn alle die beene
Onbekend,Onbekend Hoofdstuk,94,"Van den mensche, groet ende cleene."
Onbekend,Onbekend Hoofdstuk,95,"Dat sevende deel, hebbic vereest,"
Onbekend,Onbekend Hoofdstuk,96,"Dat es van den heilegen geest,"
Onbekend,Onbekend Hoofdstuk,97,Daer die mensche af redelic mede
Onbekend,Onbekend Hoofdstuk,98,Es besceden in elke stede.
Onbekend,Onbekend Hoofdstuk,99,"Dat achste deel, seegt tghedichte,"
Onbekend,Onbekend Hoofdstuk,100,"Dat es van der werelt lichte,"
Onbekend,Onbekend Hoofdstuk,101,Dat licht dat Christus es genant;
Onbekend,Onbekend Hoofdstuk,102,Ende daeraf es die mensche becant
Onbekend,Onbekend Hoofdstuk,103,"Dat hi godevruchtech es,"
Onbekend,Onbekend Hoofdstuk,104,"Op alle dinc, sijt seker des."
Onbekend,Onbekend Hoofdstuk,105,Dus es die mensche gemaect al
Onbekend,Onbekend Hoofdstuk,106,"Van desen achten, groot ende smal."
Onbekend,Onbekend Hoofdstuk,107,Nu hort van desen meer:
Onbekend,Onbekend Hoofdstuk,108,Ghi horet nu wel seggen eer
Onbekend,Onbekend Hoofdstuk,109,"Dat die mensche, na minen rime,"
