author,chapter,line,text
Dirc Potter,[Eerste boek],1,Sint dat God op eerden hait
Dirc Potter,[Eerste boek],2,Gheschapen menigher konne stait
Dirc Potter,[Eerste boek],3,"Ende sonderlinghe natuer der menschen,"
Dirc Potter,[Eerste boek],4,Die hi na zijns selves wenschen
Dirc Potter,[Eerste boek],5,"Recht natuerlic heeft ghebeeldet,"
Dirc Potter,[Eerste boek],6,Den enen weeldelic gheweeldet
Dirc Potter,[Eerste boek],7,"Ende den anderen arm ghelaten,"
Dirc Potter,[Eerste boek],8,So sijn des gheestes caritaten
Dirc Potter,[Eerste boek],9,Seder verre ende wyde ghevloghen
Dirc Potter,[Eerste boek],10,"Mit heyten lichten vuerighen loghen,"
Dirc Potter,[Eerste boek],11,"Ende hebben verlicht der menschen sinnen,"
Dirc Potter,[Eerste boek],12,"Den eynen buten, den anderen binnen,"
Dirc Potter,[Eerste boek],13,"Mit konsten die menigherhande sijn,"
Dirc Potter,[Eerste boek],14,"Als alle der werlt is aenschijn,"
Dirc Potter,[Eerste boek],15,Daer hi mede woude gheliken
Dirc Potter,[Eerste boek],16,Dem [l. Den] armen schemper bij den rijcken.
Dirc Potter,[Eerste boek],17,"Want heeft die rijcke des schattes gonst,"
Dirc Potter,[Eerste boek],18,"So heeft die arme den rijcken konst,"
Dirc Potter,[Eerste boek],19,Daer hijt den rijcken mede ontdoet.
Dirc Potter,[Eerste boek],20,Sij ghijft [l. ghyft] hem wijsheit ende oick moet;
Dirc Potter,[Eerste boek],21,"Hy wordt gheeert in allen steden,"
Dirc Potter,[Eerste boek],22,Als die rijcke mit ghiericheden
Dirc Potter,[Eerste boek],23,Sit versmoert bij sinen schat
Dirc Potter,[Eerste boek],24,"Ende en gheert dit noch dat,"
Dirc Potter,[Eerste boek],25,"Dan ghelt, dat is al sijn begheringhe:"
Dirc Potter,[Eerste boek],26,"Hy en wil konst, Latijn, noch leringhe,"
Dirc Potter,[Eerste boek],27,Noch der poeten lessen horen.
Dirc Potter,[Eerste boek],28,"Trouwen, sy waren hier te voren"
Dirc Potter,[Eerste boek],29,"Anders ghesint, die vrome man,"
Dirc Potter,[Eerste boek],30,Dier ic wael veel ghenoemen kan.
Dirc Potter,[Eerste boek],31,"Sij sochten konst ende hoghe lere,"
Dirc Potter,[Eerste boek],32,Des men him noch spreken eere
Dirc Potter,[Eerste boek],33,"Ende oick doen sal, also langhe"
Dirc Potter,[Eerste boek],34,Als die planeten gaen hoer ganghe.
Dirc Potter,[Eerste boek],35,Konsten die sijn menigherley.
Dirc Potter,[Eerste boek],36,Mijn konst en prisic niet een eey:
Dirc Potter,[Eerste boek],37,"Doch donct my prisens weerdich wesen,"
Dirc Potter,[Eerste boek],38,Datmen kan scriven ende lesen
Dirc Potter,[Eerste boek],39,Ende te maten Latijn verstaen.
Dirc Potter,[Eerste boek],40,Daer om heb ic ter scole ghegaen.
Dirc Potter,[Eerste boek],41,"Van logijck ende philosophie,"
Dirc Potter,[Eerste boek],42,"Als ic die rechte waerheit lye,"
Dirc Potter,[Eerste boek],43,So ist dat ic niet veel en verstae;
Dirc Potter,[Eerste boek],44,Maer die goede oude gramatica
Dirc Potter,[Eerste boek],45,Heb ic onthouden in minen brieff:
Dirc Potter,[Eerste boek],46,"Wist icse bet, het waer mij lieff."
Dirc Potter,[Eerste boek],47,Poetryen ende oude gesten
Dirc Potter,[Eerste boek],48,Heb ic zeer begheert te vesten:
Dirc Potter,[Eerste boek],49,"Want ander konsten sijn my te hoghe,"
Dirc Potter,[Eerste boek],50,Ic en can sye niet mit minen oghe
Dirc Potter,[Eerste boek],51,Scouwen noch den sin gronderen.
Dirc Potter,[Eerste boek],52,"Die Godlicheit te contempleren,"
Dirc Potter,[Eerste boek],53,"Dat lact ic den theologinen,"
Dirc Potter,[Eerste boek],54,Ende den meysteren van medicinen
Dirc Potter,[Eerste boek],55,Sullen der siecken nutscap roecken;
Dirc Potter,[Eerste boek],56,Den legisten laet ic hoer boecken
Dirc Potter,[Eerste boek],57,Over studeren ende vesten
Dirc Potter,[Eerste boek],58,"Mit horen codicen ende digesten,"
Dirc Potter,[Eerste boek],59,Ende der philosophien listen
