author,chapter,line,text
Onbekend,[Proloog],1,"Dese ystorie, dit heileghe werc,"
Onbekend,[Proloog],2,"Dichte wilen een clerc,"
Onbekend,[Proloog],3,"Ende bid den lesere, dat hijt noeme"
Onbekend,[Proloog],4,In dietsche: der ystorien bloeme.
Onbekend,[Proloog],5,"Des der ic mi wel vermeten,"
Onbekend,[Proloog],6,"Dat wel met rechte also mach heten,"
Onbekend,[Proloog],7,"Want die rechte ystorie es,"
Onbekend,[Proloog],8,"Hoe die heiligen, des sijt gewes,"
Onbekend,[Proloog],9,"Vor ons leefden in erdrike,"
Onbekend,[Proloog],10,Ende lieten exemple waerlike
Onbekend,[Proloog],11,"Ons; dat wi hem volghen na,"
Onbekend,[Proloog],12,"Alsoe alsic die waerheit versta,"
Onbekend,[Proloog],13,Wil wi daer op merken ende besien
Onbekend,[Proloog],14,"Datter ons goet af mach gescien,"
Onbekend,[Proloog],15,"Ende onse herte sere verwecken,"
Onbekend,[Proloog],16,Ende in devocien opwert trecken.
Onbekend,[Proloog],17,"Alse wi anesien, twaren,"
Onbekend,[Proloog],18,Dat si oec menschen waren
Onbekend,[Proloog],19,"Alse wi sijn, tallen stonden"
Onbekend,[Proloog],20,"Moghen wi ons scamen onser sonden,"
Onbekend,[Proloog],21,"Ende moghen peinsen, sijts ghewes,"
Onbekend,[Proloog],22,Dat god willech ende machtech es
Onbekend,[Proloog],23,Ons te ghevene dat selve goet:
Onbekend,[Proloog],24,"Keren wi ane hem onsen moet,"
Onbekend,[Proloog],25,"Ende leven na den wille sijn,"
Onbekend,[Proloog],26,"Hi gheeft ons sine glorie fijn,"
Onbekend,[Proloog],27,"Ghelijc dat hi hem heeft gedaen,"
Onbekend,[Proloog],28,Daer ic nu af wille bestaen
Onbekend,[Proloog],29,Te dichtene in dietsche cortelike;
Onbekend,[Proloog],30,Want ick weet wel sekerlike
Onbekend,[Proloog],31,Dat corte warachteghe tale
Onbekend,[Proloog],32,"Prisen vroede liede wale,"
Onbekend,[Proloog],33,Daerom willic dichten an
Onbekend,[Proloog],34,"Met corten woerden, so ic best can,"
Onbekend,[Proloog],35,Der heilege leven in dietsche woert.
Onbekend,[Proloog],36,"Ic bidde, waer dat mense hoert,"
Onbekend,[Proloog],37,"Dat elc hem pine, dat hi doe"
Onbekend,[Proloog],38,"Hier in sinen orbore spade ende vroe,"
Onbekend,[Proloog],39,Ende merke hoe si voreghinghen;
Onbekend,[Proloog],40,Ende volghen hem na in alle dingen.
Onbekend,[Proloog],41,Ende of siere mede doen in eneghe stede
Onbekend,[Proloog],42,"Doghet, laten mi deilen mede."
Onbekend,[Proloog],43,"Nu biddic gode van hemelrike,"
Onbekend,[Proloog],44,"Ende siere moeder al die gelike,"
Onbekend,[Proloog],45,"Der edelre conincginne marien,"
Onbekend,[Proloog],46,Dat si mijn herte van sonden moet vrien
Onbekend,[Proloog],47,"Ende minen sin soe verlichten,"
Onbekend,[Proloog],48,Dat ic die waerheit moete dichten
Onbekend,[Proloog],49,"Soe dat sijs ghebetert wesen,"
Onbekend,[Proloog],50,Alle diet selen horen lesen.
Onbekend,[Proloog],51,"Nu seldi merken ene maniere,"
Onbekend,[Proloog],52,Dat derre boeke es viere
Onbekend,[Proloog],53,Daer dit werc in es bescreven.
Onbekend,[Proloog],54,Dierste es DER APOSTELE LEVEN
Onbekend,[Proloog],55,Omdat si int beghin waren vercoren
Onbekend,[Proloog],56,Setticse int beghin hier voren;
Onbekend,[Proloog],57,Dandre sijn DIE MARTELAREN;
Onbekend,[Proloog],58,Terde DER CONFESSORE SCAREN;
Onbekend,[Proloog],59,"Tvierde VAN MAGHEDEN ENDE VAN VROUWEN,"
Onbekend,[Proloog],60,Die gode navolchden in trouwen.
Onbekend,[Proloog],61,Ic beghinne in hare alre name.
Onbekend,[Proloog],62,Dese ystorie si gode bequame.
Onbekend,[Proloog],63,"Dat seggen ons, die sijn gheleert,"
Onbekend,[Proloog],64,Dat kerstenheit es ghefondeert
Onbekend,[Proloog],65,Op .XII. pilaren int beghin.
Onbekend,[Proloog],66,Nu willic daer toe minen sin
Onbekend,[Proloog],67,"Kere, dat icse alle te voren"
Onbekend,[Proloog],68,"Sal noemen, die god hadde vercoren."
Onbekend,[Proloog],69,"Die heilege apostelen, die ic meene,"
Onbekend,[Proloog],70,Sijn .XII. preciose steene
Onbekend,[Proloog],71,"Die, na dopvaert ons heren,"
Onbekend,[Proloog],72,Tgeloeve stichten met eren.
Onbekend,[Proloog],73,"Dierste was peter, dander jan,"
Onbekend,[Proloog],74,"Jacop, jans broeder, die heilege man,"
Onbekend,[Proloog],75,"Peters broeder: andreas,"
Onbekend,[Proloog],76,"Bertelmeeus, philips ende thomas;"
Onbekend,[Proloog],77,"Dachtende pilaer volgt hier naer,"
Onbekend,[Proloog],78,Dat was matheus vorwaer;
Onbekend,[Proloog],79,"Daer waren alpheus kinder drie,"
Onbekend,[Proloog],80,"Die willic u noemen, hoert na mie."
Onbekend,[Proloog],81,"Jacop, die men heet die minder,"
Onbekend,[Proloog],82,Dierste was hi van alpheus kinder;
Onbekend,[Proloog],83,"Dander symon, terde iudas,"
Onbekend,[Proloog],84,Als ict in die scrifture las.
Onbekend,[Proloog],85,"Die twelfste, die oec was vercoren,"
Onbekend,[Proloog],86,Hevet scandelec verloren
Onbekend,[Proloog],87,"Dat was iudas scarioth,"
Onbekend,[Proloog],88,Die gode verriet. Doen viel tlot
Onbekend,[Proloog],89,"Opten heileghen matthijs,"
Onbekend,[Proloog],90,Dies werd was in alre wijs.
Onbekend,[Proloog],91,Sente peter was vercoren
Onbekend,[Proloog],92,"Paus, daerom setticken voren"
Onbekend,[Proloog],93,"Hier, want hem betame."
Onbekend,[Proloog],94,Ic beghinne in haerre alre name.
Onbekend,[St PETER.],95,Doen herodes hadde doet
Onbekend,[St PETER.],96,"Den meerren jacoppe, doe geboet"
Onbekend,[St PETER.],97,"Hi, dat men, sonder beide,"
Onbekend,[St PETER.],98,Petre in den kerker leiden.
Onbekend,[St PETER.],99,"Hi woudene den joden leveren saen,"
Onbekend,[St PETER.],100,"Alse die feeste ware ghedaen,"
Onbekend,[St PETER.],101,"Want tien tiden paesschen was,"
Onbekend,[St PETER.],102,"Na die wet, als ict las."
Onbekend,[St PETER.],103,Des nachts als menne soude
Onbekend,[St PETER.],104,"Den joden leveren, alst god woude,"
Onbekend,[St PETER.],105,"Doen quam een engel toten saen,"
Onbekend,[St PETER.],106,Ende deden uten kerker gaen;
Onbekend,[St PETER.],107,Des loefde peter gode sere.
Onbekend,[St PETER.],108,"Van daer ghinc die heilege here,"
Onbekend,[St PETER.],109,Daer hi vant .j. gokelare
Onbekend,[St PETER.],110,"Die seide, dat hi god ware,"
Onbekend,[St PETER.],111,"Daer dit was, des sijt wijs,"
Onbekend,[St PETER.],112,Was in cesaria stratenijs.
Onbekend,[St PETER.],113,Die stat hiet aldus.
Onbekend,[St PETER.],114,Die gokelare hiet symon magnus.
Onbekend,[St PETER.],115,Hi sprac tote petre dese tale:
Onbekend,[St PETER.],116,"""Peter! ghi moegt mi vercopen wale"
Onbekend,[St PETER.],117,Van uwen mieraclen sekerlike:
Onbekend,[St PETER.],118,"Want ic ben van haven rike."""
Onbekend,[St PETER.],119,Doen antwerde peter met desen:
Onbekend,[St PETER.],120,"""Dine have moet metti wesen"
Onbekend,[St PETER.],121,"Euwelec in die helsche pine,"
Onbekend,[St PETER.],122,Dattu mi bids coeman te sine
Onbekend,[St PETER.],123,"Vander gracien, die mi god heeft gegeven."
Onbekend,[St PETER.],124,Te dien tide es die tale daer bleven.
Onbekend,[St PETER.],125,"Hieraf, dat horic lyen,"
Onbekend,[St PETER.],126,"Comt noch heden symonien,"
Onbekend,[St PETER.],127,"Van symone, die met goude"
Onbekend,[St PETER.],128,"Dat geestelec goet copen woude,"
Onbekend,[St PETER.],129,Dat st. peter hadde van gode.
Onbekend,[St PETER.],130,Dat seide mi .j. gewarech bode.
Onbekend,[St PETER.],131,Daer na quam die gokelare
Onbekend,[St PETER.],132,Ende woude dispiteren openbare
Onbekend,[St PETER.],133,Jeghen petre om tgeloeve dan:
Onbekend,[St PETER.],134,"Peter deedt gerne, die heilege man."
Onbekend,[St PETER.],135,"Doen quam daer iacheus,"
Onbekend,[St PETER.],136,".J. goet man, wi lesent dus,"
Onbekend,[St PETER.],137,"Ende seide: ""Peter! het es tijt,"
Onbekend,[St PETER.],138,Dat ghi tuwer dispitacien sijt;
Onbekend,[St PETER.],139,"Alt volc es daer, ic hebt vernomen;"
Onbekend,[St PETER.],140,Symon es met vele hulperen comen.
Onbekend,[St PETER.],141,"Doen sprac Peter: ""Ic en ghere ghene"
Onbekend,[St PETER.],142,"Hulpe, dan van gode allene."""
Onbekend,[St PETER.],143,"Met deser tale ghinc Peter voert,"
Onbekend,[St PETER.],144,"Alse ghi hier vore hebt gehoert,"
Onbekend,[St PETER.],145,"Ende seide: ""Pays si met u,"
Onbekend,[St PETER.],146,"Die int geloeve wilt staen nu."""
Onbekend,[St PETER.],147,Doen ghinc hi hem die waerheit leren;
Onbekend,[St PETER.],148,Ende symon magnus ginct al verkeren
Onbekend,[St PETER.],149,"Ende seide: ""Peter! u tale es sod:"
Onbekend,[St PETER.],150,"Ic wille u tonen, dat ic ben god,"
Onbekend,[St PETER.],151,Ende sal leven euwelike.
Onbekend,[St PETER.],152,Oec vlieghic gheweldelike
Onbekend,[St PETER.],153,In die lucht met miere cracht.
Onbekend,[St PETER.],154,Noch doe ic vele meerre macht:
Onbekend,[St PETER.],155,"Ic ga int vier, in berne mi niet;"
Onbekend,[St PETER.],156,Lange tale maect verdriet.
Onbekend,[St PETER.],157,"Ic doe dode opstaen wale,"
Onbekend,[St PETER.],158,Wandelen ende hebben tale;
Onbekend,[St PETER.],159,Ic doe oec die berghe gaen
Onbekend,[St PETER.],160,Wale op andre steden staen.
Onbekend,[St PETER.],161,Ic wille u seggen cortelinge:
Onbekend,[St PETER.],162,"Mijn wille gesciet in alle dinge."""
Onbekend,[St PETER.],163,Doen sprac peter sonder sparen:
Onbekend,[St PETER.],164,"Daerom bestu .j. gokelare, twaren!"
Onbekend,[St PETER.],165,Des moetstu lien vor alle tale:
Onbekend,[St PETER.],166,"Of ic saelt op di proeven wale,"
Onbekend,[St PETER.],167,Want ic wille te dinen huse gaen
Onbekend,[St PETER.],168,"Metten lieden, die hier staen,"
Onbekend,[St PETER.],169,"Ende vinden daer, des moetstu lien,"
Onbekend,[St PETER.],170,"Die boeke van gokelien."""
Onbekend,[St PETER.],171,"Doen dat die liede hoerden,"
Onbekend,[St PETER.],172,"Worpen sine, metten selven woerden,"
Onbekend,[St PETER.],173,Uter plaetsen met groter onwerde.
Onbekend,[St PETER.],174,Symon magnus liep sier verde.
Onbekend,[St PETER.],175,Hem en volchde maer .j. moederbaren
Onbekend,[St PETER.],176,"Van al den lieden, die daer waren."
Onbekend,[St PETER.],177,"Peter keerde met haesten mede,"
Onbekend,[St PETER.],178,Om der zielen salichede.
Onbekend,[St PETER.],179,"Sanders daghes, alsict vernam,"
Onbekend,[St PETER.],180,"Als sente Peter predecte, doen quam"
Onbekend,[St PETER.],181,"Symons iongre, die was gegaen"
Onbekend,[St PETER.],182,"Met hem, ende dede den volcke verstaen,"
Onbekend,[St PETER.],183,"Dat symon, van groten vare"
Onbekend,[St PETER.],184,"Dat tvolc soude sijn comen dare,"
Onbekend,[St PETER.],185,"Dedi worpen sine boeke in die zee,"
Onbekend,[St PETER.],186,"Daer mense en vant nemmermee,"
Onbekend,[St PETER.],187,"Van anxste, dat men vinden mochte,"
Onbekend,[St PETER.],188,Dat hi met gokelien wrochte;
Onbekend,[St PETER.],189,"Doe en dorste hi daer niet bliven,"
Onbekend,[St PETER.],190,"Van anxste, dat men soude ontliven"
Onbekend,[St PETER.],191,Van daer ghinc hi te roeme waert:
Onbekend,[St PETER.],192,Alse sijn iongre dese vaert
Onbekend,[St PETER.],193,"Hadde vertelt uten gronde,"
Onbekend,[St PETER.],194,"Bat hi petre ter selver stonde,"
Onbekend,[St PETER.],195,Dat hi sijn iongre moeste wesen.
Onbekend,[St PETER.],196,Ic waenne peter ontfinc met desen.
Onbekend,[St PETER.],197,"Doen ghinc peter ute samaria,"
Onbekend,[St PETER.],198,"Ende sine iongren volchden hem na,"
Onbekend,[St PETER.],199,"Tote triple binnen der stede,"
Onbekend,[St PETER.],200,Daer hi vele mieraclen dede.
Onbekend,[St PETER.],201,"Van daer ghinc hi tantiochen waert,"
Onbekend,[St PETER.],202,Daer ghenas hi ter selver vaert
Onbekend,[St PETER.],203,"St. clements moeder, dats waer,"
Onbekend,[St PETER.],204,Daer ic af seggen sal hiernaer
Onbekend,[St PETER.],205,Alsic tote daer ben comen.
Onbekend,[St PETER.],206,"Van daer ghinc hi, hebbic vernomen,"
Onbekend,[St PETER.],207,"In ene stat, daer hi ghenas"
Onbekend,[St PETER.],208,"Ene ioncfrouwe, die beseten was."
Onbekend,[St PETER.],209,"Van daer ghinc hi te roeme waert,"
Onbekend,[St PETER.],210,Daer bekeerdi ter selver vaert
Onbekend,[St PETER.],211,Srechters amien van der stede
Onbekend,[St PETER.],212,Ende vele ander liede mede:
Onbekend,[St PETER.],213,Agrippa ende eufemia
Onbekend,[St PETER.],214,Dionei ende eucaria;
Onbekend,[St PETER.],215,Dese .iiij. waren amien
Onbekend,[St PETER.],216,"Srechters agrippus, horic lien."
Onbekend,[St PETER.],217,"Si gheloefden, daer ter stede,"
Onbekend,[St PETER.],218,Te houdene ewelec suverhede.
Onbekend,[St PETER.],219,"Doen dat agrippus hadde vernomen,"
Onbekend,[St PETER.],220,"Dat si te hem niene wouden comen,"
Onbekend,[St PETER.],221,"Dreechdi petrem doet te slane,"
Onbekend,[St PETER.],222,"Ende hem te berne, na minen wane."
Onbekend,[St PETER.],223,"Van dier ure hi voert sochte,"
Onbekend,[St PETER.],224,Hoe hi petre doden mochte.
Onbekend,[St PETER.],225,St. peter hadde wel verstaen
Onbekend,[St PETER.],226,"Van gode, dat hi moeste saen"
Onbekend,[St PETER.],227,"Wisselen, om erdrike,"
Onbekend,[St PETER.],228,"Die glorie van hemelrike,"
Onbekend,[St PETER.],229,Ende sette paus in sine stede
