author,chapter,line,text
Jacob van Maerlant,1.,1,"Ic mane mannen metten wiven,"
Jacob van Maerlant,1.,2,"Die dit sullen lesen of scriven,"
Jacob van Maerlant,1.,3,"Upten hoghesten ban,"
Jacob van Maerlant,1.,4,Dat si dit dicht laten bliven
Jacob van Maerlant,1.,5,"Rene, dat siere niet in en driven"
Jacob van Maerlant,1.,6,"Woort, lettre, af no an."
Jacob van Maerlant,1.,7,"Doen sijt ooc, hem sal becliven"
Jacob van Maerlant,1.,8,"Mijn ban, ende sine sulne afwriven"
Jacob van Maerlant,1.,9,Niet moghen nochtan.
Jacob van Maerlant,1.,10,"Hennes gheen spot dit van keitiven,"
Jacob van Maerlant,1.,11,"Hets daer ic mi omme liete ontliven,"
Jacob van Maerlant,1.,12,Eer icker schiede van.
Jacob van Maerlant,1.,13,Nu hore die leren can.
Jacob van Maerlant,2.,14,"""Jacop, wi hebben onderlinghe"
Jacob van Maerlant,2.,15,"Ghehandelt messelike dinghe,"
Jacob van Maerlant,2.,16,Nu antwoort mi up een:
Jacob van Maerlant,2.,17,"Lere mi, eer ic di ontspringhe,"
Jacob van Maerlant,2.,18,"Hoe ic mijn herte daertoe dwinghe,"
Jacob van Maerlant,2.,19,Te kenne hem dien wi vleen.
Jacob van Maerlant,2.,20,Ic lese somwile ende singhe:
Jacob van Maerlant,2.,21,"""Gode te kenne bi sinen ghehinghe"
Jacob van Maerlant,2.,22,"Es leven sonder ween."""
Jacob van Maerlant,2.,23,Dits waerheit claer ende ghinghe;
Jacob van Maerlant,2.,24,"Subtijl ware therte, diet bevinghe,"
Jacob van Maerlant,2.,25,Want hogher dinc nes gheen.
Jacob van Maerlant,2.,26,"Nu antwoort onder ons tween!"""
Jacob van Maerlant,3.,27,"""Martin, du vraghes wel hoghe."
Jacob van Maerlant,3.,28,"Al vloghic boven der inghele vloghe,"
Jacob van Maerlant,3.,29,"Boven Cherub ende Seraf,"
Jacob van Maerlant,3.,30,"So wetic wel, dat ic en moghe"
Jacob van Maerlant,3.,31,"Berechten, dat te vullen doghe,"
Jacob van Maerlant,3.,32,Met woorden hier af.
Jacob van Maerlant,3.,33,Alle sinne sijn te droghe
Jacob van Maerlant,3.,34,"Alle creaturen, hoemen poghe,"
Jacob van Maerlant,3.,35,"Ne doghen niet een caf,"
Jacob van Maerlant,3.,36,Dat hare enich te vullen toghe.
Jacob van Maerlant,3.,37,"Maer verscaerp dijns sinnes oghe,"
Jacob van Maerlant,3.,38,"Hore wat scrifture mi gaf,"
Jacob van Maerlant,3.,39,Hout in diere herten graf.
Jacob van Maerlant,4.,40,Moyses spreect in sinen boeken:
Jacob van Maerlant,4.,41,"Beesten, die den berch besoeken,"
Jacob van Maerlant,4.,42,Moeten sijn ghesteent.
Jacob van Maerlant,4.,43,"Beeste es die mensche, die wille roeken"
Jacob van Maerlant,4.,44,Te naeuwe omme die Godheit loeken;
Jacob van Maerlant,4.,45,Hets recht dat hijt beweent.
Jacob van Maerlant,4.,46,Du soecs mi in allen hoeken
Jacob van Maerlant,4.,47,Met rime sonder valsch van doeken:
Jacob van Maerlant,4.,48,Es dit goet? ic wane neent!
Jacob van Maerlant,4.,49,"Du telles mi metten wisen, cloeken:"
Jacob van Maerlant,4.,50,"Waert goet, ic souder di om vloeken;"
Jacob van Maerlant,4.,51,"Ic wane, dine herte meent,"
Jacob van Maerlant,4.,52,"Dattu mi heves verbeent."""
Jacob van Maerlant,5.,53,"""Jacop, du en souts di niet vergramen;"
Jacob van Maerlant,5.,54,"Ic souds mi in mi selven scamen,"
Jacob van Maerlant,5.,55,Haddict oint ghedocht.
Jacob van Maerlant,5.,56,"Ooc liïcs metti te samen,"
Jacob van Maerlant,5.,57,Dat die hoocheit der hoghere namen
