author,chapter,line,text
Niet van toepassing,.I.,1,1. Solaes wil ic hanteren
Niet van toepassing,.I.,2,Ende daer toe vrolijck sijn
Niet van toepassing,.I.,3,En blijdelijck houeren
Niet van toepassing,.I.,4,Met Iesus mijn minnekijn
Niet van toepassing,.I.,5,Waer om so willen wi trueren
Niet van toepassing,.I.,6,Ten mach anders nyet sijn
Niet van toepassing,.I.,7,Ten sal niet langhe dueren
Niet van toepassing,.I.,8,Dat ick bedruct sal sijn.
Niet van toepassing,.I.,9,2. In alle die werelt wide
Niet van toepassing,.I.,10,En vinde ick niet so goet
Niet van toepassing,.I.,11,Dat mi mach maken blide
Niet van toepassing,.I.,12,Dan Iesus mijn minneken soet
Niet van toepassing,.I.,13,Hier om wil ick mi gheuen
Niet van toepassing,.I.,14,Hem te dienen tot alder tijt
Niet van toepassing,.I.,15,So wordic van herten verheuen
Niet van toepassing,.I.,16,Ende eewelijck verblijt
Niet van toepassing,.I.,17,3. Hy is een heer des heeren
Niet van toepassing,.I.,18,Die schoonste diemen vint
Niet van toepassing,.I.,19,Ick wil mi tot hem keeren
Niet van toepassing,.I.,20,Want hi ons so seere bemint
Niet van toepassing,.I.,21,Gheen hert en mach versinnen
Niet van toepassing,.I.,22,Die bliscap die hi heeft bereyt
Niet van toepassing,.I.,23,Den ghenen die hem minnen
Niet van toepassing,.I.,24,So ons die scriftuere dat seyt
Niet van toepassing,.I.,25,4. Hy is een bloem gheheeten
Niet van toepassing,.I.,26,Seer suyuerlijck ende claer
Niet van toepassing,.I.,27,Hy is so hooghe gheseten
Niet van toepassing,.I.,28,Al bouen der enghelen schaer.
Niet van toepassing,.I.,29,Gheboren tot onser baten
Niet van toepassing,.I.,30,Van eender maget bequaem
Niet van toepassing,.I.,31,Als bouen honichraten.
Niet van toepassing,.I.,32,Is soeter Ihesus naem.
Niet van toepassing,.I.,33,5. Wanneer sal ick anscouwen
Niet van toepassing,.I.,34,Sijn ouer claer aenschijn
Niet van toepassing,.I.,35,Och mocht ick hem behouwen
Niet van toepassing,.I.,36,Al in dat herte mijn
Niet van toepassing,.I.,37,Wat mi mocht ouer comen
Niet van toepassing,.I.,38,En soude ick achten niet
Niet van toepassing,.I.,39,Waert soe het soude mi vromen
Niet van toepassing,.I.,40,So en had ick gheen verdriet
Niet van toepassing,.I.,41,6. O god wilt mijns ontfermen
Niet van toepassing,.I.,42,Doer uwen name sijn
Niet van toepassing,.I.,43,Ende wilt ons doch bescermen
Niet van toepassing,.I.,44,Al vander hellen pijn
Niet van toepassing,.I.,45,Ende wilt ons doch gheleyden
Niet van toepassing,.I.,46,Ende bringhen int eewich rijck
Niet van toepassing,.I.,47,Als wij van hier al scheyden
Niet van toepassing,.I.,48,Dat bidden wij al ghelijck.
