author,chapter,line,text
Onbekend,I.,1,"Helpt, Maria, edel coninghinne,"
Onbekend,I.,2,"Ende verclaert mine sinne,"
Onbekend,I.,3,"Jhesu Cristo ics oec vermane,"
Onbekend,I.,4,"Vrouwe, uwen heylighen sone,"
Onbekend,I.,5,Die verloste den sondare
Onbekend,I.,6,"Met sijnre passien sware,"
Onbekend,I.,7,"Doen hi aen den cruce staerf,"
Onbekend,I.,8,Ende menschelike daer aen bedaerf.
Onbekend,I.,9,"Vader, sone, heylich gheest,"
Onbekend,I.,10,"U, soe biddic alre meest"
Onbekend,I.,11,"Dat ghi mi u gracie sent,"
Onbekend,I.,12,Dat dit dichte worde volent;
Onbekend,I.,13,Ende allen heylighen van hemelrike
Onbekend,I.,14,Soe biddic oec ghetrouwelike
Onbekend,I.,15,Dat si der heyligher drivoldichede
Onbekend,I.,16,"Voir mi doen haer ghebede,"
Onbekend,I.,17,"Dat mi Goods gratie ontsteke,"
Onbekend,I.,18,"Dat mi sin, nocht cracht ghebreke"
Onbekend,I.,19,"Te dichten eenen Lucidaris,"
Onbekend,I.,20,"Daer mi die reden of wel swaer is,"
Onbekend,I.,21,"En haddic van hem gheene bate,"
Onbekend,I.,22,"Daer ic mi dus op verlate,"
Onbekend,I.,23,Dat is opten hemelschen vader;
Onbekend,I.,24,Aen hem staet mijn troest algader.
Onbekend,I.,25,"Apostelen, martelaren, ende confessoren,"
Onbekend,I.,26,"Ende allen die ten hemel horen,"
Onbekend,I.,27,"Hen allen biddic, ende vermane"
Onbekend,I.,28,"Mi naernsteliken bi te stane,"
Onbekend,I.,29,Voir die heylighe drievoldichede
Onbekend,I.,30,"Eenpaerlike met hare bede,"
Onbekend,I.,31,Dat God minen sin soe verclare
Onbekend,I.,32,Dat ic dichten moet tware
Onbekend,I.,33,Dattie Lucidaris hevet in.
Onbekend,I.,34,Dus vraecht di clerc in sijn beghin:
Onbekend,I.,35,"Vraeg. Meester, wat sullen wi gheloven in Gode,"
Onbekend,I.,36,Daer wi of houden sine ghebode?
Onbekend,I.,37,"Antwoord. Clerc, verstant mi, sonder vechten,"
Onbekend,I.,38,"Ic sal u vele wel berechten,"
Onbekend,I.,39,Alsoe verre voirt als den leeken lieden
Onbekend,I.,40,Gheoorloft is te bedieden.
Onbekend,I.,41,Onse ghelove is dat die hemelsce vader
Onbekend,I.,42,"Sonder beghin is alle gader,"
Onbekend,I.,43,"Ende sonder inde oec sal sijn,"
Onbekend,I.,44,Alse di werelt sal nemen fijn.
Onbekend,I.,45,"Wat soude hier of meer ghesproken,"
Onbekend,I.,46,Dese woerde hebben 't al beloken.
Onbekend,I.,47,"V. Meester, nu bericht mi des,"
Onbekend,I.,48,Wat dinghe dat God selve es?
Onbekend,I.,49,"A. God is een substantie sekerlike,"
Onbekend,I.,50,"Altoes wonende in hemelrike,"
Onbekend,I.,51,"Van soe groter mogentheit,"
Onbekend,I.,52,"Ende van soe groter overwijsheit,"
Onbekend,I.,53,Ende van soe groter claerheit
Onbekend,I.,54,"Als ons die Scrifture wel seit,"
Onbekend,I.,55,"Dat die inghelen van den trone,"
Onbekend,I.,56,"Die woenen in den hemel scone,"
Onbekend,I.,57,Sijn .VII. warf clare in 't ansichte
Onbekend,I.,58,Dan die zonne mit haren lichte;
Onbekend,I.,59,Nochtan begheren si onversadeliken
Onbekend,I.,60,Te sien Gods anscijn van hemelrike;
Onbekend,I.,61,Nochtan is dat alle gader niet
Onbekend,I.,62,"Bi der claerheyt, die men an Gode siet."
Onbekend,I.,63,Hi es so scone ende soe clare
Onbekend,I.,64,"Dat sire alle bi leven dare,"
Onbekend,I.,65,"Mit groter blyscap, sonder verlanc;"
Onbekend,I.,66,"Engheen wesen dunct hem lanc,"
Onbekend,I.,67,"Die oyt daer mit hem hebben ghesijn,"
Onbekend,I.,68,Het en dunct hem niet dan een wijlkijn;
Onbekend,I.,69,Dat doet Gods almachtichede
Onbekend,I.,70,"Die al vuult die hoghe stede,"
Onbekend,I.,71,Onvertallicke glorie sal der wesen;
Onbekend,I.,72,Nemmere sal mens den leken lesen.
Onbekend,I.,73,"V. Meester, men seit ons, sonder waen,"
Onbekend,I.,74,Dat God in drien personen is bevaen.
Onbekend,I.,75,"A. Clerc, verstan mi, sonder hone,"
Onbekend,I.,76,"God is een maniere van .III. persone,"
Onbekend,I.,77,"Nochtan en eest maer .I. waerachtich God,"
Onbekend,I.,78,"Die over al hevet sijn ghebod,"
Onbekend,I.,79,"In hemelrike, ende in die helle."
Onbekend,I.,80,"Verstant, clerc, wat ic vertelle,"
Onbekend,I.,81,"'t Selve haddi sonder beghinsel,"
Onbekend,I.,82,Ende sel oec hebben alsoe wel;
Onbekend,I.,83,"Eer hi die werelt maectte ye,"
Onbekend,I.,84,So waren dese personen drie.
Onbekend,I.,85,"V. Meester, dattie goet moet ghescien,"
Onbekend,I.,86,Hoe komt dat men deilt in drien?
Onbekend,I.,87,"A. Beschouwe, clerc, die sonne scone,"
Onbekend,I.,88,Die scijnt an des hemels troene;
Onbekend,I.,89,"Bi hare, soe willic dat proven,"
Onbekend,I.,90,"So onse verstannisse mach behoven,"
Onbekend,I.,91,"Want in haer sijn .III. dinghe,"
Onbekend,I.,92,"Die men mach merken sonderlinghe,"
Onbekend,I.,93,Ende ic segdi hoe 't mach sijn:
Onbekend,I.,94,"D'eerste is een substancie vierijn,"
Onbekend,I.,95,"'t Ander scijnte, terde hitte."
Onbekend,I.,96,"Clerc, nu verstant wel ditte,"
Onbekend,I.,97,Dit moghen wi alle wel sien
Onbekend,I.,98,Dat mer een sonne en is onder hen drien;
Onbekend,I.,99,"Want waer d'een is van desen,"
Onbekend,I.,100,Daer moet dander .II. oec wesen;
Onbekend,I.,101,"Also is oec, sonder spot,"
Onbekend,I.,102,In drien persone een waerachtich God;
Onbekend,I.,103,"Want is die Vader in eneghe stede,"
Onbekend,I.,104,"Daer is emmer die Sone mede,"
Onbekend,I.,105,"Ende waer die Vader ende die Sone si,"
Onbekend,I.,106,Der is die Heileghe Gheest oec bi;
Onbekend,I.,107,Want dese personen alle drie
Onbekend,I.,108,"En sceden hem niet, no sceden nie."
Onbekend,I.,109,Bi der sonnen verstaen wi alle gader
Onbekend,I.,110,"Gode, den almachtighen Vader;"
Onbekend,I.,111,Bi der scijnte verstaen wi dan
Onbekend,I.,112,"Den Gods Sone, houti hier an;"
Onbekend,I.,113,Ende bi den licht verstaen wi meest
Onbekend,I.,114,Den almachtighen Heileghen Gheest.
Onbekend,I.,115,Nu verstant hoe die Gods Sone
Onbekend,I.,116,Mach sijn een God in drien persone.
Onbekend,I.,117,"Die Vader sende in ertrike den Sone,"
Onbekend,I.,118,"Ende menscheit nam in de gone,"
Onbekend,I.,119,En waert bi den Heilighen Gheest ontfaen
Onbekend,I.,120,In deser wijs mach men verstaen
Onbekend,I.,121,"Dat dese personen allen drie,"
Onbekend,I.,122,"In gheenre wijs en sceiden nie,"
Onbekend,I.,123,Noch d'een van den andren ghedeilt.
Onbekend,I.,124,Dit ghelove ganst ende heilt
Onbekend,I.,125,"Elke ziele van haren wonde,"
Onbekend,I.,126,Ende gheeft haer bade ende gesonde.
Onbekend,I.,127,"Nu wachti van duvels rove,"
Onbekend,I.,128,Ende houti vast in dit gelove.
Onbekend,I.,129,V. Lieve meester bericht mi
Onbekend,I.,130,Twi God Vader gheheten si.
Onbekend,I.,131,"A. Verstant, clerc, wat ic di lere."
Onbekend,I.,132,"Om dat God, die rike here,"
Onbekend,I.,133,Es fonteine ende beghinsel
Onbekend,I.,134,"Van alle der werelt, weet men wel,"
Onbekend,I.,135,Ende alle dinghen uut hem comen
Onbekend,I.,136,"T'onser salicheit ende vromen,"
Onbekend,I.,137,"Ende dat niemant was voer hem,"
Onbekend,I.,138,"Daerof ic wel seker bem,"
Onbekend,I.,139,Ende hi die achterste sel wesen
Onbekend,I.,140,"Van alle der werelt, so wi lesen."
Onbekend,I.,141,"V. Bericht mi, meester, dattu God lone,"
Onbekend,I.,142,Twi God is gheheten Sone?
Onbekend,I.,143,"A. Clerc, verstant mi openbare"
Onbekend,I.,144,"Die schijnte comt van der sonnen clare,"
Onbekend,I.,145,Also was die Sone alle gader
Onbekend,I.,146,"Gheformeert van den Vader,"
Onbekend,I.,147,"Daer of ontfinc hi sine claerhede,"
Onbekend,I.,148,Daer hi die werelt verlichte mede.
