author,chapter,line,text
Onbekend,Dits die tafel vanden. yersten boeke.,1,Van leringhen ende hoe men leren sal ende wat orbore daer ane gheleghet
Onbekend,Dits die tafel vanden. yersten boeke.,2,¶ Van spraken ende tonghen te bedwinghene .......... .i.
Onbekend,Dits die tafel vanden. yersten boeke.,3,¶ Leringhe van minnen ende van vrienscapen.
Onbekend,Dits die tafel vanden. yersten boeke.,4,¶ Hoemen ghewint minne ende vrienscap gods. mids gheloue .......... .iij.
Onbekend,Dits die tafel vanden. yersten boeke.,5,¶ Van hopen ende wat hope es
Onbekend,Dits die tafel vanden. yersten boeke.,6,¶ Van caritaten ende wat caritate es. .......... .iiij.
Onbekend,Dits die tafel vanden. yersten boeke.,7,¶ Van almoesenen ende wat lone daer af coemt. .......... .v.
Onbekend,Dits die tafel vanden. yersten boeke.,8,¶ Noch meer vander aelmoesenen
Onbekend,Dits die tafel vanden. yersten boeke.,9,¶ Alsmen gods minne heeft hoemen die behouden sal .......... .vi.
Onbekend,Hier beghint die tafle van den andren boeke,10,Van godliker ende menscheliker minnen tsamen
Onbekend,Hier beghint die tafle van den andren boeke,11,¶ Noch meer van godliker minnen noch waer af minne beghint ende altoes meere werdt .......... .vij.
Onbekend,Hier beghint die tafle van den andren boeke,12,¶ Waer af ende hoe dat minne beghint. .......... .viij.
Onbekend,Hier beghint die tafle van den andren boeke,13,¶ Vanden arghen die van quader minnen comen .......... .ix.
Onbekend,Hier beghint die tafle van den andren boeke,14,¶ Van scuwene der ghieregher ende der vrecker vrienscap.
Onbekend,Hier beghint die tafle van den andren boeke,15,¶ Van des houerdeghes ende verkeerds menschen .......... .x.
Onbekend,Hier beghint die tafle van den andren boeke,16,¶ Van scuwene gheselscap ende vrienscap der gheenre die uele spreken ende gherne voert spreken.
Onbekend,Hier beghint die tafle van den andren boeke,17,¶ Van scuwene vrienscap ende wandelinghe der gheenre die haestech sijn ter erscap .......... .xij.
Onbekend,Hier beghint die tafle van den andren boeke,18,¶ Hoe hem een mensche hoeden sal van alder quader gheselscap.
Onbekend,Hier beghint die tafle van den andren boeke,19,¶ Van orbor van uele vrienden. .......... .xiij.
Onbekend,Hier beghint die tafle van den andren boeke,20,¶ Noch van minnen ende van vrienscapen ende hoemen de sal maken ende houden. .......... .xiiij.
Onbekend,Hier beghint die tafle van den andren boeke,21,¶ Van raeds ende van raetgheuers.
