author,chapter,line,text
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,1,"Waphene, Rogier, hoe saelt gaen?"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,2,"Sal tfolc van zonden niet af staen,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,3,Hoe salt danne ghedueren?
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,4,"Tasseren, wouckeren, rouen, slaen,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,5,Sullen ambachte scinen saen
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,6,Onder die creatueren.
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,7,Quade usage heet niet mesdaen.
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,8,"Wie den andren best can vlaen,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,9,Mach best in state ghedueren.
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,10,Wee hem die daer af es baen!
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,11,Dat quade wrake sal ontfaen
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,12,"Ouer elc verbueren,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,13,Vinden wi in scriftueren.
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,14,"Seneca seit, hebbic vernomen:"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,15,"""In zonden wi elc andren dromen""."
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,16,Mi dincket hi seghet ware.
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,17,Wanen mach dese blame comen
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,18,Dat deen den anderen wille domen?
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,19,Hets eene plaghe zware:
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,20,"Elc souct tgheent dat hem mach vromen,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,21,"Al waert achterdeel hem zomen,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,22,Die hem bestonden nare.
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,23,"Rogier, vrient, wille daer toe gomen"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,24,"Mi tantwordene sonder becronen,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,25,Wie occusoen es clare
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,26,Van desen mesbare.
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,27,"Wanen comt, lieue Jan de Weert,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,28,"Dat ghi spreken an mi begheert,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,29,Die niet ne can van clergyen?
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,30,Hets wonder wat ghi vp mi heert:
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,31,"Die vele om leeren heeft verteert,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,32,"Mach dispiterens plyen,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,33,"Waer soudic berecht hebben gheleert,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,34,"Vp sulc vraghen als ghi mi sceert,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,35,Die clerc zijt in surgyen?
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,36,"Of men hu tYpre kent ende eert,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,37,"Hout hu daer, ic bem ghekeert."
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,38,Der dispitacien ontvlien
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,39,"Sal ic, macht mi ghescien."
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,40,"An mi ghesproken eist verloren,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,41,"Jan, ic bade hu gherne te voren"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,42,Dat ghijs mi verliet.
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,43,"Waendi dan ghenen spreken horen,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,44,"Vp wien Merlant hadde vercoren,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,45,Hiet Martin? Ic ne bems niet.
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,46,Ic sta hier ghelijc eenen doren.
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,47,"Haddic in Martins cam ghescoren,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,48,Ic ware nu vroet bediet;
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,49,"Maer neen, ic niet, dies hebbic toren."
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,50,"Een leec, rudaris, ombescoren"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,51,"Bem ic, alse ghi wel siet,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,52,Daer ane eist mi messciet.
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,53,"Rogier, Gods ontfaermicheit"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,54,Moet Jacoppe hebben besteit
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,55,Daer ic gherne quame!
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,56,Ter vlucht staestu al bereit:
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,57,"Al bestu Martin niet, ombeit,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,58,Ic sekers die vrame.
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,59,"Wat ic segghe, wel so weit,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,60,"Spreke ic wort dat di arbeit,"
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,61,Ic wils hebben scame.
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,62,Hoort doch tote ic hebbe vulseit
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,63,Tgheent dat mi vp therte leit:
Jan de Weert,EEN DISPITACIE VAN ROGIERE ENDE VAN JANNE.,64,Dat ics gherne name
