author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,O Edele herten ghij blijde gheesten
Onbekend,Onbekend Hoofdstuk,2,Ghij consteghe minnaers van ystorien
Onbekend,Onbekend Hoofdstuk,3,Ledt vp de navolghende scone ieesten
Onbekend,Onbekend Hoofdstuk,4,Die ic sal bringhen ter memorien
Onbekend,Onbekend Hoofdstuk,5,Van auontueren ende van victorien
Onbekend,Onbekend Hoofdstuk,6,Van minnen van edele gheweerken
Onbekend,Onbekend Hoofdstuk,7,Het es een tijtcurtinghe vul van glorien
Onbekend,Onbekend Hoofdstuk,8,Vp voorledene saken meerken
Onbekend,Onbekend Hoofdstuk,9,Voorledene saken vooroghen bringhen
Onbekend,Onbekend Hoofdstuk,10,Behoort wel virtueuse zinnen
Onbekend,Onbekend Hoofdstuk,11,Tsijn spieghels / van toecommende dinghen
Onbekend,Onbekend Hoofdstuk,12,Die tquade doen schuwen en duecht beminnen
Onbekend,Onbekend Hoofdstuk,13,Schone coronijke salic beghinnen
Onbekend,Onbekend Hoofdstuk,14,Van eenen moghenden sarasijn
Onbekend,Onbekend Hoofdstuk,15,Leael in hende ende in beghinnen
Onbekend,Onbekend Hoofdstuk,16,Ghenaemt de hoofsche Saladijn
Onbekend,Onbekend Hoofdstuk,17,Hoe hij ghecreech in zijn bandoen
Onbekend,Onbekend Hoofdstuk,18,Iherusalem die helighe stede
Onbekend,Onbekend Hoofdstuk,19,Die dedel gheslachte van builloen
Onbekend,Onbekend Hoofdstuk,20,Besaten met groter moghenthede
Onbekend,Onbekend Hoofdstuk,21,Hoe hij daer naer quam in kerstinhede
Onbekend,Onbekend Hoofdstuk,22,Tot noerantoen met groter macht
Onbekend,Onbekend Hoofdstuk,23,Daer chavengy eenen camp om dede
Onbekend,Onbekend Hoofdstuk,24,Ieghen briante / ende seghe vacht
Onbekend,Onbekend Hoofdstuk,25,Hoe saladijn trac te lande hier naer
Onbekend,Onbekend Hoofdstuk,26,Hoe kerstinen trocken int helich lant
Onbekend,Onbekend Hoofdstuk,27,Ende wonnen akers zonder vaer
Onbekend,Onbekend Hoofdstuk,28,Ende babilonien so ict vant
Onbekend,Onbekend Hoofdstuk,29,Hoe seghin meliden bracht tzijnder hant
Onbekend,Onbekend Hoofdstuk,30,Bij hulpen van hughen van tabarien
Onbekend,Onbekend Hoofdstuk,31,De doot van saladijn den saudant
Onbekend,Onbekend Hoofdstuk,32,Suldi in dese ystorie zien
Onbekend,Onbekend Hoofdstuk,33,Int curte es dese ystorie schone
Onbekend,Onbekend Hoofdstuk,34,Ghenomen vter coronike
Onbekend,Onbekend Hoofdstuk,35,Bidt voor den maker dat hij te lone
Onbekend,Onbekend Hoofdstuk,36,Naer steruen mach hebben gods hemelrike
Onbekend,Onbekend Hoofdstuk,37,Dit copulaet gheen dyesghelike
Onbekend,Onbekend Hoofdstuk,38,Wilt lesen tes al vraey ende waer
Onbekend,Onbekend Hoofdstuk,39,Behelst in curter rethorike
Onbekend,Onbekend Hoofdstuk,40,Het volcht van worde te worde hier naer
Onbekend,Onbekend Hoofdstuk,41,EEn copulaet ystoriael
Onbekend,Onbekend Hoofdstuk,42,Vollecht hier warachtich ende scone
Onbekend,Onbekend Hoofdstuk,43,Vanden hoofschen saudaen loyael
Onbekend,Onbekend Hoofdstuk,44,Saladine van babilone
Onbekend,Onbekend Hoofdstuk,45,Als de iherusalemsche crone
Onbekend,Onbekend Hoofdstuk,46,Drouch van sibborch die baroen
Onbekend,Onbekend Hoofdstuk,47,Baudewijn was genaemt de ghone
Onbekend,Onbekend Hoofdstuk,48,Vanden gheslachte van builloen
Onbekend,Onbekend Hoofdstuk,49,Rees voor iherusalem der stede
Onbekend,Onbekend Hoofdstuk,50,Een al te compasselic dyscoort
Onbekend,Onbekend Hoofdstuk,51,Onder de princhen van kerstinhede
Onbekend,Onbekend Hoofdstuk,52,Duer tanghereids steruen viel dese moort
Onbekend,Onbekend Hoofdstuk,53,Daer bleuen in haer bloet versmoort
Onbekend,Onbekend Hoofdstuk,54,xl. princhen gods rudders alle
Onbekend,Onbekend Hoofdstuk,55,Daer dedelheyt noch om es verstoort
Onbekend,Onbekend Hoofdstuk,56,Op yden / cause vanden mesualle
Onbekend,Onbekend Hoofdstuk,57,Als de saudaen van babilone
Onbekend,Onbekend Hoofdstuk,58,Vernam der kerstinen messchyen
Onbekend,Onbekend Hoofdstuk,59,Met xxx. coninghen spannende crone
Onbekend,Onbekend Hoofdstuk,60,Quam hij ten lande van suryen
Onbekend,Onbekend Hoofdstuk,61,Meer dan viii. hondert duust payen
Onbekend,Onbekend Hoofdstuk,62,Haddi onder zijn moghentheyt
Onbekend,Onbekend Hoofdstuk,63,Baudewijn dede hem wel voorsyen
Onbekend,Onbekend Hoofdstuk,64,Want deffyanche was hem gheseyt
Onbekend,Onbekend Hoofdstuk,65,Een edel coninc hiet esclaudie
Onbekend,Onbekend Hoofdstuk,66,Noch ix. coninghen in zijn ghewelt
Onbekend,Onbekend Hoofdstuk,67,Met hondert duust volcx in zijn bayllie
Onbekend,Onbekend Hoofdstuk,68,Quam voren om te bestane tvelt
Onbekend,Onbekend Hoofdstuk,69,Sijn voor iherusalem gheuelt
Onbekend,Onbekend Hoofdstuk,70,Daert baudewijn de coninc sach
Onbekend,Onbekend Hoofdstuk,71,Verbust recht als een leeu ontstelt
Onbekend,Onbekend Hoofdstuk,72,Reet vut met al dat hi vermach
Onbekend,Onbekend Hoofdstuk,73,Daer voer hi als donuervaerde
Onbekend,Onbekend Hoofdstuk,74,Inde sarasinen slaen
Onbekend,Onbekend Hoofdstuk,75,Dwelc was tsaudaens auangaerde
Onbekend,Onbekend Hoofdstuk,76,Daer lettel payenen af sijn ontgaen
Onbekend,Onbekend Hoofdstuk,77,Viii. coninghen doot / ende twee gheuaen
Onbekend,Onbekend Hoofdstuk,78,Ghehanghen waren de prisonieren
Onbekend,Onbekend Hoofdstuk,79,Want zijne wilden niet af staen
Onbekend,Onbekend Hoofdstuk,80,Apolinus wet noch vernoyeren
Onbekend,Onbekend Hoofdstuk,81,Baudewijn dedel coninc vry
Onbekend,Onbekend Hoofdstuk,82,Dede haer afgoden van goude root
Onbekend,Onbekend Hoofdstuk,83,Hanghen den prysonieren bij
Onbekend,Onbekend Hoofdstuk,84,Ende de acht coninghen die waren doot
Onbekend,Onbekend Hoofdstuk,85,Kerstenen dreuen blijscap groot
Onbekend,Onbekend Hoofdstuk,86,Ende deelden minlic haer ghewin
Onbekend,Onbekend Hoofdstuk,87,Dauangaerde bleef dus inden noot
Onbekend,Onbekend Hoofdstuk,88,Maer laes ten was maer een beghin
Onbekend,Onbekend Hoofdstuk,89,De vrauwe van iherusalem
Onbekend,Onbekend Hoofdstuk,90,Bat baudewine den ruwaert
Onbekend,Onbekend Hoofdstuk,91,Dat hij hughen ontbode them
Onbekend,Onbekend Hoofdstuk,92,Ende den edelen bastaert
Onbekend,Onbekend Hoofdstuk,93,De connic [sic] was van so vromer aert
Onbekend,Onbekend Hoofdstuk,94,Dat hij sourcours versochte node
Onbekend,Onbekend Hoofdstuk,95,Maer duer den vrauweliken moet bezwaert
Onbekend,Onbekend Hoofdstuk,96,Was amedelijs ghecoren bode
Onbekend,Onbekend Hoofdstuk,97,Den bode latic henen varen
Onbekend,Onbekend Hoofdstuk,98,Te meekes waert an dodekine
