author,chapter,line,text
Jacob van Maerlant,1.,1,"""Wapene, Martijn! hoe salt gaen?"
Jacob van Maerlant,1.,2,Sal die werelt iet langhe staen
Jacob van Maerlant,1.,3,In dus cranken love?
Jacob van Maerlant,1.,4,So moet vrouwe ver Ere saen
Jacob van Maerlant,1.,5,Sonder twifel ende waen
Jacob van Maerlant,1.,6,Rumen heren hove.
Jacob van Maerlant,1.,7,"Ic sie den valschen wel ontfaen,"
Jacob van Maerlant,1.,8,Die de heren connen dwaen
Jacob van Maerlant,1.,9,Ende plucken van den stove;
Jacob van Maerlant,1.,10,"Ende ic sie den rechten slaen,"
Jacob van Maerlant,1.,11,"Bede bespotten ende vaen,"
Jacob van Maerlant,1.,12,"Alse die mese in de clove,"
Jacob van Maerlant,1.,13,Rechte offene God verscrove.
Jacob van Maerlant,2.,14,Hoe langhe sal ghedoghen dit
Jacob van Maerlant,2.,15,God die alle dinc besit
Jacob van Maerlant,2.,16,"In sine heerscapië,"
Jacob van Maerlant,2.,17,Dat die goede vleeut ende bit
Jacob van Maerlant,2.,18,"Ende hem ne dooch no dat no dit,"
Jacob van Maerlant,2.,19,Dat hi iet ghedië?
Jacob van Maerlant,2.,20,"Al gaet in den helschen pit,"
Jacob van Maerlant,2.,21,"Eist blaeu, grae, swart of wit,"
Jacob van Maerlant,2.,22,Hets ghetrouwe als die sië.
Jacob van Maerlant,2.,23,"Recht man delvet sonder spit,"
Jacob van Maerlant,2.,24,Hine hevet te pointe niet ghehit
Jacob van Maerlant,2.,25,In neghere baelgië.
Jacob van Maerlant,2.,26,Mi es leet dat ic waer lië.
Jacob van Maerlant,3.,27,"Laet ons, Martijn, over een"
Jacob van Maerlant,3.,28,Hier af spreken onder ons tween
Jacob van Maerlant,3.,29,"In dit dialoghe,"
Jacob van Maerlant,3.,30,Wanen eerst quam dese ween;
Jacob van Maerlant,3.,31,"Die wilen so onweert scheen,"
Jacob van Maerlant,3.,32,Ende nu sit so hoghe.
Jacob van Maerlant,3.,33,Ic sal vraghen ende vleen;
Jacob van Maerlant,3.,34,"Berecht mi ja of neen,"
Jacob van Maerlant,3.,35,Van dat ic di betoghe.
Jacob van Maerlant,3.,36,"Ledicheit es vrome negheen,"
