author,chapter,line,text
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",1,"God, die vander maghet was gheboren,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",2,Om dat hi niet en woude laten verloren
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",3,"Dat hi met sinen handen hadde gemaect,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",4,Soe woude hi al moeder naect
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",5,Die doet sterven in rechter trouwen.
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",6,"Nu biddic u, heren ende vrouwen,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",7,Dat ghi wilt swighen ende hoeren.
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",8,"Het was een coninc hier te voren,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",9,"In Sesiliën was hi gheseten,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",10,"Verstaet, soe moghdi wonder weten,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",11,Ende ghecreech een kint bi sijn wijf.
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",12,"Maer bi hem hielt hi enen keitijf,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",13,"Sijns broeder sone, hiet Robrecht,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",14,Die dat conincrike na recht
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",15,"Alte male soude hebben verworven,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",16,Hadde die coninc sonder oer ghestorven.
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",17,"Maer nu wert daer een knecht geboren,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",18,Dies Robbrecht hadde groten toren
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",19,Ende int herte groten nijt.
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",20,"Nu seldi hier sien in corter tijt,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",21,"Wat dat den jonghelinc es ghesciet,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",22,"Hoe hem Robrecht bracht in swer verdriet,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",23,"Ende enen Sarrasijn heft vercocht,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",24,"Ende in groten elende brocht,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",25,"Ende oec die moeder, diene droech,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",26,Dat si daer na noit en loech
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",27,"In twintich jaren daer si lach,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",28,Ende noit sonne noch mane en sach:
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",29,Dat beriet haer Robrecht al.
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",30,"Nu swijt, ende merct hoet begennen sal."
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",31,"Ay mi! ay mi der leider gheboert,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",32,Die hier nu es comen voert
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",33,"Van Esmoreit, den neve mijn!"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",34,"Ic waende wel coninc hebben ghesijn,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",35,Als mijn oem hadde ghelaten dlijf
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",36,Nu heeft hi al bi sijn wijf
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",37,"Een kint gecreghen, die oude viliaert."
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",38,"O Sesiliën, edel bogaert,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",39,"Edel foreest, edel rijc,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",40,"Ic moet bliven ewelijc,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",41,"Edel foreest, van di bastaert;"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",42,"Dies mijn herte alsoe beswaert,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",43,Dat mi inbringhen sal de doot.
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",44,"Maer bi den here die mi gheboet,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",45,"Ic sal daer omme pinen nacht ende dach,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",46,Hoe ic dat wecht verderven mach;
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",47,Ic saelt versmoren oft verdrincken;
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",48,"Daer salic nacht ende dach om dincken,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",49,Al soudic daer omme liden pijn.
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",50,Ic sal noch selve de coninc sijn
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",51,"Van Sesiliën, den hoghen lande."
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",52,"Ic sal oec pinen om haer scande,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",53,"Der coninghinnen, mijns oems wijf,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",54,Dat hi nemmermeer sijn lijf
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",55,"Met haer en sal delen, die wigant."
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",56,"Aldus soe sal mi bliven dlant,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",57,Machic volbringhen dese dinc.
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",58,"Waer sidi, hoghe gheboren coninc,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",59,Van Damast gheweldich heer?
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",60,"Mijn herte es mi van rouwen seer,"
Onbekend,"EEN ABEL SPEL VAN ESMOREIT, SCONINCX SONE VAN CECILIËN, ENDE ENE SOTTERNIE DAER NA VOLGHENDE.",61,"Van saken, die ic hebbe ghesien."
