author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Die coninc aertuer hadde hof
Onbekend,Onbekend Hoofdstuk,2,Gehouden daer hi groten lof
Onbekend,Onbekend Hoofdstuk,3,Eens sinxendages hadde ontfaen
Onbekend,Onbekend Hoofdstuk,4,Ter borch die hiet caradigaen
Onbekend,Onbekend Hoofdstuk,5,Daer waren ridders houesch ende goet
Onbekend,Onbekend Hoofdstuk,6,Ende van ridderscepe vroet
Onbekend,Onbekend Hoofdstuk,7,Die ic wel soude connen nomen
Onbekend,Onbekend Hoofdstuk,8,Waendic dat mi soude vromen
Onbekend,Onbekend Hoofdstuk,9,Bedi alsic hebbe horen saghen
Onbekend,Onbekend Hoofdstuk,10,Ende dauonturen onder vragen
Onbekend,Onbekend Hoofdstuk,11,Daer was mijn here gawein
Onbekend,Onbekend Hoofdstuk,12,Ende sijn geselle mijn her ywein
Onbekend,Onbekend Hoofdstuk,13,Pertseuale ende lanceloet
Onbekend,Onbekend Hoofdstuk,14,Her keye ende sagremort
Onbekend,Onbekend Hoofdstuk,15,Ende menech ander hoge man
Onbekend,Onbekend Hoofdstuk,16,Die ic genomen niet en can
Onbekend,Onbekend Hoofdstuk,17,Maer na etene worpsi ten spele
Onbekend,Onbekend Hoofdstuk,18,Scaec ende worptafle in die zele
Onbekend,Onbekend Hoofdstuk,19,Selc telde andren sine auonture
Onbekend,Onbekend Hoofdstuk,20,Die heme worden was te sure
Onbekend,Onbekend Hoofdstuk,21,Mijn her gawein nam bider hant
Onbekend,Onbekend Hoofdstuk,22,Sinen geselle die hi noit vant
Onbekend,Onbekend Hoofdstuk,23,Mijn her yweine bloede no loes
Onbekend,Onbekend Hoofdstuk,24,Sint dat hine eerstwerf coes
Onbekend,Onbekend Hoofdstuk,25,Twee gesellen noit eer
Onbekend,Onbekend Hoofdstuk,26,Ne minden mallijc andren meer
Onbekend,Onbekend Hoofdstuk,27,Elc coes andren van hen beden
Onbekend,Onbekend Hoofdstuk,28,Hem .ij. conste niemen versceden
Onbekend,Onbekend Hoofdstuk,29,Si saten neder ende spraken
Onbekend,Onbekend Hoofdstuk,30,Beide gader van menegen saken
Onbekend,Onbekend Hoofdstuk,31,Die hen beiden ltsach.gt gescien
Onbekend,Onbekend Hoofdstuk,32,Die coninc es comen binnen dien
Onbekend,Onbekend Hoofdstuk,33,Ende viel neder tusschen hem lttweengt
Onbekend,Onbekend Hoofdstuk,34,Mallic spranc op sine been
Onbekend,Onbekend Hoofdstuk,35,Ende seiden wel moetti comen sijn
Onbekend,Onbekend Hoofdstuk,36,Here wildi sitten .i. lettelkijn
Onbekend,Onbekend Hoofdstuk,37,Hier bi ons so sit hier neder
Onbekend,Onbekend Hoofdstuk,38,Neen ic seit hi ic sie tweder
Onbekend,Onbekend Hoofdstuk,39,Scone ende claer. in wille niet dagen
Onbekend,Onbekend Hoofdstuk,40,Bedi ic wille varen jaghen
Onbekend,Onbekend Hoofdstuk,41,Int foreest van goriende
Onbekend,Onbekend Hoofdstuk,42,Den witten hert die noit en kende
Onbekend,Onbekend Hoofdstuk,43,Dat grote geloep van minen honden
Onbekend,Onbekend Hoofdstuk,44,Hi saelt weten ane dien stonden
Onbekend,Onbekend Hoofdstuk,45,Canicken te velde belopen
Onbekend,Onbekend Hoofdstuk,46,Ic wane wel hi saelt becopen
Onbekend,Onbekend Hoofdstuk,47,Ic wille ghi minen wille doet
Onbekend,Onbekend Hoofdstuk,48,Sprac der gawein het dunct mi goet
Onbekend,Onbekend Hoofdstuk,49,Here dat gi hebt geseit
Onbekend,Onbekend Hoofdstuk,50,Alse ghi wilt wi sijn bereit
Onbekend,Onbekend Hoofdstuk,51,Die knapen sprongen op ter vaert
Onbekend,Onbekend Hoofdstuk,52,Elc sadelde sijns heren paert
Onbekend,Onbekend Hoofdstuk,53,Ende torsten hare somers sciere
Onbekend,Onbekend Hoofdstuk,54,Ende worper op hare fortsiere
Onbekend,Onbekend Hoofdstuk,55,Dat harnasch was ltghereet snellijcgt
Onbekend,Onbekend Hoofdstuk,56,Die coninc spranc op hastelltijcgt
Onbekend,Onbekend Hoofdstuk,57,Hi was .i. scone man ende groet
Onbekend,Onbekend Hoofdstuk,58,Noit was coninc sijn genoet
Onbekend,Onbekend Hoofdstuk,59,Noch die bet scheen .i. edel man
Onbekend,Onbekend Hoofdstuk,60,Selue hi enen horen nam
Onbekend,Onbekend Hoofdstuk,61,Ende maecte heme vter stat wel houde
Onbekend,Onbekend Hoofdstuk,62,Want hi wilde sijn te woude
Onbekend,Onbekend Hoofdstuk,63,Heme volchden alle die baroene
Onbekend,Onbekend Hoofdstuk,64,Dier daer menech was ende coene
Onbekend,Onbekend Hoofdstuk,65,Mijn her gawein die wel geraect
Onbekend,Onbekend Hoofdstuk,66,Was ende van hoefscheden volmaect
Onbekend,Onbekend Hoofdstuk,67,Hi voer neuen der coninginne ltfinegt
Onbekend,Onbekend Hoofdstuk,68,Die enen mantel van hermine
Onbekend,Onbekend Hoofdstuk,69,Hadde omme hare dor dat sonneschijn
Onbekend,Onbekend Hoofdstuk,70,Die lijste die was sabelijn
Onbekend,Onbekend Hoofdstuk,71,Die al omme den mantel hinc
Onbekend,Onbekend Hoofdstuk,72,Noit man sach so rikelijc dinc
Onbekend,Onbekend Hoofdstuk,73,Hens niemen diet volprisen mochte
Onbekend,Onbekend Hoofdstuk,74,Iegen die scepsterigge diet wrochte
Onbekend,Onbekend Hoofdstuk,75,Dus quamse ridende ant foreest
Onbekend,Onbekend Hoofdstuk,76,Die coninc was die alre meest
Onbekend,Onbekend Hoofdstuk,77,Meinde den hert ende sach op ende tale
Onbekend,Onbekend Hoofdstuk,78,Doe riep hi mijn her pertseuale
Onbekend,Onbekend Hoofdstuk,79,Ende sine iagers datsi quamen
Onbekend,Onbekend Hoofdstuk,80,Mettien si den hert vernamen
Onbekend,Onbekend Hoofdstuk,81,Buten bossche op .i. fonteine
Onbekend,Onbekend Hoofdstuk,82,Die coninc riep mijn her yweine
Onbekend,Onbekend Hoofdstuk,83,Ende men ontcoppelde die honde
Onbekend,Onbekend Hoofdstuk,84,Elc sette horen ten monde
Onbekend,Onbekend Hoofdstuk,85,Si voeren sere daer waert
Onbekend,Onbekend Hoofdstuk,86,Die hert spranc op ende wart veruart
Onbekend,Onbekend Hoofdstuk,87,Ende vloe neuen ere riuieren
Onbekend,Onbekend Hoofdstuk,88,Doe liet die coninc verlaisieren
Onbekend,Onbekend Hoofdstuk,89,Die honde maecten groet geluut
Onbekend,Onbekend Hoofdstuk,90,Doe hadden die iagers haer deduut
Onbekend,Onbekend Hoofdstuk,91,Si iageden wel .iij. grote milen
Onbekend,Onbekend Hoofdstuk,92,Ende scoter naer met haren pylen
Onbekend,Onbekend Hoofdstuk,93,Doe spranc hi in .i. water diep
Onbekend,Onbekend Hoofdstuk,94,Dat daer neuen den woude liep
Onbekend,Onbekend Hoofdstuk,95,Ende barch hem in .i. lanc cruut
Onbekend,Onbekend Hoofdstuk,96,Die honde maecten groet geluut
Onbekend,Onbekend Hoofdstuk,97,Die ridders bliesen diere na quamen
Onbekend,Onbekend Hoofdstuk,98,Alsi den hert int cruut vernamen
Onbekend,Onbekend Hoofdstuk,99,Redensire na metter vaert
Onbekend,Onbekend Hoofdstuk,100,Die hert spranc op ende wart veruaert
Onbekend,Onbekend Hoofdstuk,101,Ten bossche waert hi hem onstal
Onbekend,Onbekend Hoofdstuk,102,Ende liep in een groet dal
Onbekend,Onbekend Hoofdstuk,103,Die jagers wordens alle gram
Onbekend,Onbekend Hoofdstuk,104,Elc doe enen hont nam
Onbekend,Onbekend Hoofdstuk,105,Ende sijn na den hert glthedokengt
Onbekend,Onbekend Hoofdstuk,106,Die bracken hebben[- .] ltegtcht verroken
Onbekend,Onbekend Hoofdstuk,107,Ende maecten een groet gedalsch
Onbekend,Onbekend Hoofdstuk,108,Die iagers waren herde gemalsch
Onbekend,Onbekend Hoofdstuk,109,Mallijc blies met sinen horne
Onbekend,Onbekend Hoofdstuk,110,Het was herde goet te horne
Onbekend,Onbekend Hoofdstuk,111,Vandien honden dat geloep
Onbekend,Onbekend Hoofdstuk,112,Maer die hert hem allen ontsltloepgt
