author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,"""Ten es wonder boven der aerde,"
Onbekend,Onbekend Hoofdstuk,2,"""Dat hem so groot ye verbaerde,"
Onbekend,Onbekend Hoofdstuk,3,"""Dat men met wapinen mochte vellen,"
Onbekend,Onbekend Hoofdstuk,4,"""Of met consten, verstaet mijn tellen,"
Onbekend,Onbekend Hoofdstuk,5,"""Sine soudent tonder doen,"
Onbekend,Onbekend Hoofdstuk,6,"""Fierabras, Elegast ende Myloen."""
Onbekend,Onbekend Hoofdstuk,7,"""Die ander seiden: ""dat es waer."""
Onbekend,Onbekend Hoofdstuk,8,Do slougen si met speren daer
Onbekend,Onbekend Hoofdstuk,9,"Die felle leewen, die daer hingen;"
Onbekend,Onbekend Hoofdstuk,10,"Robbrecht beghanre oec na springen,"
Onbekend,Onbekend Hoofdstuk,11,Ende slouchen se metter hacx van stale:
Onbekend,Onbekend Hoofdstuk,12,Als dieze vellen wilde te dale;
Onbekend,Onbekend Hoofdstuk,13,"Maer dat was dinc, dat niet besloot."
Onbekend,Onbekend Hoofdstuk,14,Doe reden vorwaert die genoot.
Onbekend,Onbekend Hoofdstuk,15,De leewen bleven hangende daer
Onbekend,Onbekend Hoofdstuk,16,"Also lange, dat es waer,"
Onbekend,Onbekend Hoofdstuk,17,"Dat se de lucht al verterde,"
Onbekend,Onbekend Hoofdstuk,18,Ende die vrome heren vermerde
Onbekend,Onbekend Hoofdstuk,19,Sijn te Rozenborch comen;
Onbekend,Onbekend Hoofdstuk,20,"Also Sansun heeft vernomen,"
Onbekend,Onbekend Hoofdstuk,21,Ontfinchize met blider chiere;
Onbekend,Onbekend Hoofdstuk,22,"Doe reden si dor die duwiere,"
Onbekend,Onbekend Hoofdstuk,23,So dat si quamen te Vauclere.
Onbekend,Onbekend Hoofdstuk,24,"Nu eist tijt, dat ic kere"
Onbekend,Onbekend Hoofdstuk,25,"Toet Fierabras ende toet Elegaste,"
Onbekend,Onbekend Hoofdstuk,26,"Ende te Mylen, die altoes vaste"
Onbekend,Onbekend Hoofdstuk,27,Ende ghenendelike jaghen;
Onbekend,Onbekend Hoofdstuk,28,Een somerpaert const cume gedragen
Onbekend,Onbekend Hoofdstuk,29,"Twilt, dat si hadden gevaen;"
Onbekend,Onbekend Hoofdstuk,30,Doe lieten si haer jagen staen.
Onbekend,Onbekend Hoofdstuk,31,Si wilden riden te Vauclere
Onbekend,Onbekend Hoofdstuk,32,Doe sagen si met groten ghere
Onbekend,Onbekend Hoofdstuk,33,Drie coninge comen ghereden
Onbekend,Onbekend Hoofdstuk,34,"Spelen met solaesliicheden,"
Onbekend,Onbekend Hoofdstuk,35,"Ongewapent, dat es ware;"
Onbekend,Onbekend Hoofdstuk,36,Maer elc hadde enen sporeware
Onbekend,Onbekend Hoofdstuk,37,Staende friscelijc up sijn hant.
Onbekend,Onbekend Hoofdstuk,38,Men hadde vonden in geen lant
Onbekend,Onbekend Hoofdstuk,39,Vromer payene dan si waren.
Onbekend,Onbekend Hoofdstuk,40,Haer namen sal ic u verclaren:
Onbekend,Onbekend Hoofdstuk,41,"Deen was coninc van Slavenyen,"
Onbekend,Onbekend Hoofdstuk,42,"Ende die ander in Tarteryen,"
Onbekend,Onbekend Hoofdstuk,43,Ende die derde Putagor
Onbekend,Onbekend Hoofdstuk,44,Van Antioetsen; herde dor
Onbekend,Onbekend Hoofdstuk,45,Waren deze coninge drye.
Onbekend,Onbekend Hoofdstuk,46,"Het sachse comen, geloves mye,"
Onbekend,Onbekend Hoofdstuk,47,"Fierabras, Elegast ende Myle."
Onbekend,Onbekend Hoofdstuk,48,"Doe drougen si over een ter wile,"
Onbekend,Onbekend Hoofdstuk,49,Dat sise zeker souden vaen;
Onbekend,Onbekend Hoofdstuk,50,Metten worden reden si hem aen.
Onbekend,Onbekend Hoofdstuk,51,Doe seiden die vrome ridders [wigants?] fier:
Onbekend,Onbekend Hoofdstuk,52,"""Here payene putertier,"
Onbekend,Onbekend Hoofdstuk,53,"Ghi sijt gevaen sonder liegen,"
Onbekend,Onbekend Hoofdstuk,54,Ter armen tijt so voerdi vliegen;
Onbekend,Onbekend Hoofdstuk,55,"Dat suldi seggen tuwen bouf."""
Onbekend,Onbekend Hoofdstuk,56,Susas doe die tale up houf:
Onbekend,Onbekend Hoofdstuk,57,"""Trouwen, ghi heren, dies es gheen noot,"
Onbekend,Onbekend Hoofdstuk,58,"Al sijn wi van wapinen bloot,"
