author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,De wilde was int gevecht
Onbekend,Onbekend Hoofdstuk,2,Staerc ende stout ende onvervaert
Onbekend,Onbekend Hoofdstuk,3,Dat flandrijs te pinen waert
Onbekend,Onbekend Hoofdstuk,4,Want hi ontfinc ontbonden slage
Onbekend,Onbekend Hoofdstuk,5,De ridder hads int herte wage
Onbekend,Onbekend Hoofdstuk,6,Dat hem also lange hilt
Onbekend,Onbekend Hoofdstuk,7,Jegen hem ter were een mensce wilt
Onbekend,Onbekend Hoofdstuk,8,Entie ongewapent staet
Onbekend,Onbekend Hoofdstuk,9,Met beiden handen datti slaet
Onbekend,Onbekend Hoofdstuk,10,Den enen die hi wilde geraken
Onbekend,Onbekend Hoofdstuk,11,Ende deeldene also men doet baken
Onbekend,Onbekend Hoofdstuk,12,Thooft dore al toter herten
Onbekend,Onbekend Hoofdstuk,13,De wilde metter machuwe sterte
Onbekend,Onbekend Hoofdstuk,14,Optie erde ende liet de were
Onbekend,Onbekend Hoofdstuk,15,Dit sach dander ende weende zere
Onbekend,Onbekend Hoofdstuk,16,Verstormt waert ende spranc hoge
Onbekend,Onbekend Hoofdstuk,17,Op flandrijs deide hi sine vloge
Onbekend,Onbekend Hoofdstuk,18,Doer datti hadde tswert ende scilt
Onbekend,Onbekend Hoofdstuk,19,Hi stakene met al sulken gewilt
Onbekend,Onbekend Hoofdstuk,20,Met sire side jegen den scilde
Onbekend,Onbekend Hoofdstuk,21,Wilde de ridder of ne wilde
Onbekend,Onbekend Hoofdstuk,22,Hi moeste vallen over de sporen
Onbekend,Onbekend Hoofdstuk,23,Die wilde hadden gedaen toren
Onbekend,Onbekend Hoofdstuk,24,Haddi sire handen gebruuc
Onbekend,Onbekend Hoofdstuk,25,Hi trat flandrise opten buuc
Onbekend,Onbekend Hoofdstuk,26,Dat hem dat sien verwandelen dochte
Onbekend,Onbekend Hoofdstuk,27,Hi hiltene datti niet op mochte
Onbekend,Onbekend Hoofdstuk,28,No met voete no met handen
Onbekend,Onbekend Hoofdstuk,29,De wilde werdem met den tanden
Onbekend,Onbekend Hoofdstuk,30,Die joncfrouwe versach dit al
Onbekend,Onbekend Hoofdstuk,31,Soe ducht haer dat flandrijs sal
Onbekend,Onbekend Hoofdstuk,32,Tonder bliven vanden vilein
Onbekend,Onbekend Hoofdstuk,33,De machuwe hief soe int plein
Onbekend,Onbekend Hoofdstuk,34,Daer soe den wilden mede sloech
Onbekend,Onbekend Hoofdstuk,35,Dies hi dogede ongevoech
Onbekend,Onbekend Hoofdstuk,36,Soe sloech hem ii rebben ontwe
Onbekend,Onbekend Hoofdstuk,37,Daer omme ne liet hi min no mee
Onbekend,Onbekend Hoofdstuk,38,Hine pinde hem flandrijs te doene grief
Onbekend,Onbekend Hoofdstuk,39,Watti werstelde ofte hief
Onbekend,Onbekend Hoofdstuk,40,Het hilde vast de wilde man
Onbekend,Onbekend Hoofdstuk,41,Die joncfrouwe scoet achter an
Onbekend,Onbekend Hoofdstuk,42,Ende hielt vaste den wilden biden bene
Onbekend,Onbekend Hoofdstuk,43,Soe zere dattie ridder rene
Onbekend,Onbekend Hoofdstuk,44,De arme boven gewan
Onbekend,Onbekend Hoofdstuk,45,Den wilden heefti geswongen dan
Onbekend,Onbekend Hoofdstuk,46,Jegen derde over rugghe
Onbekend,Onbekend Hoofdstuk,47,Flandrijs scoot op herde vlugghe
Onbekend,Onbekend Hoofdstuk,48,So deide de wilde die eer lach
Onbekend,Onbekend Hoofdstuk,49,Ende flandrijs gaf hem enen slach
Onbekend,Onbekend Hoofdstuk,50,Inde rechter side ter vaert
Onbekend,Onbekend Hoofdstuk,51,Dat al dore vloech dat swaert
Onbekend,Onbekend Hoofdstuk,52,Ende hine deelde ter rechter helt
Onbekend,Onbekend Hoofdstuk,53,Dus es haer quaetheit gevelt
Onbekend,Onbekend Hoofdstuk,54,Dies flandrijs heeft wrake genomen
Onbekend,Onbekend Hoofdstuk,55,Die joncfrouwe es totem comen
Onbekend,Onbekend Hoofdstuk,56,Ende groettene bi apoline
Onbekend,Onbekend Hoofdstuk,57,Des litel verblijde therte sine
Onbekend,Onbekend Hoofdstuk,58,Ende seide joncfrouwe god onse here
Onbekend,Onbekend Hoofdstuk,59,Geive u ter doget voort waert mere
Onbekend,Onbekend Hoofdstuk,60,Herte gedochte sin ende spoet
Onbekend,Onbekend Hoofdstuk,61,Uwe gewaden sciere an doet
Onbekend,Onbekend Hoofdstuk,62,Dan salic jegen u spreken gerne
Onbekend,Onbekend Hoofdstuk,63,De joncfrouwe stonts niet t omberne
Onbekend,Onbekend Hoofdstuk,64,Met bliden zinne ende wel gereet
Onbekend,Onbekend Hoofdstuk,65,Heif soe haer weder gecleet
Onbekend,Onbekend Hoofdstuk,66,Ende gijnc recht ten riddere goet
Onbekend,Onbekend Hoofdstuk,67,Ende wildem vallen opten voet
Onbekend,Onbekend Hoofdstuk,68,Maer dat hijt haer heift weder boden
Onbekend,Onbekend Hoofdstuk,69,Here seitsoe uut desen noden
Onbekend,Onbekend Hoofdstuk,70,Ne waric nemmermeer ontgaen
Onbekend,Onbekend Hoofdstuk,71,Ne hadde u vromicheit gedaen
Onbekend,Onbekend Hoofdstuk,72,Ghi sijt de coenste die ic noit sach
Onbekend,Onbekend Hoofdstuk,73,Nu segt mi oft wesen mach
Onbekend,Onbekend Hoofdstuk,74,Wanne ghi sijt ende hoe ghi heet
Onbekend,Onbekend Hoofdstuk,75,Dat dede flandrijs wel gereet
Onbekend,Onbekend Hoofdstuk,76,Ende seide joncfrouwe hets groete scade
Onbekend,Onbekend Hoofdstuk,77,Dat ghi geloeft vroech ende spade
Onbekend,Onbekend Hoofdstuk,78,Mamette ende apoline
Onbekend,Onbekend Hoofdstuk,79,Die bede duvele sijn anscine
Onbekend,Onbekend Hoofdstuk,80,Sine mogen helpen no verswaren
Onbekend,Onbekend Hoofdstuk,81,Laet dese ongelove varen
Onbekend,Onbekend Hoofdstuk,82,Ende aenbeet jhesum die u maecte
