author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Ende oec die knapen
Onbekend,Onbekend Hoofdstuk,2,Ende sette te poente haer wapen.
Onbekend,Onbekend Hoofdstuk,3,Doen was daer geen langer sparen:
Onbekend,Onbekend Hoofdstuk,4,"Men vergorde die orse twaren,"
Onbekend,Onbekend Hoofdstuk,5,Si saten weder op sciere
Onbekend,Onbekend Hoofdstuk,6,Ende [elc] ontwant sine baniere.
Onbekend,Onbekend Hoofdstuk,7,Si reden haren stap recht voert.
Onbekend,Onbekend Hoofdstuk,8,Cortelijc hebben si gehoert
Onbekend,Onbekend Hoofdstuk,9,Groet geluut ende groet riveel;
Onbekend,Onbekend Hoofdstuk,10,"""Dat sijn die liggen om den casteel"""
Onbekend,Onbekend Hoofdstuk,11,"Seide Ritsier, ""dat wetic wale."""
Onbekend,Onbekend Hoofdstuk,12,"""Blasen wi ons horne van metale"""
Onbekend,Onbekend Hoofdstuk,13,"Sprac die hertoge Hemelyoen,"
Onbekend,Onbekend Hoofdstuk,14,Dat ons ridder no garsoen
Onbekend,Onbekend Hoofdstuk,15,"Verwite, dat wi besloeplijc comen."""
Onbekend,Onbekend Hoofdstuk,16,"""Dese raet was wt goeder herten genomen"""
Onbekend,Onbekend Hoofdstuk,17,Seide Ritsier ende die coninc Flure.
Onbekend,Onbekend Hoofdstuk,18,Menegen horen blies men ter ure
Onbekend,Onbekend Hoofdstuk,19,"Beide van latoene ende van metale,"
Onbekend,Onbekend Hoofdstuk,20,Dat horden die Sarrasine wale.
Onbekend,Onbekend Hoofdstuk,21,Dit horde damirael Galien
Onbekend,Onbekend Hoofdstuk,22,Ende menech ander payen.
Onbekend,Onbekend Hoofdstuk,23,Hi battelierdem met dien:
Onbekend,Onbekend Hoofdstuk,24,"LXm. man haddi teere scaren,"
Onbekend,Onbekend Hoofdstuk,25,Hier met quam hi gevaren.
Onbekend,Onbekend Hoofdstuk,26,"Jostamont volgede met groten geere,"
Onbekend,Onbekend Hoofdstuk,27,Bi hem haddi al sijn heere.
Onbekend,Onbekend Hoofdstuk,28,"Die coninc Postamont quam gevaren,"
Onbekend,Onbekend Hoofdstuk,29,XXXm. man in siere scaren.
Onbekend,Onbekend Hoofdstuk,30,Die kerstine gemoeten die Sarrasinen
Onbekend,Onbekend Hoofdstuk,31,Daer ginct te sorgen ende te pinen.
Onbekend,Onbekend Hoofdstuk,32,Ritsier stac enen dore den buuc
Onbekend,Onbekend Hoofdstuk,33,Ende werpene doet ten zadele wt.
Onbekend,Onbekend Hoofdstuk,34,Hemelyoen van Bayviere
Onbekend,Onbekend Hoofdstuk,35,"Dede oec enen tumelen sciere,"
Onbekend,Onbekend Hoofdstuk,36,Dat heme therte brac
Onbekend,Onbekend Hoofdstuk,37,Ende nemmer meer woert en sprac.
Onbekend,Onbekend Hoofdstuk,38,"Lucari, die goede hermite,"
Onbekend,Onbekend Hoofdstuk,39,Werd oec van enen quite;
Onbekend,Onbekend Hoofdstuk,40,"Soe dede van Antsay die coninc goet,"
Onbekend,Onbekend Hoofdstuk,41,"Hi dede oec een herde scoen ontmoet,"
Onbekend,Onbekend Hoofdstuk,42,"Die iegen hem es comen,"
Onbekend,Onbekend Hoofdstuk,43,Datti hem dlijf heeft genomen.
Onbekend,Onbekend Hoofdstuk,44,"Die kerstine reden coenlijc in,"
Onbekend,Onbekend Hoofdstuk,45,Want si sagen een scoen begin.
Onbekend,Onbekend Hoofdstuk,46,[F]lovent heft den wijch vernomen;
Onbekend,Onbekend Hoofdstuk,47,"Die XII genote sijn ute comen,"
Onbekend,Onbekend Hoofdstuk,48,Wel gewapent ter cuere.
Onbekend,Onbekend Hoofdstuk,49,Haer orsse hebben si verdect ter ure.
Onbekend,Onbekend Hoofdstuk,50,Margalie die coninginne
Onbekend,Onbekend Hoofdstuk,51,Ontsloet die porte met bliden sinne.
Onbekend,Onbekend Hoofdstuk,52,Die heren reden daer buten
Onbekend,Onbekend Hoofdstuk,53,Ende daden die porte vaste sluten.
Onbekend,Onbekend Hoofdstuk,54,Margalie die damoyseele
Onbekend,Onbekend Hoofdstuk,55,"Keerde boven ten carteelen,"
Onbekend,Onbekend Hoofdstuk,56,"Sere bat si over haer lief Flovent,"
Onbekend,Onbekend Hoofdstuk,57,Datti keeren moeste ongescent
Onbekend,Onbekend Hoofdstuk,58,"Ende di kerstine, die met hem waren;"
Onbekend,Onbekend Hoofdstuk,59,Sere began hare therte swaren.
