author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,helme scilde daden si breke[n]
Onbekend,Onbekend Hoofdstuk,2,dor haren fieren ouermoet
Onbekend,Onbekend Hoofdstuk,3,Florent die redder goet
Onbekend,Onbekend Hoofdstuk,4,Slouch den paien vp thouet
Onbekend,Onbekend Hoofdstuk,5,dat hine toter cuffien clouet
Onbekend,Onbekend Hoofdstuk,6,helm ende beckineel
Onbekend,Onbekend Hoofdstuk,7,durant adde cranc riueel /
Onbekend,Onbekend Hoofdstuk,8,Als hi den swaren slach besouf
Onbekend,Onbekend Hoofdstuk,9,Starc te sine hem behouf
Onbekend,Onbekend Hoofdstuk,10,dat hi den ou[er]zwaren slach
Onbekend,Onbekend Hoofdstuk,11,Also wel verdragen mach
Onbekend,Onbekend Hoofdstuk,12,Vp florent slouchi weder
Onbekend,Onbekend Hoofdstuk,13,die zwerde gingen vp ende neder
Onbekend,Onbekend Hoofdstuk,14,Nu erstl[ic] [de]en ende nv dander
Onbekend,Onbekend Hoofdstuk,15,om hectoren no om alexander
Onbekend,Onbekend Hoofdstuk,16,Ne dorste daer niemene vragen
Onbekend,Onbekend Hoofdstuk,17,Vele wonden si andren gauen
Onbekend,Onbekend Hoofdstuk,18,die .ij. edele baroene
Onbekend,Onbekend Hoofdstuk,19,het was lange achter noene
Onbekend,Onbekend Hoofdstuk,20,Nochtan dat si te samen streden
Onbekend,Onbekend Hoofdstuk,21,bede waersi in onvreden
Onbekend,Onbekend Hoofdstuk,22,Men sach daer liggen inden zande
Onbekend,Onbekend Hoofdstuk,23,S[...............]
Onbekend,Onbekend Hoofdstuk,24,Canic genesen van minen wonden
Onbekend,Onbekend Hoofdstuk,25,het sal noch geuallen die stonden
Onbekend,Onbekend Hoofdstuk,26,dat het anders wesen sal
Onbekend,Onbekend Hoofdstuk,27,So moetic ebben goet geual
Onbekend,Onbekend Hoofdstuk,28,Andworde weder florent
Onbekend,Onbekend Hoofdstuk,29,Ic wilde v wel ware bekent
Onbekend,Onbekend Hoofdstuk,30,onse wet van kerstinede
Onbekend,Onbekend Hoofdstuk,31,durant sprac ende sede
Onbekend,Onbekend Hoofdstuk,32,het sal wesen als [het] [ma]ch
Onbekend,Onbekend Hoofdstuk,33,Also helpe mi die goede dach
Onbekend,Onbekend Hoofdstuk,34,Metten worde sijn si geuaren
Onbekend,Onbekend Hoofdstuk,35,daer die soudaen mit sinen scaren
Onbekend,Onbekend Hoofdstuk,36,Hilt entie vrouwe mede
Onbekend,Onbekend Hoofdstuk,37,die soudaen sprac ende sede
Onbekend,Onbekend Hoofdstuk,38,Hoe salt varen tusscen v beden
