author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Hort vander vrouwen mine
Onbekend,Onbekend Hoofdstuk,2,Een reyne edele omoedicheit
Onbekend,Onbekend Hoofdstuk,3,Eerdat van mi ghezeit
Onbekend,Onbekend Hoofdstuk,4,Sone wert sprac Florentine
Onbekend,Onbekend Hoofdstuk,5,Moetic zien de scouderen dine
Onbekend,Onbekend Hoofdstuk,6,Stat tusscen 1 cruus van goude
Onbekend,Onbekend Hoofdstuk,7,Over kint dat ic di houde
Onbekend,Onbekend Hoofdstuk,8,Du clagest so zere die arbeden
Onbekend,Onbekend Hoofdstuk,9,Die du over mi hebst leden
Onbekend,Onbekend Hoofdstuk,10,Dat icker hebbe twivel an
Onbekend,Onbekend Hoofdstuk,11,Bescaemt wert die jonge man
Onbekend,Onbekend Hoofdstuk,12,Up sine voete dat hi spranc
Onbekend,Onbekend Hoofdstuk,13,Deus hoe sine wapine clanc
Onbekend,Onbekend Hoofdstuk,14,Van den ghesteente diere
Onbekend,Onbekend Hoofdstuk,15,[...............]
Onbekend,Onbekend Hoofdstuk,51,Ende die scone maget hahaut
Onbekend,Onbekend Hoofdstuk,17,An die coninginne scoot
Onbekend,Onbekend Hoofdstuk,18,Diese vanden bloede root
Onbekend,Onbekend Hoofdstuk,19,Vaechde met haren ghere
Onbekend,Onbekend Hoofdstuk,55,Om die minne vanden here
Onbekend,Onbekend Hoofdstuk,21,[Yzaude] diere oec scoot toe
Onbekend,Onbekend Hoofdstuk,22,Ende menich ander soe
Onbekend,Onbekend Hoofdstuk,23,Die bo[gen] herde zaen
Onbekend,Onbekend Hoofdstuk,24,Wenende es soe gestaen
Onbekend,Onbekend Hoofdstuk,60,Up van groter blijtheden
Onbekend,Onbekend Hoofdstuk,26,Lieve kint al hebdi leden
Onbekend,Onbekend Hoofdstuk,27,Vele dor mi sprac de vrouwe
Onbekend,Onbekend Hoofdstuk,28,Wils doch hebben genen rouwe
Onbekend,Onbekend Hoofdstuk,64,Mids dat ic dijn moeder si
