author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,1601  Dies wilt ons dor dat drouue sceiden
Onbekend,Onbekend Hoofdstuk,2,Vrouwe nemen in uwer gheleiden
Onbekend,Onbekend Hoofdstuk,3,Dus lach die blode drouue versaechde
Onbekend,Onbekend Hoofdstuk,4,Jn den berch ende claechde
Onbekend,Onbekend Hoofdstuk,1605,Gode ende onser vrouwen
Onbekend,Onbekend Hoofdstuk,6,Met heeten tranen zere bescrouwen
Onbekend,Onbekend Hoofdstuk,7,Om haren man om haren vader
Onbekend,Onbekend Hoofdstuk,8,Ende om haer kinder beidegader
Onbekend,Onbekend Hoofdstuk,9,Ende om haer vriende mede
Onbekend,Onbekend Hoofdstuk,1610,Mennich orisoen soe dede
Onbekend,Onbekend Hoofdstuk,11,Die ic niet bescriuen can
Onbekend,Onbekend Hoofdstuk,1612,Vp autefluere den vromen man
Onbekend,Onbekend Hoofdstuk,13,[...............]
Onbekend,Onbekend Hoofdstuk,1645,Vanden .ij die de maget
Onbekend,Onbekend Hoofdstuk,15,Met hem roueden zere verbaget
Onbekend,Onbekend Hoofdstuk,16,Tote onder een maras
Onbekend,Onbekend Hoofdstuk,17,Dat zere dorwassen was
Onbekend,Onbekend Hoofdstuk,18,Met langen ende met grouuen riede
Onbekend,Onbekend Hoofdstuk,1650,Daer beeten die valsche liede
Onbekend,Onbekend Hoofdstuk,20,Die .J nam dat magediin
Onbekend,Onbekend Hoofdstuk,21,Ende hieft vande perde siin
Onbekend,Onbekend Hoofdstuk,22,Ende zettet vp die erde
Onbekend,Onbekend Hoofdstuk,23,Als die ghene die begerde
Onbekend,Onbekend Hoofdstuk,1655,Sinen wille daer mede te doene
Onbekend,Onbekend Hoofdstuk,25,Want beide die saragoene
Onbekend,Onbekend Hoofdstuk,26,Haddent sonderlinge ghezeit
Onbekend,Onbekend Hoofdstuk,27,Maer elc wilde so men seit
Onbekend,Onbekend Hoofdstuk,28,Dat siin ghezeke deerste ware
Onbekend,Onbekend Hoofdstuk,1660,Want si an die joncfrouwe dare
Onbekend,Onbekend Hoofdstuk,30,Vernamen datsoe maget was
Onbekend,Onbekend Hoofdstuk,1662,Nv pleecht [me ........ das]
Onbekend,Onbekend Hoofdstuk,32,[...............]
Onbekend,Onbekend Hoofdstuk,1694,[Datic be]houde tleuen miin
Onbekend,Onbekend Hoofdstuk,1695,Ende mine zuuerhede
Onbekend,Onbekend Hoofdstuk,35,Dor gode ende dor siin moeder mede
Onbekend,Onbekend Hoofdstuk,36,Ende [alst die naen vernomen had]
Onbekend,Onbekend Hoofdstuk,37,Vanden perde daer hi vp zat
Onbekend,Onbekend Hoofdstuk,38,So es hi ghesprongen daer
Onbekend,Onbekend Hoofdstuk,1700,Jn der hant haddi tswert al baer
Onbekend,Onbekend Hoofdstuk,40,Dat welke noch al was bebloet
Onbekend,Onbekend Hoofdstuk,41,Die naen hadde hoge moet
Onbekend,Onbekend Hoofdstuk,42,Jn die doget dat men
Onbekend,Onbekend Hoofdstuk,43,Maer in ghene quaedhede
Onbekend,Onbekend Hoofdstuk,44,Hine was houerdich nochte fel
Onbekend,Onbekend Hoofdstuk,45,Als ander nane ende rebel
Onbekend,Onbekend Hoofdstuk,46,Die gracie haddi van onzen here
Onbekend,Onbekend Hoofdstuk,47,Dat hi die quaedheit haette zere
Onbekend,Onbekend Hoofdstuk,48,FEllijc riep hi doe puppiin
Onbekend,Onbekend Hoofdstuk,1710,Wel vp dieue sarazijn
