author,chapter,line,text
Diederic van Assenede,Onbekend Hoofdstuk,1,"Nu hoert na mi, ic sal beghinnen"
Diederic van Assenede,Onbekend Hoofdstuk,2,"Ene aventure tellen van minnen,"
Diederic van Assenede,Onbekend Hoofdstuk,3,Die den dorperen no den doren
Diederic van Assenede,Onbekend Hoofdstuk,4,"Niet bestaet, dat sise horen."
Diederic van Assenede,Onbekend Hoofdstuk,5,5  Maer die redene merken connen
Diederic van Assenede,Onbekend Hoofdstuk,6,Ende van minnen hebben ghewonnen
Diederic van Assenede,Onbekend Hoofdstuk,7,"Beide bliscap ende rouwe,"
Diederic van Assenede,Onbekend Hoofdstuk,8,"Sijt clerc, zijt leec, zijt hoefsche vrouwe,"
Diederic van Assenede,Onbekend Hoofdstuk,9,Dien annics datter wese bi
Diederic van Assenede,Onbekend Hoofdstuk,10,10  Daer dese aventure vertellet si.
Diederic van Assenede,Onbekend Hoofdstuk,11,Oec en willics niet verbieden
Diederic van Assenede,Onbekend Hoofdstuk,12,"Te hoerne allen hoefschen lieden,"
Diederic van Assenede,Onbekend Hoofdstuk,13,Die evel ende ghoet bekinnen.
Diederic van Assenede,Onbekend Hoofdstuk,14,"Hets al van ener ghestadegher minnen,"
Diederic van Assenede,Onbekend Hoofdstuk,15,15  Beide van bliscapen ende van rouwen.
Diederic van Assenede,Onbekend Hoofdstuk,16,"Nu merct, ghi heren ende ghi vrouwen,"
Diederic van Assenede,Onbekend Hoofdstuk,17,"Dies heeft die minne vremden zede,"
Diederic van Assenede,Onbekend Hoofdstuk,18,Dat haer die rouwe volghet mede.
Diederic van Assenede,Onbekend Hoofdstuk,19,Men moet corten ende linghen
Diederic van Assenede,Onbekend Hoofdstuk,20,"20  Die tale, sal mense te rime bringhen,"
Diederic van Assenede,Onbekend Hoofdstuk,21,Ende te redenen die aventure.
Diederic van Assenede,Onbekend Hoofdstuk,22,Hets worden herde te sure
Diederic van Assenede,Onbekend Hoofdstuk,23,Van Assenede Diederike.
Diederic van Assenede,Onbekend Hoofdstuk,24,"Dien seldijs danken ghemeenlike,"
Diederic van Assenede,Onbekend Hoofdstuk,25,25  Dat hijt uten Walsche heeft ghedicht
Diederic van Assenede,Onbekend Hoofdstuk,26,Ende verstandelike in Dietsche bericht
Diederic van Assenede,Onbekend Hoofdstuk,27,"Den ghenen, diet Walsche niet en connen."
Diederic van Assenede,Onbekend Hoofdstuk,28,"Tierst heeft hi dus beghonnen,"
Diederic van Assenede,Onbekend Hoofdstuk,29,"Ende segt, hoe ghedane wijs"
Diederic van Assenede,Onbekend Hoofdstuk,30,"30  Blancefloer ende Florijs,"
Diederic van Assenede,Onbekend Hoofdstuk,31,"Twee scone kinder, worden gheboren,"
Diederic van Assenede,Onbekend Hoofdstuk,32,Die in haren live meneghen toren
Diederic van Assenede,Onbekend Hoofdstuk,33,Hadden van minnen ende rouwen vele
Diederic van Assenede,Onbekend Hoofdstuk,34,Ende dicke bliscap met groten spele.
Diederic van Assenede,Onbekend Hoofdstuk,35,"35  Soe wie so rechter minnen pleghet,"
Diederic van Assenede,Onbekend Hoofdstuk,36,Ende si hem ghestadelike leghet
Diederic van Assenede,Onbekend Hoofdstuk,37,"Vaste in siere herten binnen,"
Diederic van Assenede,Onbekend Hoofdstuk,38,Dicke ghevalt dat hem van minnen
Diederic van Assenede,Onbekend Hoofdstuk,39,"Gheschiet gheval na onghevalle,"
