author,chapter,line,text
Onbekend,XVI DIT ES DE FRENESIE,1,Het dich[t] al dat lepel lect:
Onbekend,XVI DIT ES DE FRENESIE,2,"waendi dat ic bem vergect,"
Onbekend,XVI DIT ES DE FRENESIE,3,"dat ic oec niet dichte ende make,"
Onbekend,XVI DIT ES DE FRENESIE,4,des nacht als ic niet en vake?
Onbekend,XVI DIT ES DE FRENESIE,5,"menichgen, als hi slaept,"
Onbekend,XVI DIT ES DE FRENESIE,6,sijn ers herde wide gaept
Onbekend,XVI DIT ES DE FRENESIE,7,ende blaest als ene bosine.
Onbekend,XVI DIT ES DE FRENESIE,8,Ay ute vercorne fine!
Onbekend,XVI DIT ES DE FRENESIE,9,"des es leden menichgen dach,"
Onbekend,XVI DIT ES DE FRENESIE,10,"dat mi v minne int herte lach,"
Onbekend,XVI DIT ES DE FRENESIE,11,ende gine wilt mijns niet ontfarmen.
Onbekend,XVI DIT ES DE FRENESIE,12,Dicken hebbedi doen verwarmen
Onbekend,XVI DIT ES DE FRENESIE,13,mijn herte ende gemaect cout;
Onbekend,XVI DIT ES DE FRENESIE,14,om v bem ic worden out
Onbekend,XVI DIT ES DE FRENESIE,15,"ende graeu als ene catte,"
Onbekend,XVI DIT ES DE FRENESIE,16,ende gine achtes dit no datte.
Onbekend,XVI DIT ES DE FRENESIE,17,"ocht v minne mi steruen daede,"
Onbekend,XVI DIT ES DE FRENESIE,18,wie soude mi betren die scaede?
Onbekend,XVI DIT ES DE FRENESIE,19,"Lachtijs, maecti v sceren,"
Onbekend,XVI DIT ES DE FRENESIE,20,"So willics mi af keren,"
Onbekend,XVI DIT ES DE FRENESIE,21,want hine dult algader niet
Onbekend,XVI DIT ES DE FRENESIE,22,die te haluen wege weder tiet;
Onbekend,XVI DIT ES DE FRENESIE,23,anders waric in dole.
Onbekend,XVI DIT ES DE FRENESIE,24,Nv liggic te parijs ter scole
Onbekend,XVI DIT ES DE FRENESIE,25,ende bem daer een studant.
Onbekend,XVI DIT ES DE FRENESIE,26,"Selden coemt mi boec in die hant,"
Onbekend,XVI DIT ES DE FRENESIE,27,maer ic lere ontginnen pasteiden;
Onbekend,XVI DIT ES DE FRENESIE,28,"bem ic dan ter quader weiden,"
Onbekend,XVI DIT ES DE FRENESIE,29,es een quaet dorp dan parijs?
Onbekend,XVI DIT ES DE FRENESIE,30,"ic wedde sinc contre sijs,"
Onbekend,XVI DIT ES DE FRENESIE,31,nochtan eysch ic toe twee aes:
Onbekend,XVI DIT ES DE FRENESIE,32,"die seide dat ic ware .i. dwaes,"
Onbekend,XVI DIT ES DE FRENESIE,33,hine ware mi niet willecome.
Onbekend,XVI DIT ES DE FRENESIE,34,"Alsic dan weder thus come,"
Onbekend,XVI DIT ES DE FRENESIE,35,so bem ic meester vander arten
Onbekend,XVI DIT ES DE FRENESIE,36,ende wille eten vleesch ende tarten
Onbekend,XVI DIT ES DE FRENESIE,37,ende hebbe gewonden den croec.
Onbekend,XVI DIT ES DE FRENESIE,38,"Ic soude node stoeten een loec,"
Onbekend,XVI DIT ES DE FRENESIE,39,maer ic songe wel een montet.
Onbekend,XVI DIT ES DE FRENESIE,40,Int leste hebbic an een net
Onbekend,XVI DIT ES DE FRENESIE,41,ende bem een everardijn.
Onbekend,XVI DIT ES DE FRENESIE,42,"Ic dronke gerne goeden wijn,"
Onbekend,XVI DIT ES DE FRENESIE,43,"maer ic en weet waermet copen,"
Onbekend,XVI DIT ES DE FRENESIE,44,dus moet ic achter lande lopen
Onbekend,XVI DIT ES DE FRENESIE,45,"te minen moyen, te minen maegen,"
Onbekend,XVI DIT ES DE FRENESIE,46,die mijn ongheual luttel claegen.
Onbekend,XVI DIT ES DE FRENESIE,47,so hebbic die prouende met ghewelde
Onbekend,XVI DIT ES DE FRENESIE,48,tusscen couden berge ende biestervelde;
Onbekend,XVI DIT ES DE FRENESIE,49,so coemt een ander ende wilse mi nemen:
Onbekend,XVI DIT ES DE FRENESIE,50,"gaet ten biscop van bremen,"
Onbekend,XVI DIT ES DE FRENESIE,51,hi sal v te rechte houden.
Onbekend,XVI DIT ES DE FRENESIE,52,Soe leecht ment in de vouden
Onbekend,XVI DIT ES DE FRENESIE,53,dat ic en behoude niet.
Onbekend,XVI DIT ES DE FRENESIE,54,Dus es den menichgen gesciet
Onbekend,XVI DIT ES DE FRENESIE,55,"die sonder recht tsine verloes,"
Onbekend,XVI DIT ES DE FRENESIE,56,want dat paepscap es al loes.
Onbekend,XVI DIT ES DE FRENESIE,57,Ende constu spreken geen latijn?
Onbekend,XVI DIT ES DE FRENESIE,58,"Ay here, een florijn"
Onbekend,XVI DIT ES DE FRENESIE,59,"es daer beter, geloeft mi des,"
Onbekend,XVI DIT ES DE FRENESIE,60,dan een sac vol latijns es;
Onbekend,XVI DIT ES DE FRENESIE,61,dit coemt al bi symonien.
Onbekend,XVI DIT ES DE FRENESIE,62,Nv willic scone vrouwen vrien
Onbekend,XVI DIT ES DE FRENESIE,63,ende moet gelt costen mede
Onbekend,XVI DIT ES DE FRENESIE,64,al [...]
Onbekend,XVI DIT ES DE FRENESIE,65,mi bliv[...]
Onbekend,XVI DIT ES DE FRENESIE,66,die duuel soude mi bet hebben
Onbekend,XVI DIT ES DE FRENESIE,67,want ic bem al sonder goet
Onbekend,XVI DIT ES DE FRENESIE,68,ende ligge onder voet
Onbekend,XVI DIT ES DE FRENESIE,69,Ki bien fra bien ara.
Onbekend,XVI DIT ES DE FRENESIE,70,Waendi dat ic niet en versta?
Onbekend,XVI DIT ES DE FRENESIE,71,Hets walsch dat gi spreect.
Onbekend,XVI DIT ES DE FRENESIE,72,"Gi hebt mi vten slape gewect,"
Onbekend,XVI DIT ES DE FRENESIE,73,wel leede moete v gescien!
