author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,[...] al sijn lijf
Onbekend,Onbekend Hoofdstuk,2,"[...] beest, man ende wijf,"
Onbekend,Onbekend Hoofdstuk,3,[...] bi wandelt ende keert
Onbekend,Onbekend Hoofdstuk,4,"[D]ie tijt, als ons een meester leert."
Onbekend,Onbekend Hoofdstuk,5,[E]lc teeken hevet sinen name
Onbekend,Onbekend Hoofdstuk,6,[N]a dieren ende wei bequame.
Onbekend,Onbekend Hoofdstuk,7,"[H]ort die namen van hem allen,"
Onbekend,Onbekend Hoofdstuk,8,[H]oe properlike dat si vallen.
Onbekend,Onbekend Hoofdstuk,9,"Dat ierste heet na een scaep,"
Onbekend,Onbekend Hoofdstuk,10,Ram oft weder; elc paep
Onbekend,Onbekend Hoofdstuk,11,In Latine pleghet te heten
Onbekend,Onbekend Hoofdstuk,12,"Aries; vort seldi weten,"
Onbekend,Onbekend Hoofdstuk,13,Dat al die tijt nature ontfaet
Onbekend,Onbekend Hoofdstuk,14,"Des tekens, daer die sonne in gaet:"
Onbekend,Onbekend Hoofdstuk,15,"Niet int teken, maer daer onder"
Onbekend,Onbekend Hoofdstuk,16,"So gaet die sonne; dan es geen wonder,"
Onbekend,Onbekend Hoofdstuk,17,"Want elc teken es, dat wet,"
Onbekend,Onbekend Hoofdstuk,18,Hogher dan die sonne gheset.
Onbekend,Onbekend Hoofdstuk,19,Die sonne sal in dit teken wesen
Onbekend,Onbekend Hoofdstuk,20,"Te half Merte, heb ic gelesen."
Onbekend,Onbekend Hoofdstuk,21,Voort heeft die ram der cracht meere
Onbekend,Onbekend Hoofdstuk,22,"Van after, na der meester leere:"
Onbekend,Onbekend Hoofdstuk,23,"Dits in der sonnen te verstane,"
Onbekend,Onbekend Hoofdstuk,24,Want haer dan die macht gaet ane.
Onbekend,Onbekend Hoofdstuk,25,"Si was des langhen winters mat,"
Onbekend,Onbekend Hoofdstuk,26,Ende heeft luttel machts gehat.
Onbekend,Onbekend Hoofdstuk,27,"Die lenten, na den kalengiere,"
Onbekend,Onbekend Hoofdstuk,28,Ende dat jaer beghinnen hiere;
Onbekend,Onbekend Hoofdstuk,29,Dan es gelijc die dach ente nacht:
Onbekend,Onbekend Hoofdstuk,30,"Die werelt wert dan ghewracht,"
Onbekend,Onbekend Hoofdstuk,31,Nacht ende dach hebben dan
Onbekend,Onbekend Hoofdstuk,32,Ghelijc twaelf uren an.
Onbekend,Onbekend Hoofdstuk,33,Dat ander teken es genoemt
Onbekend,Onbekend Hoofdstuk,34,Taurus; wetti hoe dat comt?
Onbekend,Onbekend Hoofdstuk,35,"Hi heet in dietsche een stier,"
Onbekend,Onbekend Hoofdstuk,36,Ende es van tween sterken dier.
Onbekend,Onbekend Hoofdstuk,37,Dan wert die sonne crachtich meere
