author,chapter,line,text
Willem van Hildegaersberch,I.  Van den testament.,1,Goed ghedacht ende wel versinnen
Willem van Hildegaersberch,I.  Van den testament.,2,Doet dat middel ende dat beginnen
Willem van Hildegaersberch,I.  Van den testament.,3,Metten einde concorderen.
Willem van Hildegaersberch,I.  Van den testament.,4,Dese eertsche hoecheit voel te begeren
Willem van Hildegaersberch,I.  Van den testament.,5,Dat is ter werelt gemein plage.
Willem van Hildegaersberch,I.  Van den testament.,6,Die sijn einde wel voersage
Willem van Hildegaersberch,I.  Van den testament.,7,Hi soude hem hoeden nacht ende dach
Willem van Hildegaersberch,I.  Van den testament.,8,"Voele te slaen op sijn gelaech,"
Willem van Hildegaersberch,I.  Van den testament.,9,Hi en wist een slot van rekeninge.
Willem van Hildegaersberch,I.  Van den testament.,10,"Dese idel glori, dese aertsche dingen"
Willem van Hildegaersberch,I.  Van den testament.,11,Is al een wanckel toeverlaet;
Willem van Hildegaersberch,I.  Van den testament.,12,Wanttet niet te coep en staet
Willem van Hildegaersberch,I.  Van den testament.,13,Hoe lange dit eigedom sal dueren.
Willem van Hildegaersberch,I.  Van den testament.,14,"In geleenden hoven is quaet mueren,"
Willem van Hildegaersberch,I.  Van den testament.,15,Diemen wederseggen mach.
Willem van Hildegaersberch,I.  Van den testament.,16,Corter dan een oge opslach
Willem van Hildegaersberch,I.  Van den testament.,17,Wort dit eigedom van deertsche goet
Willem van Hildegaersberch,I.  Van den testament.,18,Geset in ander lude behoet.
Willem van Hildegaersberch,I.  Van den testament.,19,"Diet bruken waende op sijn behagen,"
Willem van Hildegaersberch,I.  Van den testament.,20,Die wort daer haestelijc uut gedragen
Willem van Hildegaersberch,I.  Van den testament.,21,In een linen cleet beslegen.
Willem van Hildegaersberch,I.  Van den testament.,22,Die dan meten ende wegen
Willem van Hildegaersberch,I.  Van den testament.,23,"Ander maet dan si begeren,"
Willem van Hildegaersberch,I.  Van den testament.,24,Die slaen hem selven seer te sceren;
Willem van Hildegaersberch,I.  Van den testament.,25,"Want hoe si rijckeit meer verwerven,"
Willem van Hildegaersberch,I.  Van den testament.,26,Hoemen liever neemt hoer sterven.
Willem van Hildegaersberch,I.  Van den testament.,27,"Doch en wil ic nyemont raden,"
Willem van Hildegaersberch,I.  Van den testament.,28,"Datmen rijcheit sal versmaden,"
Willem van Hildegaersberch,I.  Van den testament.,29,Diemen bruken mach mit recht:
Willem van Hildegaersberch,I.  Van den testament.,30,"Men vynt menich arm knecht,"
Willem van Hildegaersberch,I.  Van den testament.,31,Die aenden riken hem geneert.
Willem van Hildegaersberch,I.  Van den testament.,32,"Waer die rijcheit al verteert,"
Willem van Hildegaersberch,I.  Van den testament.,33,Soe en docht die werelt min no meer.
Willem van Hildegaersberch,I.  Van den testament.,34,"Caritaet, doecht ende eer"
Willem van Hildegaersberch,I.  Van den testament.,35,Die mach die rijcheit staende houden.
Willem van Hildegaersberch,I.  Van den testament.,36,"Al wort die rike vrec gescouden,"
Willem van Hildegaersberch,I.  Van den testament.,37,Dat en is God niet bequaem
Willem van Hildegaersberch,I.  Van den testament.,38,Noch der rechter eren naem;
Willem van Hildegaersberch,I.  Van den testament.,39,Want God die mint salich leven
Willem van Hildegaersberch,I.  Van den testament.,40,Ende heeft selver oerlof gegeven
Willem van Hildegaersberch,I.  Van den testament.,41,"Rijc te wesen alden sinen,"
Willem van Hildegaersberch,I.  Van den testament.,42,Die daer gerechtelijc om pinen;
Willem van Hildegaersberch,I.  Van den testament.,43,Mer die daer andersins toe gaen
Willem van Hildegaersberch,I.  Van den testament.,44,"Ende willen plucken ende vaen,"
Willem van Hildegaersberch,I.  Van den testament.,45,"Sulc mit list, sulc mit macht,"
Willem van Hildegaersberch,I.  Van den testament.,46,"Sulc mit wil, sulc mit cracht,"
Willem van Hildegaersberch,I.  Van den testament.,47,"Ende elkerlijc doet sijn best,"
Willem van Hildegaersberch,I.  Van den testament.,48,"Recht als die vogel draecht ten nest,"
Willem van Hildegaersberch,I.  Van den testament.,49,"Om voele te plucken, om voel te rapen,"
Willem van Hildegaersberch,I.  Van den testament.,50,"Die mogen wel onsachte slapen,"
Willem van Hildegaersberch,I.  Van den testament.,51,"Wisten si tloen dat hem sal boeren,"
Willem van Hildegaersberch,I.  Van den testament.,52,Als die doot tot allen doren
Willem van Hildegaersberch,I.  Van den testament.,53,Comen is om dlijf te panden.
Willem van Hildegaersberch,I.  Van den testament.,54,Die viant gaept mit wreden tanden
Willem van Hildegaersberch,I.  Van den testament.,55,Na der sielen wat hi can.
Willem van Hildegaersberch,I.  Van den testament.,56,Hoet mit hem is gescepen dan
Willem van Hildegaersberch,I.  Van den testament.,57,"Dat weet die Here, diet al is cont!"
Willem van Hildegaersberch,I.  Van den testament.,58,Hadden si dan soe lange stont
Willem van Hildegaersberch,I.  Van den testament.,59,"Vorst, dat si hem wael bereiden,"
Willem van Hildegaersberch,I.  Van den testament.,60,"Eer si van der werelt sceiden,"
Willem van Hildegaersberch,I.  Van den testament.,61,"Si en namen daer voer niet al dat goet,"
Willem van Hildegaersberch,I.  Van den testament.,62,Dat die van Romen ye bestoet.
Willem van Hildegaersberch,I.  Van den testament.,63,"Mer selden soe eest vernomen,"
Willem van Hildegaersberch,I.  Van den testament.,64,"Diet al opt leste lieten comen,"
Willem van Hildegaersberch,I.  Van den testament.,65,"Dat si maecten goet verstant,"
Willem van Hildegaersberch,I.  Van den testament.,66,Of wederkeerden mitter hant
Willem van Hildegaersberch,I.  Van den testament.,67,Datter qualic was gewonnen:
Willem van Hildegaersberch,I.  Van den testament.,68,Tis dan alte spade begonnen.
Willem van Hildegaersberch,I.  Van den testament.,69,"Die lude sijn herwaert ende gins ghedwaelt,"
Willem van Hildegaersberch,I.  Van den testament.,70,Diet gelaech dicke hebben betaelt:
Willem van Hildegaersberch,I.  Van den testament.,71,Men cander niet gevynden al.
Willem van Hildegaersberch,I.  Van den testament.,72,Oec hoertmen node groet gescal
Willem van Hildegaersberch,I.  Van den testament.,73,Daer die rike liggen cranc:
Willem van Hildegaersberch,I.  Van den testament.,74,"Tis buten armer lude ganc,"
Willem van Hildegaersberch,I.  Van den testament.,75,Men laet daer nyemont comen bi
