author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,"Doe so sprac Aymeriin,"
Onbekend,Onbekend Hoofdstuk,2,"Arnouts sone van Beaulant,"
Onbekend,Onbekend Hoofdstuk,3,(Die sident was wider becant
Onbekend,Onbekend Hoofdstuk,4,Dan enech man in kerstinede
Onbekend,Onbekend Hoofdstuk,5,"No in erderike mede,"
Onbekend,Onbekend Hoofdstuk,6,En hadde Karel ghesiin)
Onbekend,Onbekend Hoofdstuk,7,"Nu hort, wat seide Aymeriin"
Onbekend,Onbekend Hoofdstuk,8,Tote sinen oem Gheraert:
Onbekend,Onbekend Hoofdstuk,9,"""Hier nu menech sere vervaert,"
Onbekend,Onbekend Hoofdstuk,10,"Qualike ghedinct ons das,"
Onbekend,Onbekend Hoofdstuk,11,Dat onse gheslachte oint was
Onbekend,Onbekend Hoofdstuk,12,"Seere gheducht ende ontsien,"
Onbekend,Onbekend Hoofdstuk,13,Mi dinke hier sonde menech vlien
Onbekend,Onbekend Hoofdstuk,14,"Gherne, wisti waerwaert."
Onbekend,Onbekend Hoofdstuk,15,"Bi mire wet, lieve oem Gheraert"
Onbekend,Onbekend Hoofdstuk,16,"Ic segghe, wat mi dinket goet"
Onbekend,Onbekend Hoofdstuk,17,"Ende wat ic rade, dat men doet:"
Onbekend,Onbekend Hoofdstuk,18,"Dat wi alle sterven,"
Onbekend,Onbekend Hoofdstuk,19,"Eer wi ons laten ontherven,"
Onbekend,Onbekend Hoofdstuk,20,"No oec den coninc comen te ghenaden,"
Onbekend,Onbekend Hoofdstuk,21,Up aventure of hiit dade.
Onbekend,Onbekend Hoofdstuk,22,Wine moghen niet verdinghen
Onbekend,Onbekend Hoofdstuk,23,"In ghere wiis no daertoe bringhen,"
Onbekend,Onbekend Hoofdstuk,24,"Dat wiis bliven in die ere,"
Onbekend,Onbekend Hoofdstuk,25,Hen si dat hem elc kere
Onbekend,Onbekend Hoofdstuk,26,"Ter were ende bliver doet,"
Onbekend,Onbekend Hoofdstuk,27,Of wreken onsen wederstoet.
Onbekend,Onbekend Hoofdstuk,28,Het gaet met ons al uten spele.
Onbekend,Onbekend Hoofdstuk,29,Wine ebben spisen binnen niet vele.
Onbekend,Onbekend Hoofdstuk,30,"Die wile dat wi ebben onse macht,"
Onbekend,Onbekend Hoofdstuk,31,Eer ons die hongher neemt de cracht
Onbekend,Onbekend Hoofdstuk,32,"Ende ons hier binnen verqueelt,"
Onbekend,Onbekend Hoofdstuk,33,"Ic rade wel, dat elc speelt:"
Onbekend,Onbekend Hoofdstuk,34,Al ghewonnen of verloren!
Onbekend,Onbekend Hoofdstuk,35,"Jane weten wi wel te voren,"
Onbekend,Onbekend Hoofdstuk,36,Wi moeten alle sterven
Onbekend,Onbekend Hoofdstuk,37,"Ende ons lives derven,"
Onbekend,Onbekend Hoofdstuk,38,"Alst God ghebiet, onse heere!"
Onbekend,Onbekend Hoofdstuk,39,Niemen vervarem te sere
Onbekend,Onbekend Hoofdstuk,40,"Dor hare ghesciet, dor hare cracht."
Onbekend,Onbekend Hoofdstuk,41,"Jane heeft God die meeste macht,"
Onbekend,Onbekend Hoofdstuk,42,Die ons wel mach beraden
Onbekend,Onbekend Hoofdstuk,43,Dor sine doecht ende staen in staden?
Onbekend,Onbekend Hoofdstuk,44,Trecht es onse ende tonrecht hare;
Onbekend,Onbekend Hoofdstuk,45,Ic was ghetrocken biden hare
Onbekend,Onbekend Hoofdstuk,46,"Jammerlike ende sere teblouwen,"
Onbekend,Onbekend Hoofdstuk,47,Dies clagic Gode ende onser vrouwen
Onbekend,Onbekend Hoofdstuk,48,"Ende u, oem, ende minen maghen,"
Onbekend,Onbekend Hoofdstuk,49,Die ghene die mi achter draghen
Onbekend,Onbekend Hoofdstuk,50,Ende mi niet helpen wreken
Onbekend,Onbekend Hoofdstuk,51,"Die grote slaghe, die sware steken,"
Onbekend,Onbekend Hoofdstuk,52,Die ic in sconinx hof ontfinc
Onbekend,Onbekend Hoofdstuk,53,Van harde meneghen jonghelinc;
Onbekend,Onbekend Hoofdstuk,54,God ghevem lachter ende toren!
Onbekend,Onbekend Hoofdstuk,55,"Ic hadde naliic miin liif verloren,"
Onbekend,Onbekend Hoofdstuk,56,"Maer doch eist so comen,"
Onbekend,Onbekend Hoofdstuk,57,Die coninc heeft schade ghenomen
