author,chapter,line,text
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",1,"Ic bidde gode den oversten vader,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",2,Dat hi ons moet bewaren alle gader.
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",3,"Heren ende vrouwen, groet ende clene,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",4,"Ic bidde u allen int ghemene,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",5,Dat ghi wilt maken een ghestille
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",6,Ende merct daer na diet merken wille.
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",7,Men sal u hier spelen een suverlijc dinc
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",8,"Van enen hoghen jonghelinc,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",9,Die hertoghe was van Bruuyswijc.
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",10,Hem dochte dat niemen sijns ghelijc
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",11,"Op eertrike niet vinden en mochte,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",12,Ende sprac uut overmoedege gedochte
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",13,"Roemeghe worden ende ombekint,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",14,Daer dicke die menege es bi gescint.
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",15,"Want wie dat hem te hoghe beroemt,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",16,"Als dan die saken anders comt,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",17,Soe wort hi bi den roeme ghescant.
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",18,Alsoe gevielt desen hoghen wigant;
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",19,"Al was hi rike ende hoge geboren,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",20,Uut groten roem soe quam hem toren.
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",21,"Om dat hi sprac roemeghe wort,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",22,"Wert vrouwe Venus op hem ghestoert,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",23,"Soe dat sijt namaels op hem wrac,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",24,"Die roemeghe worde, die hi sprac,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",25,Alsoe ghi nu hier selt bescouwen.
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",26,"Daer omme radic heren ende vrouwen,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",27,"Dat hem nieman te hoghe en sal beroemen,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",28,Want daer es selden ere af comen.
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",29,Te hoghen roem en wert nie ghepresen.
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",30,"Nu bidden wi gode, die wert gheslegen"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",31,"Ane een cruce om onsen sonden,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",32,Dat wi alle salich werden vonden
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",33,"Te Josepat in dat soete dal,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",34,Daer God sijn oerdeel besitten sal.
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",35,Dies biddic Maria der coninghinnen.
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",36,"Nu hoert ende swijcht, wi gaen beghinnen."
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",37,"Waer sidi, lieve vrient Godevaert?"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",38,"Ic ben hier, her Gheraert;"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",39,"Nu segt mi, wats die raet?"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",40,"Godevaert, het en dochte mi niet quaet,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",41,"Dat ons hertoghe, die hoghe baroen,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",42,Enen huwelijc woude doen
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",43,Ende dat hi nemen woude een wijf.
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",44,Hi heeft soe scone vromen lijf
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",45,Ende es een stout jonc man van daghen:
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",46,"Hadde hi een wijf, si mochte draghen"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",47,"Kindren, dat ware des lants profijt."
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",48,"Hets een lantscap groet ende wijt,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",49,"Het ware scade, bleeft sonder gheboert."
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",50,"Daer omme hebbic u gheroepen voert,"
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",51,Dat ghi ons daer toe sout gheraden.
Onbekend,"EEN ABEL SPEL ENDE EEN EDEL DINC VAN DEN HERTOGHE VAN BRUUYSWIJC, HOE HI WERT MINNENDE DES ROEDE LIOENS DOCHTER VAN ABELANT, ENDE ENE SOTTERNIE NA VOLGENDE.",52,"Heer Gheraert, dat en mochte niet scaden,"
