author,chapter,line,text
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",1,"Sinte Jan ewangeliste,"
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",2,Die met Gods gracien wiste
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",3,"Vander Godliker verholenheit,"
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",4,Die heeft ghescreven ende gheseit
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",5,"Een ewangelium rechte ende claer,"
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",6,"Ghelijc dat hier volghet naer,"
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",7,Met sconen worden wel gheseit;
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",8,"Ende an mi God der salicheit,"
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",9,Soe willic met sueter leren
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",10,Dit ewangelium exponeren
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",11,Om 't ghelove te starken met
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",12,"Van onser kerstenliker wet,"
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",13,Daer goede kersten leven in.
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",14,"In Gods namen ic beghin,"
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",15,In mijnre hulpen blive Jhesum:
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",16,In principio erat verbum;
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",17,"In den aenbeghin was een woert,"
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",18,"Ende dwoert was bi God, seiti voert:"
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",19,Et verbum erat apud Deum.
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",20,Hi sprect: et Deus erat verbum;
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",21,"In God was dwoert, sprect hi naer;"
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",22,Hoe sal men dit verstaen claer?
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",23,"Dat dat woert hadde een beghin,"
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",24,En God beghin heeft meer noch min;
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",25,Dwoert was bi God ende God was dwoert;
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",26,Soe moghen die liede segghen voert:
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",27,"In Godes woert daer beghin leit an,"
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",28,Soe hadde God een beghin dan.
Augustijnken,"Dit is Sinte Jans ewangelium, alsoe 't Augustijnken gheexponeert heeft.",29,Nu willic u segghen waerbi
