author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Die om h[aer] qua[m] so sere
Onbekend,Onbekend Hoofdstuk,2,Van minnen sneet hi vore haer doe
Onbekend,Onbekend Hoofdstuk,3,Oec so diende hi vore haer toe
Onbekend,Onbekend Hoofdstuk,4,Heinric van assche ende boudewijn mede
Onbekend,Onbekend Hoofdstuk,5,Want het was altoes hare sede
Onbekend,Onbekend Hoofdstuk,6,Die wile dat godeuaert dus sneet
Onbekend,Onbekend Hoofdstuk,7,Dien die minne was so heet
Onbekend,Onbekend Hoofdstuk,8,Dat met hem ghinc al vten spele
Onbekend,Onbekend Hoofdstuk,9,Op die maghet sach hi so vele
Onbekend,Onbekend Hoofdstuk,10,Dat hi hem sneet inden vingher sijn
Onbekend,Onbekend Hoofdstuk,11,Maer dat en was gheen [b...]
Onbekend,Onbekend Hoofdstuk,12,Hi en wouds hem verlaten [...]
Onbekend,Onbekend Hoofdstuk,13,Nv siet wale godeuaert [...]
Onbekend,Onbekend Hoofdstuk,14,Wat ghi loghent [o.....]
Onbekend,Onbekend Hoofdstuk,15,Dats al[re gh.........]
Onbekend,Onbekend Hoofdstuk,16,D[oe] peinsde hi in sinen [...]
Onbekend,Onbekend Hoofdstuk,17,[Wat] hi [he..........]
Onbekend,Onbekend Hoofdstuk,18,Dat onlanghe [.a]ch[.....]
Onbekend,Onbekend Hoofdstuk,19,Hets beter dat ict he[n...]
Onbekend,Onbekend Hoofdstuk,20,Dan ict langher [a......]
Onbekend,Onbekend Hoofdstuk,21,[...] salne bespien
Onbekend,Onbekend Hoofdstuk,22,[Ende] sijn vader mede
Onbekend,Onbekend Hoofdstuk,23,[... h]em draghen nidechede
Onbekend,Onbekend Hoofdstuk,24,[Doe was] ghegaen godeuaert
Onbekend,Onbekend Hoofdstuk,25,[In die ca]mere daer die maget waert
Onbekend,Onbekend Hoofdstuk,26,[... hi] hare cameniere
Onbekend,Onbekend Hoofdstuk,27,[... hi] hiet si sciere
Onbekend,Onbekend Hoofdstuk,28,[...] so dede die maghet
Onbekend,Onbekend Hoofdstuk,29,[... a]lder best behaghet
Onbekend,Onbekend Hoofdstuk,30,[...] haer ende sat neder
Onbekend,Onbekend Hoofdstuk,31,Doen bedrofde he[m] die ionchere
Onbekend,Onbekend Hoofdstuk,32,Dat der maghet deerde sere
Onbekend,Onbekend Hoofdstuk,33,Ende seide ionchere ware bi
Onbekend,Onbekend Hoofdstuk,34,Eest dat ghi so berespet mi
Onbekend,Onbekend Hoofdstuk,35,Dat ic loech omme uwen snede
Onbekend,Onbekend Hoofdstuk,36,Sijt seker dat ics niet en dede
Onbekend,Onbekend Hoofdstuk,37,Om ander saken dan ic woude
Onbekend,Onbekend Hoofdstuk,38,Dat ic te talen comen soude
Onbekend,Onbekend Hoofdstuk,39,Ic segt v al eest scande
Onbekend,Onbekend Hoofdstuk,40,Dat in al mijns vader lande
Onbekend,Onbekend Hoofdstuk,41,Ende vertelden hem al dat
Onbekend,Onbekend Hoofdstuk,42,Daer die soene op soude wesen
Onbekend,Onbekend Hoofdstuk,43,Die keiser andwerde te desen
Onbekend,Onbekend Hoofdstuk,44,Ghi heren hoert ende verstaet
Onbekend,Onbekend Hoofdstuk,45,Soude dat wesen wel v raet
Onbekend,Onbekend Hoofdstuk,46,Dat ic dese soene liet ghescien
Onbekend,Onbekend Hoofdstuk,47,Ghi segt ic mocht wel doen in dien
Onbekend,Onbekend Hoofdstuk,48,Dat hare daer ic gherne af name
Onbekend,Onbekend Hoofdstuk,49,Ghedaen es so langhe blame
Onbekend,Onbekend Hoofdstuk,50,Nv alse hi hem ontsiet
Onbekend,Onbekend Hoofdstuk,51,Datter nieme[n] en da[r el]
Onbekend,Onbekend Hoofdstuk,52,Want hi was verraderre fel
Onbekend,Onbekend Hoofdstuk,53,Ende oec was godeuaert die ionchere
Onbekend,Onbekend Hoofdstuk,54,Ghemint van alden lieden sere
Onbekend,Onbekend Hoofdstuk,55,Ende bouen al oec sekerlike
Onbekend,Onbekend Hoofdstuk,56,Van skeisers sone henrike
Onbekend,Onbekend Hoofdstuk,57,Diene sonderlinghe minde
Onbekend,Onbekend Hoofdstuk,58,Sint dat hine ierste kinde
Onbekend,Onbekend Hoofdstuk,59,Die .ij. die daer inden crite staen
Onbekend,Onbekend Hoofdstuk,60,Ende hen sere onderslaen
Onbekend,Onbekend Hoofdstuk,61,D[aer] hi hem ene steke met gaf
Onbekend,Onbekend Hoofdstuk,62,In sine borst daer hine mede
Onbekend,Onbekend Hoofdstuk,63,Op die erde steruen dede
Onbekend,Onbekend Hoofdstuk,64,Doen loefde boudewijn onsen here
Onbekend,Onbekend Hoofdstuk,65,Dine ghehouden hadde in dere
Onbekend,Onbekend Hoofdstuk,66,Doen vragede hi den keiser saen
Onbekend,Onbekend Hoofdstuk,67,Of hire ghenoch toe hadde ghedaen
Onbekend,Onbekend Hoofdstuk,68,Die keiser seide hi waert q[uit]e
Onbekend,Onbekend Hoofdstuk,69,Doen warp hi witolne vten crite
Onbekend,Onbekend Hoofdstuk,70,Doen so keerde boudewijn
Onbekend,Onbekend Hoofdstuk,71,Tote biden daghe lach hi daer
Onbekend,Onbekend Hoofdstuk,72,Doen nam hi orlof daer naer
Onbekend,Onbekend Hoofdstuk,73,Ende es heimeliken ghekeert wt
Onbekend,Onbekend Hoofdstuk,74,Sonder te maken enech gheluut
Onbekend,Onbekend Hoofdstuk,75,Ende es ter herberghen comen
Onbekend,Onbekend Hoofdstuk,76,Nv hebben dit sine viande vernomen
Onbekend,Onbekend Hoofdstuk,77,Diere na spieden nacht ende dach
Onbekend,Onbekend Hoofdstuk,78,Deen was de graue van bacherach
Onbekend,Onbekend Hoofdstuk,79,Ende sijn brueder dabt van woude
Onbekend,Onbekend Hoofdstuk,80,Diet herde node helen soude
