author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,[D]ie wae[r] hi [rijt met h....]
Onbekend,Onbekend Hoofdstuk,2,[V]an alden gonen diere riden
Onbekend,Onbekend Hoofdstuk,3,[N]e voerer gheen vergoud ghesmide
Onbekend,Onbekend Hoofdstuk,4,[S]i voerent alle wit van tinne
Onbekend,Onbekend Hoofdstuk,5,[G]hi sult andere chierheit bekinne
Onbekend,Onbekend Hoofdstuk,6,[B]i mire wet ne twifelets niet
Onbekend,Onbekend Hoofdstuk,7,[E]er ghi den hertoghe siet
Onbekend,Onbekend Hoofdstuk,8,[D]en eidelen jonchere wel gheboren
Onbekend,Onbekend Hoofdstuk,9,[A]ls dat die conijnc began horen
Onbekend,Onbekend Hoofdstuk,10,[S]prac hi bi mamette ic bems vroet
Onbekend,Onbekend Hoofdstuk,11,[U] here es een eidel bloet
Onbekend,Onbekend Hoofdstuk,12,[S]int hi onthout dustane partye
Onbekend,Onbekend Hoofdstuk,13,[D]ie conijnc tybaut van arabye
Onbekend,Onbekend Hoofdstuk,14,[D]ie welke den berech van goude
Onbekend,Onbekend Hoofdstuk,15,[I]n sijn lijf hadde in sire ghewoude
Onbekend,Onbekend Hoofdstuk,16,[...............]
Onbekend,Onbekend Hoofdstuk,17,viijm. ridders ghewapent wel
Onbekend,Onbekend Hoofdstuk,18,Elc heift bescreden .j. ors snel
Onbekend,Onbekend Hoofdstuk,19,Het es werd wel .C. pont
Onbekend,Onbekend Hoofdstuk,20,Ende bin der seluer stont
Onbekend,Onbekend Hoofdstuk,21,So es die scare leiden
Onbekend,Onbekend Hoofdstuk,22,Ende die derde cam ghereiden
Onbekend,Onbekend Hoofdstuk,23,Doe wonderets den conijnc mere
Onbekend,Onbekend Hoofdstuk,24,Want waren dene ghetoomt zere
Onbekend,Onbekend Hoofdstuk,25,Dese waren ghetoomt meer
Onbekend,Onbekend Hoofdstuk,26,Doe sprac hi ten abt geheer
Onbekend,Onbekend Hoofdstuk,27,Dat v mamet lonen moete
Onbekend,Onbekend Hoofdstuk,28,Salic den hertoghe nv ghemoeten
Onbekend,Onbekend Hoofdstuk,29,REchte waerheit in warer dijnc
Onbekend,Onbekend Hoofdstuk,30,Sal ic v segghen here conijnc
Onbekend,Onbekend Hoofdstuk,31,[.............]en
Onbekend,Onbekend Hoofdstuk,32,Waren hier wel .xm. vieliaerden leden
Onbekend,Onbekend Hoofdstuk,33,So soude mijn here comen ghereden
Onbekend,Onbekend Hoofdstuk,34,Die es gheprijst bouen allen prenchen
Onbekend,Onbekend Hoofdstuk,35,Want hi es de preutste mensche
Onbekend,Onbekend Hoofdstuk,36,Die men nv ter tijt
Onbekend,Onbekend Hoofdstuk,37,Soude vinden in de werelt wijt
Onbekend,Onbekend Hoofdstuk,38,Bin dat si dese tale seiden
Onbekend,Onbekend Hoofdstuk,39,So sijn die vieliaerden leiden
Onbekend,Onbekend Hoofdstuk,40,Ende daer naer camen gheuaren
Onbekend,Onbekend Hoofdstuk,41,Wel .lx. jongher riddaren
Onbekend,Onbekend Hoofdstuk,42,Die hem voeren onderstek[end]e
Onbekend,Onbekend Hoofdstuk,43,Mallijc vp anderen sprekende
Onbekend,Onbekend Hoofdstuk,44,In tekenessen doe ic v weten
Onbekend,Onbekend Hoofdstuk,45,Datter hem dhertoghe [b]i soude vergheten
Onbekend,Onbekend Hoofdstuk,46,[............w..wij.]
Onbekend,Onbekend Hoofdstuk,47,Want met gode was hi vercoren
Onbekend,Onbekend Hoofdstuk,48,Eer noit sijn moeder was gebore[n]
Onbekend,Onbekend Hoofdstuk,49,Sonder galle es hi ende sonder smet[te]
Onbekend,Onbekend Hoofdstuk,50,Cornubrant sprac bi mamette
Onbekend,Onbekend Hoofdstuk,51,Here abt ghi prijstene zere
Onbekend,Onbekend Hoofdstuk,52,Ende in wister ooc min no mere
Onbekend,Onbekend Hoofdstuk,53,Waer vinden te lachterne an
Onbekend,Onbekend Hoofdstuk,54,Maer bi den voghet tieruogan
Onbekend,Onbekend Hoofdstuk,55,Ic wilt hem ware lief
Onbekend,Onbekend Hoofdstuk,56,Dat icken sonder mijn grief
Onbekend,Onbekend Hoofdstuk,57,Spreken moeste minen kies
Onbekend,Onbekend Hoofdstuk,58,Ende ic hem soude dies
Onbekend,Onbekend Hoofdstuk,59,Berecht doen vppenbare
Onbekend,Onbekend Hoofdstuk,60,Al vte ende vute wie ic ware
