author,chapter,line,text
Onbekend,EERSTE DEEL.,1,"God, die here es alre heren,"
Onbekend,EERSTE DEEL.,2,Die ons menschen woude eren
Onbekend,EERSTE DEEL.,3,"Met sire doot, sy u verclaert,"
Onbekend,EERSTE DEEL.,4,Moet my jonnen ongespaert
Onbekend,EERSTE DEEL.,5,"Dat ic dit dichte volmaken moet,"
Onbekend,EERSTE DEEL.,6,Dat ic beginne; want het sal goet
Onbekend,EERSTE DEEL.,7,"Te horne sijn, ene rechte volrede"
Onbekend,EERSTE DEEL.,8,"Van striden en groter vromichede,"
Onbekend,EERSTE DEEL.,9,"Van parlementen, van gedinghe,"
Onbekend,EERSTE DEEL.,10,"Van sconen worde sonderlinghe,"
Onbekend,EERSTE DEEL.,11,Van goeden ridderscappe mede.
Onbekend,EERSTE DEEL.,12,My dunct dat sy ter Daem-stede
Onbekend,EERSTE DEEL.,13,"Sere misdoen dese consteneren,"
Onbekend,EERSTE DEEL.,14,"Die hem met dichten generen,"
Onbekend,EERSTE DEEL.,15,"Dat sy suffen brenghen voirt,"
Onbekend,EERSTE DEEL.,16,Die noyt ghesien noch gehoirt
Onbekend,EERSTE DEEL.,17,"En waren, noch en gescieden niet,"
Onbekend,EERSTE DEEL.,18,"Daer sy die lieden, dat wel wiet,"
Onbekend,EERSTE DEEL.,19,Versuft met maken achter straten;
Onbekend,EERSTE DEEL.,20,Ende sy te dichten hebben gelaten
Onbekend,EERSTE DEEL.,21,"Vraye geste, die waerheyt was,"
Onbekend,EERSTE DEEL.,22,"Van den hertoghe, sijt seker das,"
Onbekend,EERSTE DEEL.,23,Die Godevaert metten Barde hiet:
Onbekend,EERSTE DEEL.,24,"Die ierste hertoghe, ic liege u niet,"
Onbekend,EERSTE DEEL.,25,Die in Brabant oit regneerde.
Onbekend,EERSTE DEEL.,26,"Na dat my die cronike leerde,"
Onbekend,EERSTE DEEL.,27,So hieten sine vorders graven
Onbekend,EERSTE DEEL.,28,Van Lovene; maer verhaven
Onbekend,EERSTE DEEL.,29,Wert dese hertoghe in Brabant
Onbekend,EERSTE DEEL.,30,"Van den keyser, sy u becant."
Onbekend,EERSTE DEEL.,31,Die selven maecte hertoghe
Onbekend,EERSTE DEEL.,32,"Bi den rade der Heren hoge,"
Onbekend,EERSTE DEEL.,33,"Die bi den keyser waren daghelijc,"
Onbekend,EERSTE DEEL.,34,"Ende diene lief hadden sekerlijc,"
Onbekend,EERSTE DEEL.,35,"Overmits sire doeghet wille,"
Onbekend,EERSTE DEEL.,36,Die in hem was lude ende stille.
Onbekend,EERSTE DEEL.,37,"Selve die keyser minden mede,"
Onbekend,EERSTE DEEL.,38,"Dat toonde hi hem tot meniger stede,"
Onbekend,EERSTE DEEL.,39,Gelijc ghy hooren sult hier nae
Onbekend,EERSTE DEEL.,40,"Int oirloghe, als ic verstae"
Onbekend,EERSTE DEEL.,41,Dat tusschen den hertoghe Godevaerde
Onbekend,EERSTE DEEL.,42,Was endoic den heren waerde
Onbekend,EERSTE DEEL.,43,"Van Grimberghen, die sekerlike"
Onbekend,EERSTE DEEL.,44,Machtich waren ende rijcke
Onbekend,EERSTE DEEL.,45,"Van groten lande in dien tyde,"
Onbekend,EERSTE DEEL.,46,Dat omtrent hem wide ende side
Onbekend,EERSTE DEEL.,47,Met sconen beempden was gheleghen.
Onbekend,EERSTE DEEL.,48,"Sy hadden menighen coenen deghen,"
Onbekend,EERSTE DEEL.,49,"Die Grimbergen hoirden toe,"
Onbekend,EERSTE DEEL.,50,Dair sy den hertoghe doe
Onbekend,EERSTE DEEL.,51,"Met oirloghden, alse ic u sal"
Onbekend,EERSTE DEEL.,52,"Segghen, om dat hy woude van al"
Onbekend,EERSTE DEEL.,53,"Grimberghen overheere wesen,"
Onbekend,EERSTE DEEL.,54,"Ghelijc ghy hier sult horen lesen,"
Onbekend,EERSTE DEEL.,55,Eer dit boec compt ten eynde toe.
Onbekend,EERSTE DEEL.,56,"Hoirt ende swyget, dat bid ic u,"
Onbekend,EERSTE DEEL.,57,Dat u allen ghebenedie
Onbekend,EERSTE DEEL.,58,Gods moeder Sinte Marie.
Onbekend,EERSTE DEEL.,59,Wilen waren van ouden tiden
Onbekend,EERSTE DEEL.,60,Die van Brabant van rechter ziden
Onbekend,EERSTE DEEL.,61,"Comen, ende van rechten arde mede"
Onbekend,EERSTE DEEL.,62,"Uit dien van Troyen, dats waerhede,"
Onbekend,EERSTE DEEL.,63,"Daer sy af waren geboren,"
Onbekend,EERSTE DEEL.,64,Alsoe ghi hebt mogen hoeren:
Onbekend,EERSTE DEEL.,65,"Soe was een hertoghe in Lothrike,"
Onbekend,EERSTE DEEL.,66,Die yerst grave was sekerlike
Onbekend,EERSTE DEEL.,67,"Van Lovene, van Bruessele met,"
Onbekend,EERSTE DEEL.,68,"Ende van den lande, dat wel wet,"
Onbekend,EERSTE DEEL.,69,Dat daer omtrent gelegen was.
Onbekend,EERSTE DEEL.,70,"Haer lant van hem, sijt seker das,"
Onbekend,EERSTE DEEL.,71,"Hielden van Grimbergen die heeren,"
Onbekend,EERSTE DEEL.,72,"Van Edinge, van Hoerne, die in eren"
Onbekend,EERSTE DEEL.,73,Leefden na haer weerdichede;
Onbekend,EERSTE DEEL.,74,Ende so hilden van hem mede
Onbekend,EERSTE DEEL.,75,Haer lant die heren van Gaesbeke.
Onbekend,EERSTE DEEL.,76,"Dese heeren, daer af dat ic spreke,"
Onbekend,EERSTE DEEL.,77,Hielden goet ende oic leen
Onbekend,EERSTE DEEL.,78,Van den hertoghe al gemeen;
Onbekend,EERSTE DEEL.,79,"Dier was, also ic u sal doen bekant,"
Onbekend,EERSTE DEEL.,80,Een deel graven in Brabant.
Onbekend,EERSTE DEEL.,81,Doen die stadt van Troyen mit gewelt
