author,chapter,line,text
Niet van toepassing,Miserere mei Deus.,1,"Miserere mei, Deus,"
Niet van toepassing,Miserere mei Deus.,2,Dat in ydelheden dus
Niet van toepassing,Miserere mei Deus.,3,Hebbe versleten mijn jonghe leven;
Niet van toepassing,Miserere mei Deus.,4,"Vader, dat wil mi nu vergheven"
Niet van toepassing,Miserere mei Deus.,5,"Na dijnre groter ontfaermicheit,"
Niet van toepassing,Miserere mei Deus.,6,"Sie op mi, vader, het es mi leit"
Niet van toepassing,Miserere mei Deus.,7,Dat mi niet leet ghenouch en zi
Niet van toepassing,Miserere mei Deus.,8,Dat ic mesdaen hebbe jeghen di.
Niet van toepassing,Miserere mei Deus.,9,Recht als een worm van groter onwerde
Niet van toepassing,Miserere mei Deus.,10,Boghe ic mijn aenscijn totter erde;
Niet van toepassing,Miserere mei Deus.,11,Ik bem niet wert dat ic mijn oghen
Niet van toepassing,Miserere mei Deus.,12,"Di zoude sonder tranen toghen,"
Niet van toepassing,Miserere mei Deus.,13,Doch biedic di mijn handen beide:
Niet van toepassing,Miserere mei Deus.,14,"Help mi, mijn vader, dat van mi sceide"
Niet van toepassing,Miserere mei Deus.,15,"Dese arde memorie, en mac mi zoet,"
Niet van toepassing,Miserere mei Deus.,16,So offere ic di der traenen vloet.
Niet van toepassing,Et secundum multitudinem ...,17,An de duer die menichte dijnre ghenaden
Niet van toepassing,Et secundum multitudinem ...,18,Wilt mine quaetheit mi ontladen;
Niet van toepassing,Et secundum multitudinem ...,19,Ic scame mi dat ic bem dijn kint
Niet van toepassing,Et secundum multitudinem ...,20,Want ik hebbe di niet ghemint;
Niet van toepassing,Et secundum multitudinem ...,21,Ic scame mi dattu mi hebs ghemaect
Niet van toepassing,Et secundum multitudinem ...,22,Ende ic so dickwile duus hebbe mesaect.
Niet van toepassing,Et secundum multitudinem ...,23,Ic scame mi dattu mi in dit leven
Niet van toepassing,Et secundum multitudinem ...,24,"So vele dier gracien hebs ghegheven,"
Niet van toepassing,Et secundum multitudinem ...,25,Ende ic di hebbe ghedanct so cleine.
Niet van toepassing,Et secundum multitudinem ...,26,Ic scame mi dattu mi scieps so reine
Niet van toepassing,Et secundum multitudinem ...,27,Ende ic mi voor dine hoghen
Niet van toepassing,Et secundum multitudinem ...,28,Van zonden so walghelic moe toghen;
Niet van toepassing,Et secundum multitudinem ...,29,"Doch roupic an dine ontfaermichede,"
Niet van toepassing,Et secundum multitudinem ...,30,Doe of al mine quaethede;
Niet van toepassing,Et secundum multitudinem ...,31,"Want, vader, saltu nu willen sien"
Niet van toepassing,Et secundum multitudinem ...,32,So mine quaetheit van mi vlien.
Niet van toepassing,Amplius lava me...,33,"Ander waerf dwa mi van sonden,"
Niet van toepassing,Amplius lava me...,34,So dat ic suuer mach worden vonden.
Niet van toepassing,Amplius lava me...,35,Van scaemten bem ic weder sleghen;
Niet van toepassing,Amplius lava me...,36,Du hebs zo minlic mi gedweghen
Niet van toepassing,Amplius lava me...,37,Met uwen werden helichen bloede;
Niet van toepassing,Amplius lava me...,38,Hoe mach mier herten dan zijn te moede
Niet van toepassing,Amplius lava me...,39,"Dat ic dier smerte bem ocusoen,"
Niet van toepassing,Amplius lava me...,40,"Daer ghi uwe side hebt omme ondoen,"
Niet van toepassing,Amplius lava me...,41,Ende stuertet uwer herten medicine
Niet van toepassing,Amplius lava me...,42,Om of te dwane de zonden mine.
Niet van toepassing,Amplius lava me...,43,"Vader, ne laetti niet verdrieten"
Niet van toepassing,Amplius lava me...,44,Dat ic dijnre gracie nu wille ghenieten;
Niet van toepassing,Amplius lava me...,45,Jonne mi dat ic di offeren mach
Niet van toepassing,Amplius lava me...,46,"Sulc dunche tranen op desen dach,"
Niet van toepassing,Amplius lava me...,47,Mids dijrre hulpen dat ic mach dwaen
Niet van toepassing,Amplius lava me...,48,Mine ziele; ic hebbe so vele mesdaen.
Niet van toepassing,Quoniam iniquitatem meam...,49,"Ic bekenne mine quaetheit, bedi"
Niet van toepassing,Quoniam iniquitatem meam...,50,Mine sonden sijn altoos jeghen mi;
Niet van toepassing,Quoniam iniquitatem meam...,51,"Al zoude mi gracie van di ghescien,"
Niet van toepassing,Quoniam iniquitatem meam...,52,Mine sonden doen mi van duechden vlien.
Niet van toepassing,Quoniam iniquitatem meam...,53,Al stiers du duecht in mine memorie
Niet van toepassing,Quoniam iniquitatem meam...,54,Ic hebbe ter daet zo crancke victorie
Niet van toepassing,Quoniam iniquitatem meam...,55,Dat ic te sonden eer bem bereet
Niet van toepassing,Quoniam iniquitatem meam...,56,"Dan duecht te doene, dat es mi leet,"
Niet van toepassing,Quoniam iniquitatem meam...,57,"Ende, vader, in orcondscepen van rauwen"
Niet van toepassing,Quoniam iniquitatem meam...,58,"Wil ic die oghen mijn bedouwen,"
Niet van toepassing,Quoniam iniquitatem meam...,59,"Mids dijnre ghenaden, zo met tranen,"
Niet van toepassing,Quoniam iniquitatem meam...,60,Dat ic mijn quaetheit of wil planen.
Niet van toepassing,Quoniam iniquitatem meam...,61,"Vader, hoor dijns kints gheclach,"
Niet van toepassing,Quoniam iniquitatem meam...,62,Dine grote ontfaermicheit vermach
Niet van toepassing,Quoniam iniquitatem meam...,63,Te gansene onser zielen allende;
Niet van toepassing,Quoniam iniquitatem meam...,64,"Ets recht, dine macht es zonder hende."
Niet van toepassing,Tibi soli peccavi ...,65,"Di alleene hebbic mesdaen,"
Niet van toepassing,Tibi soli peccavi ...,66,"Dies hebben die zonden mi bevaen,"
Niet van toepassing,Tibi soli peccavi ...,67,Ende bringhen mi thu uut rechten noot;
Niet van toepassing,Tibi soli peccavi ...,68,Ic legghe mijn hooft vor uwen scoot;
Niet van toepassing,Tibi soli peccavi ...,69,Ic en dar niet toghen dat anscijn mijn.
Niet van toepassing,Tibi soli peccavi ...,70,Ghef mi die benedixie dijn
Niet van toepassing,Tibi soli peccavi ...,71,Met dijnre almachticher rechter hant;
Niet van toepassing,Tibi soli peccavi ...,72,"Stappans so sal die viant,"
Niet van toepassing,Tibi soli peccavi ...,73,"Die mi bedroghen heift, van mi vlien,"
Niet van toepassing,Tibi soli peccavi ...,74,Sijns raets en willic nemmermeere plien;
Niet van toepassing,Tibi soli peccavi ...,75,"Maer, hemelsch vader, dattu dijns kints"
Niet van toepassing,Tibi soli peccavi ...,76,"Di alzo vaderlike bewints,"
Niet van toepassing,Tibi soli peccavi ...,77,Al eist dat ic meer valle of sneve
Niet van toepassing,Tibi soli peccavi ...,78,"Dat ic mi zo te di waert gheve,"
Niet van toepassing,Tibi soli peccavi ...,79,Als comen zal mijn laetste dach
Niet van toepassing,Tibi soli peccavi ...,80,Dat ic dijns ziens ghebruken mach.
Niet van toepassing,Ecce enim in iniquitatibus...,81,"Ach, vader, sich tot hier beneden;"
Niet van toepassing,Ecce enim in iniquitatibus...,82,"Ic bem ontfaen in quaetheden,"
Niet van toepassing,Ecce enim in iniquitatibus...,83,Ende in sonden ontfanc mi
Niet van toepassing,Ecce enim in iniquitatibus...,84,"Mijn moeder, dies ic noch zondich zi."
Niet van toepassing,Ecce enim in iniquitatibus...,85,"Niet, vader, dat ic mi te eenighe stonden"
Niet van toepassing,Ecce enim in iniquitatibus...,86,Wille excuseren voor di van zonden;
Niet van toepassing,Ecce enim in iniquitatibus...,87,Want du in desen allendichen dale
Niet van toepassing,Ecce enim in iniquitatibus...,88,Ons quaems verlossen al te male
Niet van toepassing,Ecce enim in iniquitatibus...,89,Met onghetalliker bitterheit.
Niet van toepassing,Ecce enim in iniquitatibus...,90,Dine edele teedre meinsghelicheit
Niet van toepassing,Ecce enim in iniquitatibus...,91,"Was ghevanghen ende verraden,"
Niet van toepassing,Ecce enim in iniquitatibus...,92,"Bespot, ghegheselt ende verladen"
Niet van toepassing,Ecce enim in iniquitatibus...,93,"Metten cruce ende naect gestrect,"
Niet van toepassing,Ecce enim in iniquitatibus...,94,"Ghecroont, ghenaghelt ende gherect;"
Niet van toepassing,Ecce enim in iniquitatibus...,95,Tbloet van den helichen wonden dine
Niet van toepassing,Ecce enim in iniquitatibus...,96,Was alre zielen medecine.
Niet van toepassing,Ecce enim...,97,"Sich, want du de waerheit minnets,"
Niet van toepassing,Ecce enim...,98,"Donsekere dinghen du bekinnets,"
Niet van toepassing,Ecce enim...,99,Dine heliche wise secrete maren
Niet van toepassing,Ecce enim...,100,Wiltu nu vriendelike openbaren;
Niet van toepassing,Ecce enim...,101,"Want du spreics in mier herten gront,"
Niet van toepassing,Ecce enim...,102,"Ende maecs mi mijnre zonden cont,"
Niet van toepassing,Ecce enim...,103,Ende raeds mi als een vader goet
Niet van toepassing,Ecce enim...,104,Dat ic die zonden laten moet.
Niet van toepassing,Ecce enim...,105,"O goedertiere, o moghende vader,"
Niet van toepassing,Ecce enim...,106,Ghedocht niet dat ic werde quaeder;
Niet van toepassing,Ecce enim...,107,Mine zonden verweghen mi zeere.
Niet van toepassing,Ecce enim...,108,Ic en souds ghenesen nemmermeere
Niet van toepassing,Ecce enim...,109,"Begrepe mi dine gherechticheit,"
Niet van toepassing,Ecce enim...,110,Maer onder dine groote ontfaermicheit
Niet van toepassing,Ecce enim...,111,"Bedec ic mijn hooft en al mijn lede,"
Niet van toepassing,Ecce enim...,112,Daer moestu mi nu bescudden mede.
Niet van toepassing,"Asperges me, Domine ,...",113,"Besperze mi, heere, met ijsopen,"
Niet van toepassing,"Asperges me, Domine ,...",114,Ic worde ghezuuert in dat dopen.
Niet van toepassing,"Asperges me, Domine ,...",115,"Du zuls mi dwaen, danne wordic mee"
Niet van toepassing,"Asperges me, Domine ,...",116,"Ghezuvert, wit ja boven den znee;"
Niet van toepassing,"Asperges me, Domine ,...",117,Dus zal die cracht der gracien dijn
Niet van toepassing,"Asperges me, Domine ,...",118,Verlichten die donkere sinnen mijn;
Niet van toepassing,"Asperges me, Domine ,...",119,Dan zal mijn werc ende ooc mine wort
Niet van toepassing,"Asperges me, Domine ,...",120,Dinen lof in vruchten bringhen vort.
Niet van toepassing,"Asperges me, Domine ,...",121,"O vader, verleene; o vader, ghehinghe"
Niet van toepassing,"Asperges me, Domine ,...",122,Dat ic mi so met duechden minghe
Niet van toepassing,"Asperges me, Domine ,...",123,"In al dat ic te doene besta,"
Niet van toepassing,"Asperges me, Domine ,...",124,"Dat mi dijn gracie niet en ontga,"
Niet van toepassing,"Asperges me, Domine ,...",125,Ende dat voort al die ghewerke mijn
Niet van toepassing,"Asperges me, Domine ,...",126,Di zo bequamelic moeten zijn
Niet van toepassing,"Asperges me, Domine ,...",127,"Dat ic die ziele, die du in mi"
Niet van toepassing,"Asperges me, Domine ,...",128,"Sendest, moete weder senden di."
Niet van toepassing,Auditui meo dabis...,129,Minen hoorne zaltu dan gheven
Niet van toepassing,Auditui meo dabis...,130,"Blijscap, glorie ende eeuwich leven,"
Niet van toepassing,Auditui meo dabis...,131,Ende mine verhoochde omoediche leden
Niet van toepassing,Auditui meo dabis...,132,Sullen verbliden in euwicheden.
Niet van toepassing,Auditui meo dabis...,133,"Lof, hemelsch vader, ghebenedijt,"
Niet van toepassing,Auditui meo dabis...,134,Die dinen aenbeders zo milde zijt.
Niet van toepassing,Auditui meo dabis...,135,"Lof, vader, die ons van onsen mesdaden"
Niet van toepassing,Auditui meo dabis...,136,So goedertielic wils ontladen.
Niet van toepassing,Auditui meo dabis...,137,"Lof, vader, al sijn wi di ontgaen,"
Niet van toepassing,Auditui meo dabis...,138,Ontfaermelike wiltu ons ontfaen;
Niet van toepassing,Auditui meo dabis...,139,Lof zullen di gheven alle monden.
Niet van toepassing,Auditui meo dabis...,140,"Du en wils gheene wrake van onse zonden,"
Niet van toepassing,Auditui meo dabis...,141,"Maer dat wi ons te di waert keeren,"
Niet van toepassing,Auditui meo dabis...,142,"Du verlaests ons van allen zeeren,"
Niet van toepassing,Auditui meo dabis...,143,"Niet als dijn kint, maer als dijn knecht,"
Niet van toepassing,Auditui meo dabis...,144,Doe nu dijn vaderlike recht.
Niet van toepassing,Averte faciem tuam...,145,Keere van den onreinen zonden mijn
Niet van toepassing,Averte faciem tuam...,146,"Dijn godlic glorieus anscijn,"
Niet van toepassing,Averte faciem tuam...,147,Ende doe al myne quaetheit of;
Niet van toepassing,Averte faciem tuam...,148,Mijn mont zal condichen dinen lof.
Niet van toepassing,Averte faciem tuam...,149,"Met zonden bem ic voor di bescaemt,"
Niet van toepassing,Averte faciem tuam...,150,Want zonde di niet te siene betaemt;
