author,chapter,line,text
Niet van toepassing,1.,1,"Vrouwe, reyne keyserinne,"
Niet van toepassing,1.,2,Troestet mich vil senden man;
Niet van toepassing,1.,3,Genade zuechent mine zinne
Niet van toepassing,1.,4,"An uch, vrouwe lovezan."
Niet van toepassing,1.,5,Da van tsoent genadeliche;
Niet van toepassing,1.,6,"Sint ir sijt genaden rijche,"
Niet van toepassing,1.,7,"So toent och genendeliche,"
Niet van toepassing,1.,8,"Dat staet uch, vrouwe, loveliche."
Niet van toepassing,1.,9,"(Vrouwe, ir moghet mich nicht verbieden,"
Niet van toepassing,1.,10,In zi uch met trouwen holt)
Niet van toepassing,2.,11,"Here, ir sout genade bidden"
Niet van toepassing,2.,12,"God, er kan genade gheven;"
Niet van toepassing,2.,13,So wil ich met goeden tsiten
Niet van toepassing,2.,14,"Wenschen, das ir moesent leven"
Niet van toepassing,2.,15,Mit genade hi en dort.
Niet van toepassing,2.,16,"So ir wilt genade ruichin,"
Niet van toepassing,2.,17,"So sult ir genade zuchin,"
Niet van toepassing,2.,18,Da sus sy genade hort.
Niet van toepassing,3.,19,"Vrouwe, mucht ich he erwerwen"
Niet van toepassing,3.,20,"Die genade, die ir haent,"
Niet van toepassing,3.,21,"So ich dan sulde sterven,"
Niet van toepassing,3.,22,So doet mich genade erkant
Niet van toepassing,3.,23,"God, der ye genadich was;"
Niet van toepassing,3.,24,"Er sal die ziele behalden,"
Niet van toepassing,3.,25,Ir sult he des lives gewalden
Niet van toepassing,3.,26,Mit genaden sonder has.
Niet van toepassing,4.,27,"Here, darna ir nu stellet"
Niet van toepassing,4.,28,"Und des uwer hertze ghert,"
Niet van toepassing,4.,29,Zeer mir das misvellet
Niet van toepassing,4.,30,Und zijt ummer ongewaert.
Niet van toepassing,4.,31,"Daerom laest die reden sin,"
Niet van toepassing,4.,32,Das rade ich in hertzin trouwen;
Niet van toepassing,4.,33,"Of ir bringet mir z ruwen,"
Niet van toepassing,4.,34,So wer ummer der scade min.
Niet van toepassing,5.,35,"Vrou, in gher nicht sulcher dingen,"
Niet van toepassing,5.,36,"Der uch z ruwen muchten comen,"
Niet van toepassing,5.,37,Es wer mir ein mislinghen;
Niet van toepassing,5.,38,"En mucht mir nicht wol vromen,"
Niet van toepassing,5.,39,Of ir wurdent vruden vri.
Niet van toepassing,5.,40,"Er solt mich mit sulchin sachin,"
Niet van toepassing,5.,41,"Vrou, rijches muetes machin,"
Niet van toepassing,5.,42,Das doch ane ur scade zi.
Niet van toepassing,5.,43,(Here mucht ich wol mit eren
Niet van toepassing,5.,44,Ure vruede machin breyt)
Niet van toepassing,6.,45,"Here, ich wil uch nicht z balde"
Niet van toepassing,6.,46,"Helfen, als ir wanen waent;"
Niet van toepassing,6.,47,"Ich doen nicht als dede Zaude,"
Niet van toepassing,6.,48,"Die nach lieve was verzent,"
Niet van toepassing,6.,49,Dat zi tot da was gelach.
Niet van toepassing,6.,50,"So ist mir niet z zinne,"
Niet van toepassing,6.,51,Das ich ummer doer die minne
Niet van toepassing,6.,52,Troeren wil eynen dach.
Niet van toepassing,7.,53,"Vrou min, ich moes ersterven,"
Niet van toepassing,7.,54,Das ist widerreden nicht;
Niet van toepassing,7.,55,"Sol ich he mich troestes erwerven,"
Niet van toepassing,7.,56,"Als mir uwer mont verghicht,"
Niet van toepassing,7.,57,So weys ich doch eynes wol:
Niet van toepassing,7.,58,"Das uwer ziele aen mirt scouwe,"
Niet van toepassing,7.,59,Das du miner ziele eyn vrouwe
Niet van toepassing,7.,60,Dort aen eynde wesen sol.
Niet van toepassing,8.,61,"Here, ich bidde god den zuesen"
Niet van toepassing,8.,62,[...............]
Niet van toepassing,8.,63,Das er dort mine ziele grueze[n]
Niet van toepassing,8.,64,"Roeche metter rechter scaer,"
Niet van toepassing,8.,65,So war ich wil onbetrogen.
Niet van toepassing,8.,65,"Siet, war uwer ziele velle!"
Niet van toepassing,8.,67,"Ich wil nicht zin uwer gezelle,"
Niet van toepassing,8.,68,Wort si doerch die gloet getogen.
Niet van toepassing,9.,69,"Vrou, ich wil wol geloven,"
Niet van toepassing,9.,70,Das si moes eyn like nemen:
Niet van toepassing,9.,70,"Birnnen, slagen und roven"
Niet van toepassing,9.,72,"Mueste leyder ir getsemen,"
Niet van toepassing,9.,73,Das ruwen ich geloven wol;
Niet van toepassing,9.,74,"So muest ir gebuesen ummer,"
Niet van toepassing,9.,75,"Of ir sulten leven ummer,"
Niet van toepassing,9.,75,Laest ir mich in sulchin dol.
Niet van toepassing,10.,77,"Here, richtet uwer scolde,"
Niet van toepassing,10.,78,Laes die mine onbericht;
Niet van toepassing,10.,79,"Wie ich come z godes hulde,"
Niet van toepassing,10.,80,Des haent eyne zorghe nicht.
Niet van toepassing,10.,80,"Laest mich varin, als ich mach!"
Niet van toepassing,10.,82,"Varit ir in hoffin-scalle,"
Niet van toepassing,10.,83,"Als die rechtvertigen alle,"
Niet van toepassing,10.,84,Aen dem ye gewalte lach!
Niet van toepassing,11.,85,"Vrou, so wer geweldich wer,"
Niet van toepassing,11.,85,Der sol doch genedich sin:
Niet van toepassing,11.,87,"Davan wendet mine swer,"
Niet van toepassing,11.,88,Sint ir sijt geweltich min!
Niet van toepassing,11.,89,"Toent ir das nicht, vrouwe goet,"
Niet van toepassing,11.,90,So wart nicht bi sulcher scone
Niet van toepassing,11.,90,"Eyn so tzorentlicher hone,"
Niet van toepassing,11.,92,No so heerlicher moet.
Niet van toepassing,12.,93,"Here, is ist vil sconre bilde,"
Niet van toepassing,12.,94,"Als ich is vernomen hain,"
Niet van toepassing,12.,95,Dem doch ist genade wilde;
Niet van toepassing,12.,95,"Nyeman des geloven kan,"
Niet van toepassing,12.,97,"Want die scone ist gar al nicht,"
Niet van toepassing,12.,98,Da nicht ist genaden inne:
Niet van toepassing,12.,99,"Davan rechtet uwer sinne,"
Niet van toepassing,12.,100,Da die beyde havent plicht.
Niet van toepassing,13 (=84/63).,100,"Vrou, ir sijt genaden rijche,"
Niet van toepassing,13 (=84/63).,102,"Das weys ich in langen wol,"
Niet van toepassing,13 (=84/63).,103,"Scone, lief und minnentliche,"
Niet van toepassing,13 (=84/63).,104,"Cuusch und alre vruden vol,"
Niet van toepassing,13 (=84/63).,105,"Tuchtich, reyn und niet balt,"
Niet van toepassing,13 (=84/63).,105,Vrolich dabi ermere;
Niet van toepassing,13 (=84/63).,107,"Ich levede ummer ane zwere,"
Niet van toepassing,13 (=84/63).,108,Solde ich mit uch werden alt.
Niet van toepassing,14 (=84/64).,109,"Here, ich bidde god den suessen,"
Niet van toepassing,14 (=84/64).,110,Das ir vrolich werdet alt:
Niet van toepassing,14 (=84/64).,110,"Her kan uwer zwere buesen,"
Niet van toepassing,14 (=84/64).,112,Und z vruden machin balt
Niet van toepassing,14 (=84/64).,113,Uwen clagelichen noet.
Niet van toepassing,14 (=84/64).,114,"E das ich die wolde wenden,"
Niet van toepassing,14 (=84/64).,115,"Ende mich selven aen vruden penden,"
Niet van toepassing,14 (=84/64).,115,Liever wildich wesen doet.
Niet van toepassing,15 (=84/53).,117,"Vrou, ir mucht mir nicht verbyeden,"
Niet van toepassing,15 (=84/53).,118,In si uch mit truwen halt;
Niet van toepassing,15 (=84/53).,119,Sint die zinne mir gherieden
Niet van toepassing,15 (=84/53).,120,"Aen den vrudenbernen tsolt,"
