author,chapter,line,text
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),1,"Ach goede liede, hoe salic varen!"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),2,Die wolle es beter dant garen;
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),3,Het gheet met mi al achterwaert!
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),4,Hoe comet dat al dus qualijc vaert?
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),5,"In weet, wat mi es ghesciet;"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),6,"En daet die lede duvel niet,"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),7,In soude al dus niet mogen dolen.
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),8,"Nu segt mi, Machtelt, onverholen:"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),9,Waer omme stadi dus en claecht?
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),10,"Ic come ende hebbe den vos verjaecht,"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),11,Die mi twee hoender heeft verbeten.
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),12,Hoe sidi al dus hier gheseten?
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),13,"Op alle trouwe, berechtes mi."
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),14,"Luutgaert, daer es groot redene bi,"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),15,"Want dat ic niet en rase, dats wonder."
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),16,"Die avonture hout mi soe tonder,"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),17,"Want wat ic pine nacht ende dach,"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),18,Te ghenen profite ic comen en mach;
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),19,Het doet emmer toverie.
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),20,"Machtelt, bider maghet Marie!"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),21,Ic wene ghi niet en hebt geloghen.
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),22,Met toverie benic bedroghen;
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),23,"Alsoe, Machtelt, maecht u staen."
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),24,"Mine coe es haer melc ontgaen,"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),25,Hen es anders niet dan water.
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),26,En daet niet die helsche cater
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),27,"Ofte die lede perlesijn,"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),28,Hen soude al dus niet moghen sijn.
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),29,Maer wel vermoedic mi op ene;
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),30,Want ghisteren daer ic quam allene
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),31,"Op ene vierweechstede, buten weghe"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),32,Vandic sittene ene oude teve
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),33,Ende hadde botere voer haer staende;
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),34,"Ic wane dat si den duvel maende,"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),35,Die daer die botere comen dede.
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),36,"Luutgaert, bi gods moghenthede!"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),37,"Ic moet u segghen onverholen,"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),38,Die boter hadse mi ghestolen.
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),39,Met quaden messen moet mense ontliven!
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),40,In coste in eenre maent ghecrighen
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),41,Van mijnre blare coe eneghe botere;
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),42,"Wat ic clutse of wat ic clotere,"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),43,Het es al te male om niet.
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),44,"Op alle trouwe, kindise niet"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),45,Die stronthoere? woense hier bi?
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),46,"Jase, Machtelt, gheloves mi."
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),47,"Si es van Corterike gheboren,"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),48,Ende heeft haer ene ore verloren
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),49,"Van quader dieften, dat es waer,"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),50,Ende oec wasse cort daer naer
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),51,Uut Ghint ghebannen op den pit.
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),52,"Met meneghen dinc es si besmit,"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),53,Daer si met pleghet om te gane.
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),54,"Kindise niet? hets Juliane,"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),55,Die ghinder woent op den hoec.
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),56,"Si heeft een toveren boec,"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),57,Daer si met te toveren pleghet.
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),58,"Hets jammer, dat si niet en leghet"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),59,In enen put onder die galghe
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),60,Vaste ghedolven metten balghe!
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),61,Si vercoept nu oesters bier.
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),62,"Luutgaert, wat sitten wi dan hier?"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),63,"Ic kinse weel, eest Juliane?"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),64,Laet ons beiden bestaen te gane
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),65,Ende enen poet biers te gader meten;
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),66,Wi selen al die waerheit weten
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),67,Van desen saken groet ende smal.
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),68,"Gherne, Machtelt, groet ongheval"
Onbekend,HIER BEGHINT DE SOTTERNIE. (DIE HEXE),69,Moet haer gheven sente Bride.
