author,chapter,line,text
Jacob van Maerlant,Onbekend Hoofdstuk,1,Die gheuen mach gheue alle weghe
Jacob van Maerlant,Onbekend Hoofdstuk,2,Elken radic dat hijs pleghe
Jacob van Maerlant,Onbekend Hoofdstuk,3,Want datmen gheeft dats datmen vint
Jacob van Maerlant,Onbekend Hoofdstuk,4,Ende datmen houd wert niet een twint
Jacob van Maerlant,Onbekend Hoofdstuk,5,Noit mi gheuen en vernoyde
Jacob van Maerlant,Onbekend Hoofdstuk,6,Van het vte minen sinne vloeyde
Jacob van Maerlant,Onbekend Hoofdstuk,7,Ende noch helpet mi alsic gheue
Jacob van Maerlant,Onbekend Hoofdstuk,8,Nv ontfaet dit lieue neue
Jacob van Maerlant,Onbekend Hoofdstuk,9,Van mi iacoppe van merlant
Jacob van Maerlant,Onbekend Hoofdstuk,10,Van dat ic in latine vant
Jacob van Maerlant,Onbekend Hoofdstuk,11,Hoe aristotiles ende geen ander
Jacob van Maerlant,Onbekend Hoofdstuk,12,Sinen iongre alexander
Jacob van Maerlant,Onbekend Hoofdstuk,13,Leerde die werelt berechten
Jacob van Maerlant,Onbekend Hoofdstuk,14,Ende jeghen die sonden vechten
Jacob van Maerlant,Onbekend Hoofdstuk,15,Want het hoeghen heren betaemt
Jacob van Maerlant,Onbekend Hoofdstuk,16,Ende elken mensche die hem scaemt
Jacob van Maerlant,Onbekend Hoofdstuk,17,Dat hi weet hoe lant bedriuen
Jacob van Maerlant,Onbekend Hoofdstuk,18,Ende selue in sire eeren bliuen
Jacob van Maerlant,Onbekend Hoofdstuk,19,Vindire yet in dat te prisene es
Jacob van Maerlant,Onbekend Hoofdstuk,20,Dat visierde aristotiles
Jacob van Maerlant,Onbekend Hoofdstuk,21,Vindire oec yet onnuts inne
Jacob van Maerlant,Onbekend Hoofdstuk,22,Dat tyhet minen dommen sinne
Jacob van Maerlant,Onbekend Hoofdstuk,23,Dit boec es in latijn gheseit
Jacob van Maerlant,Onbekend Hoofdstuk,24,Heymelijchede der heymelijcheit
Jacob van Maerlant,Onbekend Hoofdstuk,25,Gode biddic ten beghinne
Jacob van Maerlant,Onbekend Hoofdstuk,26,Dat hi mi helpe daer inne
Jacob van Maerlant,Onbekend Hoofdstuk,27,Ende siere moeder der reynre maeght
Jacob van Maerlant,Onbekend Hoofdstuk,28,Diet al met haerre bede draeght
Jacob van Maerlant,Onbekend Hoofdstuk,29,Lands heren sijn van viere manieren
Jacob van Maerlant,Onbekend Hoofdstuk,30,Ende die willic v visieren
Jacob van Maerlant,Onbekend Hoofdstuk,31,Selc es milde vtermaten
Jacob van Maerlant,Onbekend Hoofdstuk,32,Hem ende sinen ondersaten
Jacob van Maerlant,Onbekend Hoofdstuk,33,Ende selc es in so suaer een strec
Jacob van Maerlant,Onbekend Hoofdstuk,34,Dat hi hem ende den sinen es vrec
Jacob van Maerlant,Onbekend Hoofdstuk,35,Ende sulc heere hem so nauwe beset
Jacob van Maerlant,Onbekend Hoofdstuk,36,Ende es den sinen te milder bet
Jacob van Maerlant,Onbekend Hoofdstuk,37,Ende sulc es hem seluen goet
Jacob van Maerlant,Onbekend Hoofdstuk,38,Die sinen volcke al onrecht doet
Jacob van Maerlant,Onbekend Hoofdstuk,39,Nv segghen dus die van ytale
Jacob van Maerlant,Onbekend Hoofdstuk,40,Hen es ghene mesprise tale
Jacob van Maerlant,Onbekend Hoofdstuk,41,Dat here hem seluen nauwe beset
